Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1.0,Derek Carr,Fresno State,MWC,13.0,454.0,659.0,68.9,5083.0,50.0,7.6,8.0,1.2,7.7,8.68,11.2,391.0,156.3,H-8
2.0,Sean Mannion,Oregon State,Pac-12,13.0,400.0,603.0,66.3,4662.0,37.0,6.1,15.0,2.5,7.7,7.84,11.7,358.6,146.6,
3.0,Connor Halliday,Washington State,Pac-12,13.0,449.0,714.0,62.9,4597.0,34.0,4.8,22.0,3.1,6.4,6.0,10.2,353.6,126.5,
4.0,Bryce Petty,Baylor,Big 12,13.0,250.0,403.0,62.0,4200.0,32.0,7.9,3.0,0.7,10.4,11.67,16.8,323.1,174.3,H-7
5.0,David Fales,San Jose State,MWC,12.0,312.0,487.0,64.1,4189.0,33.0,6.8,13.0,2.7,8.6,8.76,13.4,349.1,153.3,
6.0,Keith Wenning,Ball State,MAC,13.0,319.0,498.0,64.1,4148.0,35.0,7.0,7.0,1.4,8.3,9.1,13.0,319.1,154.4,
7.0,Shane Carden,East Carolina,CUSA,13.0,387.0,549.0,70.5,4139.0,33.0,6.0,10.0,1.8,7.5,7.92,10.7,318.4,150.0,
8.0,Johnny Manziel,Texas A&M,SEC,13.0,300.0,429.0,69.9,4114.0,37.0,8.6,13.0,3.0,9.6,9.95,13.7,316.5,172.9,H-5
9.0,Jameis Winston,Florida State,ACC,14.0,257.0,384.0,66.9,4057.0,40.0,10.4,10.0,2.6,10.6,11.48,15.8,289.8,184.8,"H-1,AA,Camp"
10.0,Teddy Bridgewater,Louisville,American,13.0,303.0,427.0,71.0,3970.0,31.0,7.3,4.0,0.9,9.3,10.33,13.1,305.4,171.1,
11.0,Rakeem Cato,Marshall,CUSA,14.0,298.0,499.0,59.7,3916.0,39.0,7.8,9.0,1.8,7.8,8.6,13.1,279.7,147.8,
12.0,Tajh Boyd,Clemson,ACC,13.0,283.0,413.0,68.5,3851.0,34.0,8.2,11.0,2.7,9.3,9.77,13.6,296.2,168.7,
13.0,Garrett Grayson,Colorado State,MWC,14.0,297.0,478.0,62.1,3696.0,23.0,4.8,11.0,2.3,7.7,7.66,12.4,264.0,138.4,
14.0,Marcus Mariota,Oregon,Pac-12,13.0,245.0,386.0,63.5,3665.0,31.0,8.0,4.0,1.0,9.5,10.63,15.0,281.9,167.7,
15.0,Taylor Kelly,Arizona State,Pac-12,14.0,302.0,484.0,62.4,3635.0,28.0,5.8,12.0,2.5,7.5,7.55,12.0,259.6,139.6,
16.0,Blake Bortles,UCF,American,13.0,259.0,382.0,67.8,3581.0,25.0,6.5,9.0,2.4,9.4,9.62,13.8,275.5,163.4,
17.0,Garrett Gilbert,SMU,American,10.0,335.0,504.0,66.5,3528.0,21.0,4.2,7.0,1.4,7.0,7.21,10.5,352.8,136.2,
18.0,Jared Goff,California,Pac-12,12.0,320.0,531.0,60.3,3508.0,18.0,3.4,10.0,1.9,6.6,6.44,11.0,292.3,123.2,
19.0,Matt Johnson,Bowling Green,MAC,14.0,237.0,369.0,64.2,3467.0,25.0,6.8,7.0,1.9,9.4,9.9,14.6,247.6,161.7,
20.0,Brett Smith,Wyoming,MWC,12.0,293.0,467.0,62.7,3375.0,29.0,6.2,11.0,2.4,7.2,7.41,11.5,281.3,139.2,
21.0,Bo Wallace,Ole Miss,SEC,13.0,283.0,437.0,64.8,3346.0,18.0,4.1,10.0,2.3,7.7,7.45,11.8,257.4,138.1,
22.0,Brendon Kay,Cincinnati,American,13.0,262.0,395.0,66.3,3302.0,22.0,5.6,12.0,3.0,8.4,8.11,12.6,254.0,148.9,
23.0,Nathan Scheelhaase,Illinois,Big Ten,12.0,287.0,430.0,66.7,3272.0,21.0,4.9,13.0,3.0,7.6,7.23,11.4,272.7,140.7,
24.0,Tommy Rees,Notre Dame,Ind,13.0,224.0,414.0,54.1,3257.0,27.0,6.5,13.0,3.1,7.9,7.76,14.5,250.5,135.4,
25.0,Corey Robinson,Troy,Sun Belt,12.0,285.0,421.0,67.7,3219.0,20.0,4.8,9.0,2.1,7.6,7.63,11.3,268.3,143.3,
26.0,John O'Korn,Houston,American,13.0,259.0,446.0,58.1,3117.0,28.0,6.3,10.0,2.2,7.0,7.24,12.0,239.8,133.0,
27.0,Zach Mettenberger,LSU,SEC,12.0,192.0,296.0,64.9,3082.0,22.0,7.4,8.0,2.7,10.4,10.68,16.1,256.8,171.4,
28.0,Aaron Murray,Georgia,SEC,11.0,225.0,347.0,64.8,3075.0,26.0,7.5,9.0,2.6,8.9,9.19,13.7,279.5,158.8,
29.0,Brett Hundley,UCLA,Pac-12,13.0,248.0,371.0,66.8,3071.0,24.0,6.5,9.0,2.4,8.3,8.48,12.4,236.2,152.9,
30.0,A.J. McCarron,Alabama,SEC,13.0,226.0,336.0,67.3,3063.0,28.0,8.3,7.0,2.1,9.1,9.85,13.6,235.6,167.2,"H-2,Maxwell"
31.0,Stephen Morris,Miami (FL),ACC,13.0,198.0,344.0,57.6,3028.0,21.0,6.1,12.0,3.5,8.8,8.45,15.3,232.9,144.7,
32.0,Quinn Kaehler,San Diego State,MWC,12.0,232.0,389.0,59.6,3007.0,19.0,4.9,9.0,2.3,7.7,7.67,13.0,250.6,136.1,
33.0,Cody Kessler,USC,Pac-12,14.0,236.0,361.0,65.4,2968.0,20.0,5.5,7.0,1.9,8.2,8.46,12.6,212.0,148.8,
34.0,Keith Price,Washington,Pac-12,12.0,233.0,352.0,66.2,2966.0,21.0,6.0,6.0,1.7,8.4,8.85,12.7,247.2,153.3,
35.0,Devin Gardner,Michigan,Big Ten,12.0,208.0,345.0,60.3,2960.0,21.0,6.1,11.0,3.2,8.6,8.36,14.2,246.7,146.1,
36.0,Sean Schroeder,Hawaii,MWC,11.0,233.0,376.0,62.0,2960.0,28.0,7.4,14.0,3.7,7.9,7.69,12.7,269.1,145.2,
37.0,Tom Savage,Pitt,ACC,13.0,238.0,389.0,61.2,2958.0,21.0,5.4,9.0,2.3,7.6,7.64,12.4,227.5,138.2,
38.0,Christian Hackenberg,Penn State,Big Ten,12.0,231.0,392.0,58.9,2955.0,20.0,5.1,10.0,2.6,7.5,7.41,12.8,246.3,134.0,
39.0,Taysom Hill,BYU,Ind,13.0,236.0,438.0,53.9,2938.0,19.0,4.3,14.0,3.2,6.7,6.14,12.4,226.0,118.1,
40.0,Logan Thomas,Virginia Tech,ACC,13.0,227.0,402.0,56.5,2907.0,15.0,3.7,13.0,3.2,7.2,6.52,12.8,223.6,123.1,
41.0,Derek Thompson,North Texas,CUSA,13.0,251.0,390.0,64.4,2896.0,16.0,4.1,13.0,3.3,7.4,6.75,11.5,222.8,133.6,
42.0,Jordan Lynch,Northern Illinois,MAC,14.0,253.0,404.0,62.6,2892.0,24.0,5.9,8.0,2.0,7.2,7.46,11.4,206.6,138.4,H-3
