feature,tree_feature_importance,kind
Draft Capital,0.1,base
Comp%,0.08419498548988673,base
RDOM+,0.0681552377077651,base
YCO/A,0.06010554181746165,base
BTT%,0.04879801933515159,base
Breakout Age,0.044102243516489316,base
BMI,0.02860310453556522,base
PDOM+,0.019120808347498658,base
aDOT,0.015908172881121525,base
ATT,0.012975824971357812,base
