Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Rome Odunze,Washington,Pac-12,15.0,92.0,1640.0,17.8,13.0,109.3,2.0,37.0,18.5,1.0,2.5,94.0,1677.0,17.8,14.0,AA
2.0,Malik Nabers,LSU,SEC,13.0,89.0,1569.0,17.6,14.0,120.7,1.0,1.0,1.0,0.0,0.1,90.0,1570.0,17.4,14.0,AA
3.0,Ricky White,Nevada-Las Vegas,MWC,14.0,88.0,1483.0,16.9,8.0,105.9,1.0,1.0,1.0,0.0,0.1,89.0,1484.0,16.7,8.0,
4.0,Malik Washington,Virginia,ACC,12.0,110.0,1426.0,13.0,9.0,118.8,3.0,7.0,2.3,0.0,0.6,113.0,1433.0,12.7,9.0,
5.0,Tetairoa McMillan,Arizona,Pac-12,13.0,90.0,1402.0,15.6,10.0,107.8,1.0,3.0,3.0,0.0,0.2,91.0,1405.0,15.4,10.0,
6.0,Troy Franklin,Oregon,Pac-12,13.0,81.0,1383.0,17.1,14.0,106.4,0.0,0.0,,0.0,0.0,81.0,1383.0,17.1,14.0,
7.0,Caullin Lacy,South Alabama,Sun Belt,12.0,91.0,1316.0,14.5,7.0,109.7,0.0,0.0,,0.0,0.0,91.0,1316.0,14.5,7.0,
8.0,Xavier Legette,South Carolina,SEC,12.0,71.0,1255.0,17.7,7.0,104.6,9.0,-9.0,-1.0,0.0,-0.8,80.0,1246.0,15.6,7.0,
9.0,Luther Burden,Missouri,SEC,13.0,86.0,1212.0,14.1,9.0,93.2,7.0,31.0,4.4,0.0,2.4,93.0,1243.0,13.4,9.0,
10.0,Marvin Harrison Jr.,Ohio State,Big Ten,12.0,67.0,1211.0,18.1,14.0,100.9,2.0,26.0,13.0,1.0,2.2,69.0,1237.0,17.9,15.0,"H-4,AA"
11.0,Elijah Sarratt,James Madison,Sun Belt,13.0,82.0,1191.0,14.5,8.0,91.6,1.0,1.0,1.0,1.0,0.1,83.0,1192.0,14.4,9.0,
12.0,Tez Johnson,Oregon,Pac-12,14.0,86.0,1182.0,13.7,10.0,84.4,0.0,0.0,,0.0,0.0,86.0,1182.0,13.7,10.0,
13.0,Brian Thomas Jr.,LSU,SEC,13.0,68.0,1177.0,17.3,17.0,90.5,1.0,-6.0,-6.0,0.0,-0.5,69.0,1171.0,17.0,17.0,
14.0,LaJohntay Wester,Florida Atlantic,American,12.0,108.0,1168.0,10.8,8.0,97.3,8.0,44.0,5.5,1.0,3.7,116.0,1212.0,10.4,9.0,
15.0,Ja'lynn Polk,Washington,Pac-12,15.0,69.0,1159.0,16.8,9.0,77.3,4.0,32.0,8.0,1.0,2.1,73.0,1191.0,16.3,10.0,
16.0,Joshua Cephus,UTSA,American,13.0,89.0,1151.0,12.9,10.0,88.5,1.0,-9.0,-9.0,0.0,-0.7,90.0,1142.0,12.7,10.0,
17.0,Javon Baker,UCF,Big 12,13.0,52.0,1139.0,21.9,7.0,87.6,0.0,0.0,,0.0,0.0,52.0,1139.0,21.9,7.0,
18.0,Tory Horton,Colorado State,MWC,12.0,96.0,1136.0,11.8,8.0,94.7,0.0,0.0,,0.0,0.0,96.0,1136.0,11.8,8.0,
19.0,Kris Mitchell,Florida International,CUSA,12.0,64.0,1118.0,17.5,6.0,93.2,1.0,0.0,0.0,0.0,0.0,65.0,1118.0,17.2,6.0,
