Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Breece Hall*,Iowa State,Big 12,12.0,279.0,1572.0,5.6,21.0,131.0,23.0,180.0,7.8,2.0,15.0,302.0,1752.0,5.8,23.0,"H-6,AA"
2.0,Sincere McCormick*,UTSA,CUSA,11.0,249.0,1467.0,5.9,11.0,133.4,20.0,131.0,6.6,0.0,11.9,269.0,1598.0,5.9,11.0,
3.0,Najee Harris*,Alabama,SEC,13.0,251.0,1466.0,5.8,26.0,112.8,43.0,425.0,9.9,4.0,32.7,294.0,1891.0,6.4,30.0,"H-5,AA"
4.0,Michael Carter*,North Carolina,ACC,11.0,156.0,1245.0,8.0,9.0,113.2,25.0,267.0,10.7,2.0,24.3,181.0,1512.0,8.4,11.0,
5.0,Khalil Herbert,Virginia Tech,ACC,11.0,154.0,1182.0,7.7,8.0,107.5,10.0,179.0,17.9,1.0,16.3,164.0,1361.0,8.3,9.0,
6.0,Javonte Williams*,North Carolina,ACC,11.0,157.0,1140.0,7.3,19.0,103.6,25.0,305.0,12.2,3.0,27.7,182.0,1445.0,7.9,22.0,
7.0,Kevin Harris,South Carolina,SEC,10.0,185.0,1138.0,6.2,15.0,113.8,21.0,159.0,7.6,1.0,15.9,206.0,1297.0,6.3,16.0,
8.0,Tyler Allgeier*,BYU,Ind,11.0,150.0,1130.0,7.5,13.0,102.7,14.0,174.0,12.4,0.0,15.8,164.0,1304.0,8.0,13.0,
9.0,Kyren Williams*,Notre Dame,ACC,12.0,211.0,1125.0,5.3,13.0,93.8,35.0,313.0,8.9,1.0,26.1,246.0,1438.0,5.8,14.0,
10.0,Camerun Peoples*,Appalachian State,Sun Belt,12.0,168.0,1124.0,6.7,12.0,93.7,3.0,15.0,5.0,0.0,1.3,171.0,1139.0,6.7,12.0,
11.0,Mohamed Ibrahim,Minnesota,Big Ten,7.0,201.0,1076.0,5.4,15.0,153.7,8.0,56.0,7.0,0.0,8.0,209.0,1132.0,5.4,15.0,
