Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
444.0,Wyatt Rector*,Florida State,ACC,13.0,1.0,1.0,100.0,2.0,1.0,100.0,0.0,0.0,2.0,22.0,2.0,0.2,446.8,
445.0,Connor Cigelske*,Georgia Southern,Sun Belt,2.0,1.0,3.0,33.3,1.0,0.0,0.0,0.0,0.0,0.3,0.33,1.0,0.5,36.1,
446.0,Jay Butterfield*,Oregon,Pac-12,1.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,108.4,
447.0,Austin McCready,Louisiana Tech,CUSA,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
448.0,Brian Cobbs*,Utah State,MWC,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
449.0,Brock Vandagriff*,Georgia,SEC,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
450.0,Bryce Baringer,Michigan State,Big Ten,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,-45.0,,0.0,-200.0,AA
451.0,Bryson Daily,Army,Ind,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
452.0,Cam Peters*,UTSA,CUSA,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
453.0,Chance Black,Virginia Tech,ACC,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
454.0,Chase Brown*,Illinois,Big Ten,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
455.0,Chase Griffin*,UCLA,Pac-12,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
456.0,Damon Ward*,North Texas,CUSA,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
457.0,Davis Allen*,Clemson,ACC,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
458.0,Dayton Wade*,Ole Miss,SEC,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
459.0,Demarcus Jones*,North Carolina State,ACC,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
