Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
306.0,Riley Lees,Northwestern,Big Ten,12.0,51.0,430.0,8.4,2.0,35.8,3.0,6.0,2.0,0.0,0.5,54.0,436.0,8.1,2.0,
307.0,Marcus Williams,New Mexico,MWC,12.0,26.0,428.0,16.5,1.0,35.7,0.0,0.0,,0.0,0.0,26.0,428.0,16.5,1.0,
308.0,Bo Melton,Rutgers,Big Ten,12.0,30.0,427.0,14.2,2.0,35.6,4.0,22.0,5.5,0.0,1.8,34.0,449.0,13.2,2.0,
309.0,Amari Rodgers*,Clemson,ACC,14.0,30.0,426.0,14.2,4.0,30.4,2.0,50.0,25.0,1.0,3.6,32.0,476.0,14.9,5.0,
310.0,Michael Woods,Arkansas,SEC,12.0,33.0,423.0,12.8,4.0,35.3,0.0,0.0,,0.0,0.0,33.0,423.0,12.8,4.0,
311.0,Jalon Calhoun,Duke,ACC,12.0,46.0,420.0,9.1,4.0,35.0,4.0,2.0,0.5,0.0,0.2,50.0,422.0,8.4,4.0,
312.0,Jalen Walker*,Miami (OH),MAC,14.0,24.0,418.0,17.4,2.0,29.9,3.0,1.0,0.3,0.0,0.1,27.0,419.0,15.5,2.0,
313.0,Tyrice Richie,Northern Illinois,MAC,11.0,32.0,415.0,13.0,4.0,37.7,5.0,35.0,7.0,0.0,3.2,37.0,450.0,12.2,4.0,
314.0,Daylon Charlot,Kansas,Big 12,12.0,33.0,413.0,12.5,2.0,34.4,0.0,0.0,,0.0,0.0,33.0,413.0,12.5,2.0,
315.0,Cedric Peterson,Arizona,Pac-12,12.0,24.0,412.0,17.2,2.0,34.3,0.0,0.0,,0.0,0.0,24.0,412.0,17.2,2.0,
316.0,Jake Ferguson*,Wisconsin,Big Ten,14.0,33.0,407.0,12.3,2.0,29.1,0.0,0.0,,0.0,0.0,33.0,407.0,12.3,2.0,
317.0,Noah Togiai,Oregon State,Pac-12,12.0,44.0,406.0,9.2,3.0,33.8,0.0,0.0,,0.0,0.0,44.0,406.0,9.2,3.0,
318.0,Jacob Breeland*,Oregon,Pac-12,6.0,26.0,405.0,15.6,6.0,67.5,0.0,0.0,,0.0,0.0,26.0,405.0,15.6,6.0,
319.0,Jarrod Jackson*,Louisiana,Sun Belt,14.0,25.0,405.0,16.2,0.0,28.9,0.0,0.0,,0.0,0.0,25.0,405.0,16.2,0.0,
320.0,Tayvion Robinson*,Virginia Tech,ACC,13.0,31.0,404.0,13.0,1.0,31.1,11.0,132.0,12.0,0.0,10.2,42.0,536.0,12.8,1.0,
321.0,Rashee Rice*,SMU,American,10.0,25.0,403.0,16.1,1.0,40.3,1.0,0.0,0.0,0.0,0.0,26.0,403.0,15.5,1.0,
322.0,Tabari Hines,North Carolina State,ACC,12.0,37.0,402.0,10.9,2.0,33.5,3.0,53.0,17.7,0.0,4.4,40.0,455.0,11.4,2.0,
323.0,Deddrick Thomas*,Mississippi State,SEC,13.0,30.0,401.0,13.4,2.0,30.8,1.0,5.0,5.0,0.0,0.4,31.0,406.0,13.1,2.0,
324.0,D.J. Stubbs*,Liberty,Ind,13.0,32.0,401.0,12.5,3.0,30.8,1.0,-12.0,-12.0,0.0,-0.9,33.0,389.0,11.8,3.0,
325.0,Isaiah Graham*,Louisiana Tech,CUSA,13.0,21.0,398.0,19.0,4.0,30.6,0.0,0.0,,0.0,0.0,21.0,398.0,19.0,4.0,
326.0,Brian Casteel,Arizona,Pac-12,12.0,45.0,397.0,8.8,3.0,33.1,4.0,22.0,5.5,0.0,1.8,49.0,419.0,8.6,3.0,
327.0,Malik Knowles*,Kansas State,Big 12,11.0,27.0,397.0,14.7,3.0,36.1,7.0,70.0,10.0,0.0,6.4,34.0,467.0,13.7,3.0,
328.0,Ahmarean Brown,Georgia Tech,ACC,12.0,21.0,396.0,18.9,7.0,33.0,1.0,2.0,2.0,0.0,0.2,22.0,398.0,18.1,7.0,
329.0,Tyler Ringwood*,Charlotte,CUSA,13.0,25.0,395.0,15.8,5.0,30.4,0.0,0.0,,0.0,0.0,25.0,395.0,15.8,5.0,
330.0,Noah Gray,Duke,ACC,12.0,51.0,392.0,7.7,3.0,32.7,0.0,0.0,,0.0,0.0,51.0,392.0,7.7,3.0,
331.0,Zachari Jackson,Louisiana-Monroe,Sun Belt,12.0,30.0,392.0,13.1,1.0,32.7,0.0,0.0,,0.0,0.0,30.0,392.0,13.1,1.0,
332.0,Aaron Moore,Old Dominion,CUSA,12.0,26.0,389.0,15.0,3.0,32.4,0.0,0.0,,0.0,0.0,26.0,389.0,15.0,3.0,
333.0,Zack Moss*,Utah,Pac-12,13.0,28.0,388.0,13.9,2.0,29.8,235.0,1416.0,6.0,15.0,108.9,263.0,1804.0,6.9,17.0,
334.0,Rondale Moore,Purdue,Big Ten,4.0,29.0,387.0,13.3,2.0,96.8,3.0,3.0,1.0,0.0,0.8,32.0,390.0,12.2,2.0,
335.0,Stephen Guidry*,Mississippi State,SEC,12.0,30.0,387.0,12.9,5.0,32.3,0.0,0.0,,0.0,0.0,30.0,387.0,12.9,5.0,
336.0,Steve Jenkins,Nevada-Las Vegas,MWC,11.0,23.0,386.0,16.8,2.0,35.1,1.0,7.0,7.0,0.0,0.6,24.0,393.0,16.4,2.0,
337.0,Trey Knox,Arkansas,SEC,11.0,28.0,385.0,13.8,3.0,35.0,0.0,0.0,,0.0,0.0,28.0,385.0,13.8,3.0,
338.0,Jalen Virgil*,Appalachian State,Sun Belt,14.0,24.0,383.0,16.0,4.0,27.4,10.0,42.0,4.2,1.0,3.0,34.0,425.0,12.5,5.0,
339.0,Tayvian Cunningham,Arizona,Pac-12,12.0,35.0,383.0,10.9,2.0,31.9,1.0,-1.0,-1.0,0.0,-0.1,36.0,382.0,10.6,2.0,
340.0,Jeremy Singleton,Houston,American,12.0,26.0,381.0,14.7,3.0,31.8,0.0,0.0,,0.0,0.0,26.0,381.0,14.7,3.0,
341.0,Mychal Cooper*,Navy,American,12.0,18.0,380.0,21.1,2.0,31.7,3.0,28.0,9.3,0.0,2.3,21.0,408.0,19.4,2.0,
342.0,Cary Angeline,North Carolina State,ACC,12.0,25.0,379.0,15.2,5.0,31.6,0.0,0.0,,0.0,0.0,25.0,379.0,15.2,5.0,
343.0,Jeff Thomas*,Miami (FL),ACC,10.0,31.0,379.0,12.2,3.0,37.9,7.0,41.0,5.9,0.0,4.1,38.0,420.0,11.1,3.0,
344.0,Gunner Romney*,BYU,Ind,13.0,31.0,377.0,12.2,2.0,29.0,1.0,6.0,6.0,0.0,0.5,32.0,383.0,12.0,2.0,
