Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
253.0,Isaac Guerendo*,Wisconsin,Big Ten,12.0,64.0,385.0,6.0,5.0,32.1,17.0,115.0,6.8,1.0,9.6,81.0,500.0,6.2,6.0,
254.0,Jamoni Jones*,New Mexico State,Ind,13.0,111.0,383.0,3.5,6.0,29.5,6.0,71.0,11.8,1.0,5.5,117.0,454.0,3.9,7.0,
255.0,Caleb Williams*,USC,Pac-12,14.0,113.0,382.0,3.4,10.0,27.3,0.0,-2.0,,0.0,-0.1,113.0,380.0,3.4,10.0,"H-1,Maxwell,AA,Camp"
256.0,Antwaine Littleton*,Maryland,Big Ten,12.0,76.0,379.0,5.0,6.0,31.6,6.0,44.0,7.3,0.0,3.7,82.0,423.0,5.2,6.0,
257.0,D.J. Williams,Arizona,Pac-12,12.0,60.0,376.0,6.3,3.0,31.3,5.0,65.0,13.0,0.0,5.4,65.0,441.0,6.8,3.0,
258.0,Xavier Arline,Navy,American,9.0,96.0,376.0,3.9,3.0,41.8,0.0,0.0,,0.0,0.0,96.0,376.0,3.9,3.0,
259.0,John Emery Jr.*,LSU,SEC,11.0,76.0,375.0,4.9,6.0,34.1,13.0,129.0,9.9,2.0,11.7,89.0,504.0,5.7,8.0,
260.0,Robert Burns*,Connecticut,Ind,13.0,74.0,374.0,5.1,2.0,28.8,5.0,28.0,5.6,0.0,2.2,79.0,402.0,5.1,2.0,
261.0,Samuel Brown V,Rutgers,Big Ten,7.0,86.0,374.0,4.3,3.0,53.4,4.0,17.0,4.3,0.0,2.4,90.0,391.0,4.3,3.0,
262.0,Terrence Williams*,Louisiana,Sun Belt,12.0,104.0,373.0,3.6,1.0,31.1,9.0,47.0,5.2,1.0,3.9,113.0,420.0,3.7,2.0,
263.0,Jonah Coleman,Arizona,Pac-12,12.0,75.0,372.0,5.0,4.0,31.0,8.0,24.0,3.0,0.0,2.0,83.0,396.0,4.8,4.0,
264.0,Brennan Armstrong,Virginia,ACC,10.0,123.0,371.0,3.0,6.0,37.1,0.0,0.0,,0.0,0.0,123.0,371.0,3.0,6.0,
265.0,Courtney Reese,Nevada-Las Vegas,MWC,12.0,51.0,370.0,7.3,0.0,30.8,14.0,75.0,5.4,0.0,6.3,65.0,445.0,6.8,0.0,
266.0,Johnny Richardson*,UCF,American,14.0,54.0,370.0,6.9,0.0,26.4,22.0,122.0,5.5,1.0,8.7,76.0,492.0,6.5,1.0,
267.0,Velton Gardner*,SMU,American,8.0,70.0,368.0,5.3,1.0,46.0,8.0,22.0,2.8,0.0,2.8,78.0,390.0,5.0,1.0,
268.0,Todd Centeio,James Madison,Sun Belt,10.0,95.0,366.0,3.9,7.0,36.6,0.0,0.0,,0.0,0.0,95.0,366.0,3.9,7.0,
269.0,Perris Jones,Virginia,ACC,8.0,81.0,365.0,4.5,2.0,45.6,6.0,43.0,7.2,2.0,5.4,87.0,408.0,4.7,4.0,
270.0,Corey Kiner*,Cincinnati,American,10.0,81.0,362.0,4.5,5.0,36.2,2.0,2.0,1.0,0.0,0.2,83.0,364.0,4.4,5.0,
271.0,Jaylon Glover*,Utah,Pac-12,9.0,78.0,360.0,4.6,4.0,40.0,1.0,6.0,6.0,0.0,0.7,79.0,366.0,4.6,4.0,
272.0,Ta'Zhawn Henry*,Houston,American,9.0,88.0,359.0,4.1,3.0,39.9,21.0,246.0,11.7,1.0,27.3,109.0,605.0,5.6,4.0,
273.0,Dawaiian McNeely*,Wyoming,MWC,10.0,63.0,356.0,5.7,1.0,35.6,0.0,0.0,,0.0,0.0,63.0,356.0,5.7,1.0,
274.0,Chandler Rogers,Louisiana-Monroe,Sun Belt,12.0,145.0,353.0,2.4,5.0,29.4,1.0,3.0,3.0,1.0,0.3,146.0,356.0,2.4,6.0,
275.0,Robert Briggs*,Utah State,MWC,10.0,74.0,353.0,4.8,1.0,35.3,7.0,31.0,4.4,0.0,3.1,81.0,384.0,4.7,1.0,
276.0,Steven Anderson,Tulsa,American,10.0,84.0,352.0,4.2,6.0,35.2,3.0,56.0,18.7,0.0,5.6,87.0,408.0,4.7,6.0,
277.0,Dylan Downing*,Purdue,Big Ten,12.0,93.0,351.0,3.8,4.0,29.3,12.0,100.0,8.3,0.0,8.3,105.0,451.0,4.3,4.0,
278.0,Dre'lyn Washington*,Louisiana,Sun Belt,10.0,64.0,350.0,5.5,2.0,35.0,4.0,23.0,5.8,0.0,2.3,68.0,373.0,5.5,2.0,
279.0,Jaren Hall*,BYU,Ind,12.0,86.0,350.0,4.1,3.0,29.2,2.0,28.0,14.0,1.0,2.3,88.0,378.0,4.3,4.0,
280.0,D.Q. James*,Wyoming,MWC,9.0,40.0,346.0,8.7,0.0,38.4,5.0,44.0,8.8,0.0,4.9,45.0,390.0,8.7,0.0,
281.0,Marlon Gunn Jr.*,East Carolina,American,11.0,67.0,344.0,5.1,0.0,31.3,14.0,77.0,5.5,0.0,7.0,81.0,421.0,5.2,0.0,
282.0,Andrew Peasley*,Wyoming,MWC,12.0,81.0,339.0,4.2,2.0,28.3,0.0,0.0,,0.0,0.0,81.0,339.0,4.2,2.0,
283.0,Jakobi Buchanan,Army,Ind,11.0,82.0,337.0,4.1,6.0,30.6,0.0,0.0,,0.0,0.0,82.0,337.0,4.1,6.0,
284.0,Calvin Hill,Texas State,Sun Belt,7.0,76.0,333.0,4.4,1.0,47.6,8.0,46.0,5.8,0.0,6.6,84.0,379.0,4.5,1.0,
285.0,Kaelon Black,James Madison,Sun Belt,9.0,69.0,333.0,4.8,3.0,37.0,17.0,177.0,10.4,2.0,19.7,86.0,510.0,5.9,5.0,
286.0,Shaadie Clayton-Johnson*,Tulane,American,12.0,57.0,333.0,5.8,2.0,27.8,7.0,29.0,4.1,0.0,2.4,64.0,362.0,5.7,2.0,
287.0,Lopini Katoa*,BYU,Ind,10.0,75.0,332.0,4.4,2.0,33.2,10.0,80.0,8.0,0.0,8.0,85.0,412.0,4.8,2.0,
288.0,Branson Robinson*,Georgia,SEC,12.0,68.0,330.0,4.9,3.0,27.5,1.0,2.0,2.0,0.0,0.2,69.0,332.0,4.8,3.0,
289.0,Braylon McReynolds*,South Alabama,Sun Belt,11.0,59.0,326.0,5.5,0.0,29.6,21.0,226.0,10.8,1.0,20.5,80.0,552.0,6.9,1.0,
290.0,Jemel Jones,Army,Ind,8.0,72.0,326.0,4.5,7.0,40.8,0.0,0.0,,0.0,0.0,72.0,326.0,4.5,7.0,
291.0,TJ Harden*,UCLA,Pac-12,6.0,44.0,325.0,7.4,2.0,54.2,4.0,13.0,3.3,0.0,2.2,48.0,338.0,7.0,2.0,
292.0,Andrew Henry,Louisiana-Monroe,Sun Belt,12.0,75.0,323.0,4.3,4.0,26.9,11.0,92.0,8.4,1.0,7.7,86.0,415.0,4.8,5.0,
293.0,Marion Lukes,Central Michigan,MAC,8.0,51.0,323.0,6.3,3.0,40.4,5.0,81.0,16.2,1.0,10.1,56.0,404.0,7.2,4.0,
294.0,Camar Wheaton*,SMU,American,10.0,62.0,322.0,5.2,2.0,32.2,7.0,36.0,5.1,0.0,3.6,69.0,358.0,5.2,2.0,
295.0,Jalen Holston,Virginia Tech,ACC,11.0,90.0,321.0,3.6,5.0,29.2,10.0,66.0,6.6,0.0,6.0,100.0,387.0,3.9,5.0,
296.0,Tyre Shelton*,Miami (OH),MAC,11.0,85.0,321.0,3.8,3.0,29.2,8.0,39.0,4.9,0.0,3.5,93.0,360.0,3.9,3.0,
297.0,Tyrell Robinson,Army,Ind,5.0,38.0,321.0,8.4,1.0,64.2,7.0,135.0,19.3,1.0,27.0,45.0,456.0,10.1,2.0,
298.0,Keegan Jones*,UCLA,Pac-12,12.0,73.0,320.0,4.4,2.0,26.7,21.0,237.0,11.3,3.0,19.8,94.0,557.0,5.9,5.0,
299.0,Elijah Collins,Michigan State,Big Ten,12.0,70.0,318.0,4.5,6.0,26.5,14.0,93.0,6.6,0.0,7.8,84.0,411.0,4.9,6.0,
300.0,Reggie Love III*,Illinois,Big Ten,13.0,70.0,316.0,4.5,2.0,24.3,4.0,16.0,4.0,0.0,1.2,74.0,332.0,4.5,2.0,
301.0,Alex Fontenot,Colorado,Pac-12,6.0,65.0,315.0,4.8,2.0,52.5,6.0,56.0,9.3,0.0,9.3,71.0,371.0,5.2,2.0,
302.0,Dillon Gabriel*,Oklahoma,Big 12,12.0,89.0,315.0,3.5,6.0,26.3,1.0,13.0,13.0,0.0,1.1,90.0,328.0,3.6,6.0,
303.0,Demarcus Irons Jr.,Akron,MAC,10.0,133.0,314.0,2.4,4.0,31.4,0.0,0.0,,0.0,0.0,133.0,314.0,2.4,4.0,
