Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att.1,Yds,Y/A,TD
2004,Auburn,553.0,13.0,13.0,0.0,0.0,1.0,417.0,147.0,270.0,553.0,2383.0,4.3,27.0
2004,Tennessee,520.0,13.0,10.0,3.0,0.0,0.769,378.0,295.0,83.0,520.0,2418.0,4.7,21.0
2004,LSU,506.0,12.0,9.0,3.0,0.0,0.75,344.0,205.0,139.0,506.0,2326.0,4.6,20.0
2004,Alabama,502.0,12.0,6.0,6.0,0.0,0.5,295.0,189.0,106.0,502.0,2221.0,4.4,21.0
2004,Arkansas,467.0,11.0,5.0,6.0,0.0,0.455,328.0,270.0,58.0,467.0,2061.0,4.4,22.0
2004,South Carolina,464.0,11.0,6.0,5.0,0.0,0.545,243.0,229.0,14.0,464.0,1856.0,4.0,14.0
2004,Georgia,463.0,12.0,10.0,2.0,0.0,0.833,335.0,198.0,137.0,463.0,1882.0,4.1,16.0
2004,Ole Miss,439.0,11.0,4.0,7.0,0.0,0.364,215.0,278.0,-63.0,439.0,1748.0,4.0,13.0
2004,Vanderbilt,439.0,11.0,2.0,9.0,0.0,0.182,212.0,286.0,-74.0,439.0,1634.0,3.7,16.0
2004,Florida,415.0,12.0,7.0,5.0,0.0,0.583,382.0,253.0,129.0,415.0,1870.0,4.5,20.0
2004,Mississippi State,401.0,11.0,3.0,8.0,0.0,0.273,173.0,280.0,-107.0,401.0,1744.0,4.3,11.0
2004,Kentucky,355.0,11.0,2.0,9.0,0.0,0.182,173.0,341.0,-168.0,355.0,1185.0,3.3,11.0
2004,Minnesota,572.0,12.0,7.0,5.0,0.0,0.583,361.0,273.0,88.0,572.0,3082.0,5.4,29.0
2004,Wisconsin,532.0,12.0,9.0,3.0,0.0,0.75,249.0,185.0,64.0,532.0,1931.0,3.6,18.0
2004,Michigan State,500.0,12.0,5.0,7.0,0.0,0.417,353.0,326.0,27.0,500.0,2862.0,5.7,22.0
2004,Michigan,481.0,12.0,9.0,3.0,0.0,0.75,370.0,279.0,91.0,481.0,1843.0,3.8,15.0
2004,Indiana,471.0,11.0,3.0,8.0,0.0,0.273,262.0,343.0,-81.0,471.0,1476.0,3.1,13.0
2004,Northwestern,445.0,12.0,6.0,6.0,0.0,0.5,295.0,342.0,-47.0,445.0,2066.0,4.6,23.0
2004,Ohio State,441.0,12.0,8.0,4.0,0.0,0.667,290.0,219.0,71.0,441.0,1745.0,4.0,11.0
2004,Iowa,428.0,12.0,10.0,2.0,0.0,0.833,292.0,211.0,81.0,428.0,871.0,2.0,10.0
2004,Purdue,424.0,12.0,7.0,5.0,0.0,0.583,381.0,206.0,175.0,424.0,1504.0,3.5,11.0
2004,Illinois,405.0,11.0,3.0,8.0,0.0,0.273,240.0,323.0,-83.0,405.0,1687.0,4.2,15.0
2004,Penn State,367.0,11.0,4.0,7.0,0.0,0.364,195.0,168.0,27.0,367.0,1429.0,3.9,14.0
2004,Texas,615.0,12.0,11.0,1.0,0.0,0.917,423.0,215.0,208.0,615.0,3590.0,5.8,41.0
2004,Oklahoma State,594.0,12.0,7.0,5.0,0.0,0.583,387.0,301.0,86.0,594.0,2844.0,4.8,32.0
2004,Oklahoma,565.0,13.0,12.0,1.0,0.0,0.923,452.0,219.0,233.0,565.0,2709.0,4.8,22.0
2004,Iowa State,536.0,12.0,7.0,5.0,0.0,0.583,246.0,259.0,-13.0,536.0,1701.0,3.2,11.0
2004,Kansas State,480.0,11.0,4.0,7.0,0.0,0.364,326.0,337.0,-11.0,480.0,2044.0,4.3,25.0
2004,Missouri,457.0,11.0,5.0,6.0,0.0,0.455,256.0,215.0,41.0,457.0,1815.0,4.0,13.0
2004,Colorado,446.0,13.0,8.0,5.0,0.0,0.615,304.0,332.0,-28.0,446.0,1622.0,3.6,15.0
2004,Texas A&M,434.0,12.0,7.0,5.0,0.0,0.583,341.0,292.0,49.0,434.0,2007.0,4.6,24.0
2004,Nebraska,412.0,11.0,5.0,6.0,0.0,0.455,275.0,298.0,-23.0,412.0,1939.0,4.7,18.0
2004,Kansas,378.0,11.0,4.0,7.0,0.0,0.364,262.0,235.0,27.0,378.0,1034.0,2.7,12.0
2004,Baylor,366.0,11.0,3.0,8.0,0.0,0.273,224.0,406.0,-182.0,366.0,1088.0,3.0,8.0
2004,Texas Tech,293.0,12.0,8.0,4.0,0.0,0.667,434.0,314.0,120.0,293.0,1104.0,3.8,23.0
2004,Virginia Tech,552.0,13.0,10.0,3.0,0.0,0.769,400.0,167.0,233.0,552.0,2317.0,4.2,18.0
2004,Virginia,550.0,12.0,8.0,4.0,0.0,0.667,363.0,212.0,151.0,550.0,2914.0,5.3,34.0
2004,Wake Forest,527.0,11.0,4.0,7.0,0.0,0.364,230.0,253.0,-23.0,527.0,2267.0,4.3,18.0
2004,Georgia Tech,486.0,12.0,7.0,5.0,0.0,0.583,264.0,227.0,37.0,486.0,1947.0,4.0,11.0
2004,Florida State,460.0,12.0,9.0,3.0,0.0,0.75,302.0,169.0,133.0,460.0,1944.0,4.2,19.0
2004,Maryland,450.0,11.0,5.0,6.0,0.0,0.455,195.0,220.0,-25.0,450.0,1315.0,2.9,12.0
2004,North Carolina,436.0,12.0,6.0,6.0,0.0,0.5,319.0,382.0,-63.0,436.0,2115.0,4.9,19.0
