Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att.1,Yds,Y/A,TD
2023,Wake Forest,468.0,12.0,4.0,8.0,0.0,0.333,243.0,326.0,-83.0,468.0,1565.0,3.3,13.0
2023,Florida State,463.0,14.0,13.0,1.0,0.0,0.929,484.0,270.0,214.0,463.0,2103.0,4.5,32.0
2023,Virginia,454.0,12.0,3.0,9.0,0.0,0.25,279.0,405.0,-126.0,454.0,1415.0,3.1,12.0
2023,Duke,448.0,13.0,8.0,5.0,0.0,0.615,350.0,247.0,103.0,448.0,2174.0,4.9,26.0
2023,Miami (FL),440.0,13.0,7.0,6.0,0.0,0.538,409.0,296.0,113.0,440.0,2251.0,5.1,24.0
2023,Pitt,356.0,12.0,3.0,9.0,0.0,0.25,242.0,328.0,-86.0,356.0,1223.0,3.4,10.0
2023,Utah,562.0,13.0,8.0,5.0,0.0,0.615,301.0,251.0,50.0,562.0,2373.0,4.2,19.0
2023,UCLA,527.0,13.0,8.0,5.0,0.0,0.615,344.0,239.0,105.0,527.0,2573.0,4.9,21.0
2023,California,497.0,13.0,6.0,7.0,0.0,0.462,393.0,426.0,-33.0,497.0,2246.0,4.5,26.0
2023,Oregon State,445.0,13.0,8.0,5.0,0.0,0.615,414.0,298.0,116.0,445.0,2172.0,4.9,26.0
2023,Oregon,437.0,14.0,12.0,2.0,0.0,0.857,619.0,231.0,388.0,437.0,2583.0,5.9,33.0
2023,Stanford,413.0,12.0,3.0,9.0,0.0,0.25,247.0,452.0,-205.0,413.0,1423.0,3.4,15.0
2023,Washington,411.0,15.0,14.0,1.0,0.0,0.933,540.0,372.0,168.0,411.0,1776.0,4.3,28.0
2023,Arizona,398.0,13.0,10.0,3.0,0.0,0.769,450.0,274.0,176.0,398.0,1816.0,4.6,17.0
2023,Arizona State,374.0,12.0,3.0,9.0,0.0,0.25,213.0,382.0,-169.0,374.0,1343.0,3.6,17.0
2023,USC,362.0,13.0,8.0,5.0,0.0,0.615,544.0,447.0,97.0,362.0,1750.0,4.8,33.0
2023,Colorado,358.0,12.0,4.0,8.0,0.0,0.333,338.0,418.0,-80.0,358.0,827.0,2.3,12.0
2023,Washington State,342.0,12.0,5.0,7.0,0.0,0.417,380.0,337.0,43.0,342.0,1018.0,3.0,17.0
2023,South Florida,580.0,13.0,7.0,6.0,0.0,0.538,415.0,419.0,-4.0,580.0,2377.0,4.1,23.0
2023,SMU,555.0,14.0,11.0,3.0,0.0,0.786,542.0,249.0,293.0,555.0,2463.0,4.4,29.0
2023,Navy,548.0,12.0,5.0,7.0,0.0,0.417,212.0,269.0,-57.0,548.0,2335.0,4.3,16.0
2023,Tulane,527.0,14.0,11.0,3.0,0.0,0.786,369.0,287.0,82.0,527.0,2171.0,4.1,16.0
2023,Tulsa,527.0,12.0,4.0,8.0,0.0,0.333,281.0,406.0,-125.0,527.0,2169.0,4.1,13.0
2023,UTSA,516.0,13.0,9.0,4.0,0.0,0.692,415.0,313.0,102.0,516.0,2233.0,4.3,27.0
2023,Charlotte,464.0,12.0,3.0,9.0,0.0,0.25,210.0,343.0,-133.0,464.0,1740.0,3.8,16.0
2023,North Texas,449.0,12.0,5.0,7.0,0.0,0.417,414.0,445.0,-31.0,449.0,2294.0,5.1,19.0
2023,Memphis,429.0,13.0,10.0,3.0,0.0,0.769,512.0,374.0,138.0,429.0,1976.0,4.6,31.0
2023,UAB,426.0,12.0,4.0,8.0,0.0,0.333,359.0,443.0,-84.0,426.0,1933.0,4.5,24.0
2023,Rice,387.0,13.0,6.0,7.0,0.0,0.462,384.0,365.0,19.0,387.0,1436.0,3.7,21.0
2023,East Carolina,385.0,12.0,2.0,10.0,0.0,0.167,208.0,269.0,-61.0,385.0,1360.0,3.5,12.0
2023,Florida Atlantic,369.0,12.0,4.0,8.0,0.0,0.333,285.0,306.0,-21.0,369.0,1383.0,3.7,16.0
2023,Temple,331.0,12.0,3.0,9.0,0.0,0.25,253.0,428.0,-175.0,331.0,1148.0,3.5,9.0
2023,Air Force,719.0,13.0,9.0,4.0,0.0,0.692,362.0,236.0,126.0,719.0,3660.0,5.1,36.0
2023,Boise State,560.0,14.0,8.0,6.0,0.0,0.571,450.0,358.0,92.0,560.0,3008.0,5.4,34.0
2023,Nevada-Las Vegas,538.0,14.0,9.0,5.0,0.0,0.643,482.0,400.0,82.0,538.0,2429.0,4.5,39.0
2023,Utah State,496.0,13.0,6.0,7.0,0.0,0.462,431.0,451.0,-20.0,496.0,2397.0,4.8,18.0
2023,Wyoming,468.0,13.0,9.0,4.0,0.0,0.692,329.0,290.0,39.0,468.0,2060.0,4.4,19.0
2023,San Diego State,454.0,12.0,4.0,8.0,0.0,0.333,246.0,321.0,-75.0,454.0,1851.0,4.1,16.0
2023,Nevada,443.0,12.0,2.0,10.0,0.0,0.167,208.0,401.0,-193.0,443.0,1498.0,3.4,14.0
2023,New Mexico,440.0,12.0,4.0,8.0,0.0,0.333,327.0,421.0,-94.0,440.0,2312.0,5.3,26.0
2023,San Jose State,429.0,13.0,7.0,6.0,0.0,0.538,414.0,333.0,81.0,429.0,2393.0,5.6,31.0
2023,Fresno State,366.0,13.0,9.0,4.0,0.0,0.692,396.0,305.0,91.0,366.0,1372.0,3.7,16.0
2023,Colorado State,332.0,12.0,5.0,7.0,0.0,0.417,313.0,355.0,-42.0,332.0,1106.0,3.3,10.0
2023,Hawaii,325.0,13.0,5.0,8.0,0.0,0.385,278.0,419.0,-141.0,325.0,989.0,3.0,6.0
2023,Appalachian State,534.0,14.0,9.0,5.0,0.0,0.643,465.0,378.0,87.0,534.0,2408.0,4.5,23.0
2023,Texas State,529.0,13.0,8.0,5.0,0.0,0.615,477.0,427.0,50.0,529.0,2427.0,4.6,33.0
2023,Georgia State,513.0,13.0,7.0,6.0,0.0,0.538,354.0,391.0,-37.0,513.0,2445.0,4.8,25.0
2023,Troy,486.0,14.0,11.0,3.0,0.0,0.786,415.0,240.0,175.0,486.0,2148.0,4.4,19.0
2023,Southern Mississippi,485.0,12.0,3.0,9.0,0.0,0.25,278.0,429.0,-151.0,485.0,1953.0,4.0,16.0
2023,Old Dominion,474.0,13.0,6.0,7.0,0.0,0.462,310.0,353.0,-43.0,474.0,1994.0,4.2,15.0
2023,Louisiana,469.0,13.0,6.0,7.0,0.0,0.462,418.0,372.0,46.0,469.0,2284.0,4.9,25.0
2023,South Alabama,469.0,13.0,7.0,6.0,0.0,0.538,430.0,273.0,157.0,469.0,2236.0,4.8,28.0
2023,Coastal Carolina,465.0,13.0,8.0,5.0,0.0,0.615,360.0,310.0,50.0,465.0,2010.0,4.3,17.0
2023,Arkansas State,459.0,13.0,6.0,7.0,0.0,0.462,352.0,395.0,-43.0,459.0,1919.0,4.2,20.0
2023,Marshall,452.0,13.0,6.0,7.0,0.0,0.462,296.0,373.0,-77.0,452.0,1720.0,3.8,21.0
2023,James Madison,446.0,13.0,11.0,2.0,0.0,0.846,443.0,253.0,190.0,446.0,1744.0,3.9,17.0
2023,Louisiana-Monroe,415.0,12.0,2.0,10.0,0.0,0.167,208.0,419.0,-211.0,415.0,1753.0,4.2,7.0
2023,Georgia Southern,377.0,13.0,6.0,7.0,0.0,0.462,392.0,396.0,-4.0,377.0,1524.0,4.0,16.0
2023,Toledo,524.0,14.0,11.0,3.0,0.0,0.786,452.0,284.0,168.0,524.0,2780.0,5.3,31.0
