Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att.1,Yds,Y/A,TD
2002,Arkansas,643.0,14.0,9.0,5.0,0.0,0.643,370.0,277.0,93.0,643.0,3065.0,4.8,22.0
2002,Alabama,619.0,13.0,10.0,3.0,0.0,0.769,367.0,200.0,167.0,619.0,2772.0,4.5,29.0
2002,Auburn,563.0,13.0,9.0,4.0,0.0,0.692,388.0,231.0,157.0,563.0,2648.0,4.7,32.0
2002,LSU,558.0,13.0,8.0,5.0,0.0,0.615,323.0,238.0,85.0,558.0,2560.0,4.6,19.0
2002,Georgia,536.0,14.0,13.0,1.0,0.0,0.929,450.0,212.0,238.0,536.0,1954.0,3.6,18.0
2002,Tennessee,517.0,13.0,8.0,5.0,0.0,0.615,296.0,227.0,69.0,517.0,1957.0,3.8,19.0
2002,Vanderbilt,481.0,12.0,2.0,10.0,0.0,0.167,221.0,368.0,-147.0,481.0,2082.0,4.3,18.0
2002,South Carolina,477.0,12.0,5.0,7.0,0.0,0.417,225.0,262.0,-37.0,477.0,2004.0,4.2,16.0
2002,Florida,465.0,13.0,8.0,5.0,0.0,0.615,336.0,279.0,57.0,465.0,1771.0,3.8,20.0
2002,Kentucky,430.0,12.0,7.0,5.0,0.0,0.583,385.0,301.0,84.0,430.0,1782.0,4.1,19.0
2002,Mississippi State,421.0,12.0,3.0,9.0,0.0,0.25,227.0,339.0,-112.0,421.0,1431.0,3.4,10.0
2002,Ole Miss,413.0,13.0,7.0,6.0,0.0,0.538,351.0,331.0,20.0,413.0,1226.0,3.0,20.0
2002,Wisconsin,645.0,14.0,8.0,6.0,0.0,0.571,372.0,322.0,50.0,645.0,2663.0,4.1,30.0
2002,Ohio State,629.0,14.0,14.0,0.0,0.0,1.0,410.0,183.0,227.0,629.0,2678.0,4.3,31.0
2002,Minnesota,586.0,13.0,8.0,5.0,0.0,0.615,376.0,319.0,57.0,586.0,2727.0,4.7,22.0
2002,Purdue,582.0,13.0,7.0,6.0,0.0,0.538,386.0,288.0,98.0,582.0,2555.0,4.4,26.0
2002,Iowa,553.0,13.0,11.0,2.0,0.0,0.846,484.0,256.0,228.0,553.0,2784.0,5.0,24.0
2002,Penn State,526.0,13.0,9.0,4.0,0.0,0.692,446.0,227.0,219.0,526.0,2972.0,5.7,36.0
2002,Michigan,505.0,13.0,10.0,3.0,0.0,0.769,361.0,265.0,96.0,505.0,1929.0,3.8,25.0
2002,Illinois,461.0,12.0,5.0,7.0,0.0,0.417,346.0,307.0,39.0,461.0,1968.0,4.3,13.0
2002,Northwestern,437.0,12.0,3.0,9.0,0.0,0.25,272.0,493.0,-221.0,437.0,1884.0,4.3,25.0
2002,Indiana,434.0,12.0,3.0,9.0,0.0,0.25,258.0,445.0,-187.0,434.0,1398.0,3.2,12.0
2002,Michigan State,430.0,12.0,4.0,8.0,0.0,0.333,316.0,398.0,-82.0,430.0,1709.0,4.0,14.0
2002,Nebraska,724.0,14.0,7.0,7.0,0.0,0.5,383.0,335.0,48.0,724.0,3762.0,5.2,29.0
2002,Kansas State,655.0,13.0,11.0,2.0,0.0,0.846,582.0,154.0,428.0,655.0,3433.0,5.2,53.0
2002,Colorado,652.0,14.0,9.0,5.0,0.0,0.643,398.0,325.0,73.0,652.0,3259.0,5.0,28.0
2002,Oklahoma,591.0,14.0,12.0,2.0,0.0,0.857,541.0,216.0,325.0,591.0,2668.0,4.5,33.0
2002,Iowa State,554.0,14.0,7.0,7.0,0.0,0.5,404.0,396.0,8.0,554.0,2030.0,3.7,30.0
2002,Texas,511.0,13.0,11.0,2.0,0.0,0.846,439.0,212.0,227.0,511.0,1762.0,3.4,23.0
2002,Missouri,494.0,12.0,5.0,7.0,0.0,0.417,360.0,352.0,8.0,494.0,2204.0,4.5,27.0
2002,Kansas,472.0,12.0,2.0,10.0,0.0,0.167,248.0,507.0,-259.0,472.0,1515.0,3.2,18.0
2002,Baylor,447.0,12.0,3.0,9.0,0.0,0.25,202.0,496.0,-294.0,447.0,1241.0,2.8,16.0
2002,Oklahoma State,441.0,13.0,8.0,5.0,0.0,0.615,446.0,356.0,90.0,441.0,1930.0,4.4,24.0
2002,Texas A&M,421.0,12.0,6.0,6.0,0.0,0.5,345.0,280.0,65.0,421.0,1418.0,3.4,16.0
2002,Texas Tech,385.0,14.0,9.0,5.0,0.0,0.643,537.0,439.0,98.0,385.0,1391.0,3.6,15.0
2002,Wake Forest,718.0,13.0,7.0,6.0,0.0,0.538,356.0,327.0,29.0,718.0,3135.0,4.4,33.0
2002,Maryland,592.0,14.0,11.0,3.0,0.0,0.786,451.0,228.0,223.0,592.0,2783.0,4.7,32.0
2002,Florida State,562.0,14.0,9.0,5.0,0.0,0.643,428.0,301.0,127.0,562.0,2618.0,4.7,20.0
2002,North Carolina State,522.0,14.0,11.0,3.0,0.0,0.786,460.0,238.0,222.0,522.0,2017.0,3.9,33.0
2002,Georgia Tech,500.0,13.0,7.0,6.0,0.0,0.538,280.0,267.0,13.0,500.0,2127.0,4.3,20.0
2002,Duke,487.0,12.0,2.0,10.0,0.0,0.167,227.0,353.0,-126.0,487.0,1901.0,3.9,8.0
2002,Virginia,486.0,14.0,9.0,5.0,0.0,0.643,402.0,348.0,54.0,486.0,1777.0,3.7,16.0
2002,Clemson,458.0,13.0,7.0,6.0,0.0,0.538,330.0,349.0,-19.0,458.0,1569.0,3.4,22.0
2002,North Carolina,414.0,12.0,3.0,9.0,0.0,0.25,223.0,421.0,-198.0,414.0,1230.0,3.0,7.0
2002,UCLA,519.0,13.0,8.0,5.0,0.0,0.615,387.0,326.0,61.0,519.0,1658.0,3.2,20.0
2002,USC,515.0,13.0,11.0,2.0,0.0,0.846,465.0,240.0,225.0,515.0,1852.0,3.6,25.0
2002,Oregon State,502.0,13.0,8.0,5.0,0.0,0.615,414.0,267.0,147.0,502.0,1933.0,3.9,21.0
2002,Arizona State,489.0,14.0,8.0,6.0,0.0,0.571,452.0,407.0,45.0,489.0,1246.0,2.5,20.0
2002,Oregon,476.0,13.0,7.0,6.0,0.0,0.538,417.0,362.0,55.0,476.0,1893.0,4.0,21.0
2002,Washington,454.0,13.0,7.0,6.0,0.0,0.538,398.0,342.0,56.0,454.0,968.0,2.1,15.0
2002,Washington State,433.0,13.0,10.0,3.0,0.0,0.769,431.0,296.0,135.0,433.0,1680.0,3.9,17.0
2002,Stanford,427.0,11.0,2.0,9.0,0.0,0.182,225.0,377.0,-152.0,427.0,1465.0,3.4,12.0
2002,California,392.0,12.0,7.0,5.0,0.0,0.583,427.0,318.0,109.0,392.0,1296.0,3.3,14.0
2002,Arizona,360.0,12.0,4.0,8.0,0.0,0.333,227.0,310.0,-83.0,360.0,526.0,1.5,7.0
2002,Air Force,786.0,13.0,8.0,5.0,0.0,0.615,440.0,303.0,137.0,786.0,4001.0,5.1,41.0
2002,Colorado State,622.0,14.0,10.0,4.0,0.0,0.714,418.0,332.0,86.0,622.0,2880.0,4.6,32.0
2002,New Mexico,593.0,13.0,7.0,7.0,0.0,0.5,341.0,358.0,-17.0,593.0,2504.0,4.2,26.0
2002,Nevada-Las Vegas,498.0,12.0,5.0,7.0,0.0,0.417,292.0,366.0,-74.0,498.0,2573.0,5.2,22.0
2002,Utah,442.0,11.0,5.0,6.0,0.0,0.455,249.0,226.0,23.0,442.0,1803.0,4.1,15.0
2002,BYU,420.0,12.0,5.0,7.0,0.0,0.417,272.0,333.0,-61.0,420.0,1453.0,3.5,17.0
2002,Wyoming,387.0,12.0,2.0,10.0,0.0,0.167,288.0,432.0,-144.0,387.0,1200.0,3.1,13.0
2002,San Diego State,370.0,13.0,4.0,9.0,0.0,0.308,309.0,411.0,-102.0,370.0,948.0,2.6,9.0
2002,North Texas,587.0,12.0,8.0,5.0,0.0,0.615,249.0,192.0,57.0,587.0,2372.0,4.0,23.0
2002,New Mexico State,573.0,12.0,7.0,5.0,0.0,0.583,327.0,328.0,-1.0,573.0,2575.0,4.5,25.0
2002,Arkansas State,537.0,13.0,6.0,7.0,0.0,0.462,259.0,361.0,-102.0,537.0,2374.0,4.4,25.0
2002,Middle Tennessee State,528.0,12.0,4.0,8.0,0.0,0.333,297.0,332.0,-35.0,528.0,2504.0,4.7,30.0
2002,Louisiana-Monroe,413.0,12.0,3.0,9.0,0.0,0.25,236.0,451.0,-215.0,413.0,1461.0,3.5,12.0
2002,Idaho,396.0,12.0,2.0,10.0,0.0,0.167,285.0,428.0,-143.0,396.0,1380.0,3.5,14.0
2002,Louisiana,384.0,12.0,3.0,9.0,0.0,0.25,203.0,352.0,-149.0,384.0,734.0,1.9,9.0
2002,Ohio,649.0,12.0,4.0,8.0,0.0,0.333,299.0,374.0,-75.0,649.0,2878.0,4.4,30.0
2002,Toledo,590.0,14.0,9.0,5.0,0.0,0.643,495.0,378.0,117.0,590.0,3000.0,5.1,38.0
2002,Central Michigan,556.0,12.0,4.0,8.0,0.0,0.333,267.0,384.0,-117.0,556.0,2473.0,4.4,22.0
2002,Northern Illinois,541.0,12.0,8.0,4.0,0.0,0.667,375.0,298.0,77.0,541.0,2409.0,4.5,24.0
2002,Bowling Green,500.0,12.0,9.0,3.0,0.0,0.75,490.0,304.0,186.0,500.0,2629.0,5.3,34.0
2002,Ball State,499.0,12.0,6.0,6.0,0.0,0.5,278.0,333.0,-55.0,499.0,1955.0,3.9,15.0
2002,Akron,489.0,12.0,4.0,8.0,0.0,0.333,325.0,379.0,-54.0,489.0,1890.0,3.9,25.0
2002,Kent State,485.0,12.0,3.0,9.0,0.0,0.25,202.0,424.0,-222.0,485.0,2579.0,5.3,16.0
2002,Miami (OH),451.0,12.0,7.0,5.0,0.0,0.583,384.0,325.0,59.0,451.0,1532.0,3.4,23.0
2002,Marshall,416.0,13.0,11.0,2.0,0.0,0.846,457.0,315.0,142.0,416.0,1635.0,3.9,21.0
2002,Western Michigan,393.0,12.0,4.0,8.0,0.0,0.333,303.0,330.0,-27.0,393.0,1287.0,3.3,13.0
2002,Eastern Michigan,391.0,12.0,3.0,9.0,0.0,0.25,286.0,566.0,-280.0,391.0,1366.0,3.5,15.0
2002,Buffalo,382.0,12.0,1.0,11.0,0.0,0.083,214.0,416.0,-202.0,382.0,1180.0,3.1,13.0
2002,UCF,361.0,12.0,7.0,5.0,0.0,0.583,391.0,315.0,76.0,361.0,1396.0,3.9,18.0
2002,Texas Christian,589.0,12.0,10.0,2.0,0.0,0.833,361.0,222.0,139.0,589.0,2438.0,4.1,23.0
2002,Cincinnati,545.0,14.0,7.0,7.0,0.0,0.5,409.0,329.0,80.0,545.0,1916.0,3.5,21.0
2002,Houston,524.0,12.0,5.0,7.0,0.0,0.417,320.0,393.0,-73.0,524.0,2043.0,3.9,22.0
2002,Southern Mississippi,523.0,13.0,7.0,6.0,0.0,0.538,282.0,238.0,44.0,523.0,1868.0,3.6,20.0
2002,Tulane,475.0,13.0,8.0,5.0,0.0,0.615,361.0,282.0,79.0,475.0,1422.0,3.0,14.0
2002,UAB,458.0,12.0,5.0,7.0,0.0,0.417,268.0,370.0,-102.0,458.0,1562.0,3.4,12.0
2002,Louisville,453.0,13.0,7.0,6.0,0.0,0.538,374.0,319.0,55.0,453.0,1390.0,3.1,16.0
2002,East Carolina,439.0,12.0,4.0,8.0,0.0,0.333,335.0,399.0,-64.0,439.0,1488.0,3.4,20.0
2002,Army,428.0,12.0,1.0,11.0,0.0,0.083,226.0,491.0,-265.0,428.0,1445.0,3.4,15.0
2002,Memphis,390.0,12.0,3.0,9.0,0.0,0.25,303.0,327.0,-24.0,390.0,1390.0,3.6,15.0
