Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att.1,Yds,Y/A,TD
2001,Arkansas,494.0,11.0,7.0,5.0,0.0,0.583,291.0,269.0,22.0,494.0,1950.0,3.9,23.0
2001,Alabama,472.0,11.0,7.0,5.0,0.0,0.583,304.0,219.0,85.0,472.0,2490.0,5.3,19.0
2001,Tennessee,453.0,12.0,11.0,2.0,0.0,0.846,355.0,234.0,121.0,453.0,1849.0,4.1,19.0
2001,LSU,451.0,12.0,10.0,3.0,0.0,0.769,371.0,268.0,103.0,451.0,1840.0,4.1,28.0
2001,South Carolina,450.0,11.0,9.0,3.0,0.0,0.75,279.0,202.0,77.0,450.0,2053.0,4.6,20.0
2001,Auburn,437.0,11.0,7.0,5.0,0.0,0.583,244.0,265.0,-21.0,437.0,1665.0,3.8,17.0
2001,Georgia,432.0,11.0,8.0,4.0,0.0,0.667,315.0,208.0,107.0,432.0,1787.0,4.1,16.0
2001,Ole Miss,422.0,11.0,7.0,4.0,0.0,0.636,391.0,310.0,81.0,422.0,1587.0,3.8,23.0
2001,Mississippi State,397.0,11.0,3.0,8.0,0.0,0.273,196.0,288.0,-92.0,397.0,1415.0,3.6,10.0
2001,Vanderbilt,367.0,11.0,2.0,9.0,0.0,0.182,226.0,402.0,-176.0,367.0,1475.0,4.0,17.0
2001,Florida,324.0,11.0,10.0,2.0,0.0,0.833,482.0,155.0,327.0,324.0,1346.0,4.2,16.0
2001,Kentucky,286.0,11.0,2.0,9.0,0.0,0.182,259.0,367.0,-108.0,286.0,1180.0,4.1,10.0
2001,Indiana,541.0,11.0,5.0,6.0,0.0,0.455,305.0,298.0,7.0,541.0,2964.0,5.5,33.0
2001,Ohio State,513.0,11.0,7.0,5.0,0.0,0.583,284.0,213.0,71.0,513.0,2093.0,4.1,23.0
2001,Wisconsin,512.0,12.0,5.0,7.0,0.0,0.417,313.0,346.0,-33.0,512.0,2123.0,4.1,21.0
