Season,Team,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Att.1,Yds,Y/A,TD
2022,Ole Miss,614.0,13.0,8.0,5.0,0.0,0.615,435.0,332.0,103.0,614.0,3336.0,5.4,33.0
2022,Arkansas,605.0,13.0,7.0,6.0,0.0,0.538,423.0,398.0,25.0,605.0,3077.0,5.1,27.0
2022,Georgia,557.0,15.0,15.0,0.0,0.0,1.0,616.0,214.0,402.0,557.0,3080.0,5.5,44.0
2022,Tennessee,523.0,13.0,11.0,2.0,0.0,0.846,599.0,296.0,303.0,523.0,2593.0,5.0,40.0
2022,LSU,517.0,14.0,10.0,4.0,0.0,0.714,483.0,315.0,168.0,517.0,2574.0,5.0,39.0
2022,Missouri,490.0,13.0,6.0,7.0,0.0,0.462,323.0,327.0,-4.0,490.0,2024.0,4.1,20.0
2022,Auburn,488.0,12.0,5.0,7.0,0.0,0.417,297.0,354.0,-57.0,488.0,2470.0,5.1,25.0
2022,Florida,472.0,13.0,6.0,7.0,0.0,0.462,384.0,375.0,9.0,472.0,2603.0,5.5,29.0
2022,Kentucky,463.0,13.0,7.0,6.0,0.0,0.538,265.0,250.0,15.0,463.0,1511.0,3.3,9.0
2022,Alabama,458.0,13.0,11.0,2.0,0.0,0.846,534.0,236.0,298.0,458.0,2542.0,5.6,26.0
2022,Vanderbilt,445.0,12.0,5.0,7.0,0.0,0.417,295.0,432.0,-137.0,445.0,1919.0,4.3,13.0
2022,South Carolina,411.0,13.0,8.0,5.0,0.0,0.615,418.0,375.0,43.0,411.0,1545.0,3.8,27.0
2022,Texas A&M,366.0,12.0,5.0,7.0,0.0,0.417,273.0,254.0,19.0,366.0,1698.0,4.6,12.0
2022,Mississippi State,295.0,13.0,9.0,4.0,0.0,0.692,411.0,300.0,111.0,295.0,1062.0,3.6,12.0
2022,Michigan,600.0,14.0,13.0,1.0,0.0,0.929,566.0,225.0,341.0,600.0,3345.0,5.6,41.0
2022,Minnesota,581.0,13.0,9.0,4.0,0.0,0.692,367.0,180.0,187.0,581.0,2695.0,4.6,33.0
2022,Illinois,543.0,13.0,8.0,5.0,0.0,0.615,315.0,166.0,149.0,543.0,2161.0,4.0,18.0
2022,Wisconsin,501.0,13.0,7.0,6.0,0.0,0.538,342.0,263.0,79.0,501.0,2337.0,4.7,21.0
2022,Penn State,489.0,13.0,11.0,2.0,0.0,0.846,465.0,237.0,228.0,489.0,2354.0,4.8,28.0
2022,Maryland,469.0,13.0,8.0,5.0,0.0,0.615,366.0,301.0,65.0,469.0,1837.0,3.9,23.0
2022,Northwestern,469.0,12.0,1.0,11.0,0.0,0.083,165.0,340.0,-175.0,469.0,1501.0,3.2,11.0
2022,Ohio State,466.0,13.0,11.0,2.0,0.0,0.846,575.0,273.0,302.0,466.0,2501.0,5.4,30.0
2022,Purdue,466.0,14.0,8.0,6.0,0.0,0.571,372.0,383.0,-11.0,466.0,1694.0,3.6,17.0
2022,Rutgers,430.0,12.0,4.0,8.0,0.0,0.333,209.0,351.0,-142.0,430.0,1533.0,3.6,11.0
2022,Iowa,422.0,13.0,8.0,5.0,0.0,0.615,230.0,173.0,57.0,422.0,1233.0,2.9,12.0
2022,Nebraska,420.0,12.0,4.0,8.0,0.0,0.333,271.0,331.0,-60.0,420.0,1480.0,3.5,17.0
2022,Indiana,396.0,12.0,4.0,8.0,0.0,0.333,279.0,407.0,-128.0,396.0,1330.0,3.4,15.0
2022,Michigan State,361.0,12.0,5.0,7.0,0.0,0.417,293.0,329.0,-36.0,361.0,1356.0,3.8,16.0
2022,Oklahoma,581.0,13.0,6.0,7.0,0.0,0.462,427.0,390.0,37.0,581.0,2852.0,4.9,28.0
2022,Kansas State,569.0,14.0,10.0,4.0,0.0,0.714,452.0,306.0,146.0,569.0,2916.0,5.1,32.0
2022,Texas Christian,566.0,15.0,13.0,2.0,0.0,0.867,582.0,435.0,147.0,566.0,2899.0,5.1,37.0
2022,Baylor,535.0,13.0,6.0,7.0,0.0,0.462,418.0,349.0,69.0,535.0,2371.0,4.4,34.0
2022,Texas Tech,525.0,13.0,8.0,5.0,0.0,0.615,445.0,379.0,66.0,525.0,2066.0,3.9,28.0
2022,Oklahoma State,476.0,13.0,7.0,6.0,0.0,0.538,398.0,376.0,22.0,476.0,1632.0,3.4,20.0
2022,Texas,470.0,13.0,8.0,5.0,0.0,0.615,448.0,281.0,167.0,470.0,2446.0,5.2,29.0
2022,Kansas,446.0,13.0,6.0,7.0,0.0,0.462,463.0,461.0,2.0,446.0,2395.0,5.4,29.0
2022,West Virginia,445.0,12.0,5.0,7.0,0.0,0.417,367.0,395.0,-28.0,445.0,2058.0,4.6,24.0
2022,Iowa State,393.0,12.0,4.0,8.0,0.0,0.333,242.0,243.0,-1.0,393.0,1296.0,3.3,10.0
2022,Clemson,546.0,14.0,11.0,3.0,0.0,0.786,465.0,292.0,173.0,546.0,2491.0,4.6,31.0
2022,Pitt,521.0,13.0,9.0,4.0,0.0,0.692,407.0,316.0,91.0,521.0,2379.0,4.6,30.0
2022,Louisville,518.0,13.0,8.0,5.0,0.0,0.615,350.0,249.0,101.0,518.0,2608.0,5.0,25.0
2022,Florida State,509.0,13.0,10.0,3.0,0.0,0.769,469.0,268.0,201.0,509.0,2783.0,5.5,33.0
2022,North Carolina,508.0,14.0,9.0,5.0,0.0,0.643,482.0,431.0,51.0,508.0,2149.0,4.2,24.0
2022,Wake Forest,505.0,13.0,8.0,5.0,0.0,0.615,469.0,368.0,101.0,505.0,1696.0,3.4,17.0
