position,seed,n_subsets,max_base_feats,n_iter_per_model,best_test_R2,best_test_MAE,best_test_RMSE,runtime_sec,leaderboard_csv,predictions_csv,metadata_json,model_pickle,best_model_tag,best_bases,best_interactions
RB,21,10,15,15,0.5449916195322559,46.930072544666835,58.92871494760905,57.12815558258444,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_leaderboard_seed21_subs10_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_preds_seed21_subs10_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_meta_seed21_subs10_base15_iter15.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_model_seed21_subs10_base15_iter15.pkl,GB,DOM+|RDOM+|Draft Capital|ELU|YCO/A|Breakout Age|Y/RR,SpeedxBMI
RB,34,10,15,15,0.509392625617882,39.94717452960032,52.716706810312225,62.122990916483104,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_leaderboard_seed34_subs10_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_preds_seed34_subs10_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_meta_seed34_subs10_base15_iter15.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_model_seed34_subs10_base15_iter15.pkl,GB,DOM+|RDOM+|Draft Capital|ELU|10+|Break%|FUM|MTF|Y/RR|YCO/A|Breakout Age,SpeedxBMI
RB,56,10,15,15,0.5375653748229243,39.49737385601555,49.59888773957519,66.5500299166888,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_leaderboard_seed56_subs10_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_preds_seed56_subs10_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_meta_seed56_subs10_base15_iter15.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_model_seed56_subs10_base15_iter15.pkl,GB,DOM+|RDOM+|Draft Capital|ELU|MTF|FUM|10+|YCO/A|Y/RR|Breakout Age|Break%,SpeedxBMI
RB,21,20,15,15,0.5449916195322559,46.930072544666835,58.92871494760905,101.95997816696763,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_leaderboard_seed21_subs20_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_preds_seed21_subs20_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_meta_seed21_subs20_base15_iter15.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_model_seed21_subs20_base15_iter15.pkl,GB,DOM+|RDOM+|Draft Capital|ELU|YCO/A|Breakout Age|Y/RR,SpeedxBMI
RB,34,20,15,15,0.509392625617882,39.94717452960032,52.716706810312225,115.06145900022238,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_leaderboard_seed34_subs20_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_preds_seed34_subs20_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_meta_seed34_subs20_base15_iter15.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_model_seed34_subs20_base15_iter15.pkl,GB,DOM+|RDOM+|Draft Capital|ELU|10+|Break%|FUM|MTF|Y/RR|YCO/A|Breakout Age,SpeedxBMI
RB,56,20,15,15,0.5930986723845642,34.28039169018775,46.52552886331067,119.86611708346754,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_leaderboard_seed56_subs20_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_preds_seed56_subs20_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_meta_seed56_subs20_base15_iter15.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_model_seed56_subs20_base15_iter15.pkl,GB,DOM+|RDOM+|Draft Capital|ELU|FUM|Breakout Age|MTF,SpeedxBMI
RB,21,40,15,15,0.5682930821938134,45.23492172058154,57.39998471268099,196.2327369172126,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_leaderboard_seed21_subs40_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_preds_seed21_subs40_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_meta_seed21_subs40_base15_iter15.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_model_seed21_subs40_base15_iter15.pkl,GB,DOM+|RDOM+|Draft Capital|ELU|MTF|10+|Y/RR|Breakout Age|Break%,SpeedxBMI
RB,34,40,15,15,0.5163154608744615,40.0453267389557,52.343449409791866,223.81329066678882,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_leaderboard_seed34_subs40_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_preds_seed34_subs40_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_meta_seed34_subs40_base15_iter15.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_model_seed34_subs40_base15_iter15.pkl,GB,DOM+|RDOM+|Draft Capital|ELU|FUM|YCO/A|MTF|Breakout Age|Break%,SpeedxBMI
RB,56,40,15,15,0.6283113772217785,35.605378489064634,44.46685343482406,231.37831349950284,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_leaderboard_seed56_subs40_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_preds_seed56_subs40_base15_iter15.csv,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_wide_best_meta_seed56_subs40_base15_iter15.json,/Users/chasesiegel/Desktop/Comp_Sci/Capstone/Dynasty/data/Training/_derived/RB/rb_model_seed56_subs40_base15_iter15.pkl,GB,DOM+|RDOM+|Draft Capital|ELU|Y/RR|10+|YCO/A|Breakout Age|FUM,SpeedxBMI
