player_name,bakery_RB_ensemble,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,ADJ%,BTT%,Break%,CC%,CTPRR,Comp%,DAA,DOM+,DOM+.1,Drop Rate,EPA/P,MTF/A,PDOM+,PDOM+.1,RDOM+,RDOM+.1,TWP%,UCTPRR,Y/RR,YAC/R,YCO/A,YPA,YPC,YPR,aDOT,aYPTPA,ELU,Speed,BMI,SpeedxBMI,bakery_RB_rb_model_seed12_subs20_seed12,bakery_RB_rb_model_seed12_subs30_seed12,bakery_RB_rb_model_seed12_subs40_seed12,bakery_RB_rb_model_seed34_subs20_seed34,bakery_RB_rb_model_seed34_subs30_seed34,bakery_RB_rb_model_seed34_subs40_seed34,bakery_RB_rb_model_seed56_subs20_seed56,bakery_RB_rb_model_seed56_subs30_seed56,bakery_RB_rb_model_seed56_subs40_seed56
Lawrence Vickers,4.027772974275652,RB,1983-05-08,Colorado,Big 12,2006,6,2005.0,22.319,,,,,,,,0.093,0.088,,,,0.0,0.0,0.39,0.37,,,,,,,,,,,,,,,3.7670819910720543,3.7670819910720543,3.7670819910720543,4.4521141530645485,4.4521141530645485,4.151517895126656,3.9643215313363167,3.9643215313363167,3.9643215313363167
Thomas Brown,4.0277223756340765,RB,1972-12-27,Georgia,SEC,2008,6,2005.0,32.679,,,,,,,,0.066,0.066,,,,0.0,0.0,0.325,0.325,,,,,,,,,,,,4.51,31.015,139.87765,3.550082156903487,3.550082156903487,3.550082156903487,4.433979396779085,4.433979396779085,4.295630181281051,4.145221978385668,4.145221978385668,4.145221978385668
Cedric Humes,4.027642709208724,RB,1983-08-07,Virginia Tech,ACC,2006,7,2005.0,22.07,,,,,,,,0.014,0.014,,,,0.0,0.0,0.335,0.318,,,,,,,,,,,,4.62,29.946,138.35052000000002,3.792212678162179,3.792212678162179,3.792212678162179,4.4521141530645485,4.4521141530645485,4.1396655451783735,3.942750832361501,3.942750832361501,3.942750832361501
Cam Skattebo,4.0275844777260765,RB,2002-02-05,Arizona State,Big 12,2025,4,2023.0,21.569,,,,,,,,0.152,0.144,,,,0.026,0.024,0.656,0.623,,,,,,,,,,,140.3,4.558,31.42,143.21236,3.657116216982417,3.657116216982417,3.657116216982417,4.625252216278641,4.625252216278641,4.054984477022522,3.990474246335879,3.990474246335879,3.990474246335879
Garrett Mills,4.023904694478752,RB,1983-10-12,Tulsa,CUSA,2006,4,2005.0,21.889,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3.735107052529043,3.735107052529043,3.735107052529043,4.482669301793015,4.482669301793015,4.151517895126656,3.9643215313363167,3.9643215313363167,3.9643215313363167
Keenan Reynolds,4.023904694478752,RB,1993-12-13,Navy,American,2016,6,2015.0,21.717,,,,,,,,0.018,0.016,,,,0.914,0.777,0.388,0.33,,,,,,,,,,,26.5,,,,3.735107052529043,3.735107052529043,3.735107052529043,4.482669301793015,4.482669301793015,4.151517895126656,3.9643215313363167,3.9643215313363167,3.9643215313363167
Danny Vitale,4.023904694478752,RB,1993-10-26,Northwestern,Big Ten,2016,6,2015.0,21.848,,,,,,,,0.17,0.17,,,,0.0,0.0,0.007,0.007,,,,,,,,,,,,,,,3.735107052529043,3.735107052529043,3.735107052529043,4.482669301793015,4.482669301793015,4.151517895126656,3.9643215313363167,3.9643215313363167,3.9643215313363167
Darius Jackson,4.023904694478752,RB,1993-12-01,Eastern Michigan,MAC,2016,6,2015.0,21.749,,,,,,,,0.094,0.066,,,,0.0,0.0,0.628,0.44,,,,,,,,,,,42.1,,,,3.735107052529043,3.735107052529043,3.735107052529043,4.482669301793015,4.482669301793015,4.151517895126656,3.9643215313363167,3.9643215313363167,3.9643215313363167
Bo Scarbrough,4.023904694478752,RB,1994-09-29,Alabama,SEC,2018,7,2016.0,21.925,,,,,,,,0.012,0.012,,,,0.0,0.0,0.237,0.237,,,,,,,,,,,75.8,4.52,30.078,135.95255999999998,3.735107052529043,3.735107052529043,3.735107052529043,4.482669301793015,4.482669301793015,4.151517895126656,3.9643215313363167,3.9643215313363167,3.9643215313363167
Tommy Bohanon,4.017114661427981,RB,1990-09-10,Wake Forest,ACC,2013,7,2012.0,21.977,,,,,,,,0.031,0.03,,,,0.0,0.0,0.066,0.063,,,,,,,,,,,,,,,3.735107052529043,3.735107052529043,3.735107052529043,4.4521141530645485,4.4521141530645485,4.151517895126656,3.9643215313363167,3.9643215313363167,3.9643215313363167
