player_name,bakery_QB_ensemble,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,ADJ%,BTT%,Break%,CC%,CTPRR,Comp%,DAA,DOM+,DOM+.1,Drop Rate,EPA/P,MTF/A,PDOM+,PDOM+.1,RDOM+,RDOM+.1,TWP%,UCTPRR,Y/RR,YAC/R,YCO/A,YPA,YPC,YPR,aDOT,aYPTPA,ELU,Speed,BMI,SpeedxBMI,bakery_QB_qb_model_seed12_subs20_seed12,bakery_QB_qb_model_seed12_subs30_seed12,bakery_QB_qb_model_seed12_subs40_seed12,bakery_QB_qb_model_seed34_subs20_seed34,bakery_QB_qb_model_seed34_subs30_seed34,bakery_QB_qb_model_seed34_subs40_seed34,bakery_QB_qb_model_seed56_subs20_seed56,bakery_QB_qb_model_seed56_subs30_seed56,bakery_QB_qb_model_seed56_subs40_seed56
Zac Robinson,3.171155999149542,QB,1986-09-29,Oklahoma State,Big 12,2010,7,2007.0,20.923,,,,,,,,0.002,0.002,,,,0.904,0.859,0.173,0.165,,,,,,,,,,,,4.68,27.473,128.57363999999998,3.434252738194409,3.4312934180427224,3.4312934180427224,2.9931075625336794,2.9931075625336794,2.9931075625336794,3.0880805768216604,3.0880805768216604,3.0880805768216604
Geno Smith,3.1667606443841767,QB,1990-10-10,West Virginia,Big 12,2013,2,2012.0,21.895,,,,,,,,0.0,0.0,,,,0.967,0.919,0.081,0.077,,,,,,,,,,,,4.58,27.986,128.17588,3.2835264336166508,3.4626770643896836,3.4626770643896836,3.0092411688655303,3.0092411688655303,3.0092411688655303,3.0880805768216604,3.0880805768216604,3.0880805768216604
David Fales,3.165406899471866,QB,1990-10-04,San Jose State,MWC,2014,6,2013.0,22.91,,,,,,,,0.0,0.0,,,,0.976,0.742,0.085,0.065,,,,,,,,,,,,4.99,27.216,135.80784,3.286156969070824,3.4575075045021775,3.4575075045021775,3.0041132934310024,3.0041132934310024,3.0041132934310024,3.0917167456261994,3.0917167456261994,3.0917167456261994
Zach Mettenberger,3.157193700669753,QB,1991-07-16,LSU,SEC,2014,6,2012.0,21.131,,,,,,,,0.0,0.0,,,,0.975,0.975,-0.036,-0.036,,,,,,,,,,,,4.799,26.56,127.46144,3.324336181760535,3.4240148201204454,3.4240148201204454,2.992711917853789,2.992711917853789,2.992711917853789,3.0880805768216604,3.0880805768216604,3.0880805768216604
Isaiah Stanback,3.157193700669753,QB,1984-08-16,Washington,Pac-10,2007,4,2005.0,21.043,,,,,,,,0.0,0.0,,,,0.679,0.408,0.283,0.17,,,,,,,,,,,,4.6,27.73,127.558,3.324336181760535,3.4240148201204454,3.4240148201204454,2.992711917853789,2.992711917853789,2.992711917853789,3.0880805768216604,3.0880805768216604,3.0880805768216604
Tanner McKee,3.1543274390132634,QB,2000-04-27,Stanford,Pac-12,2023,6,2021.0,21.347,,,,,,,,0.0,0.0,,,,0.918,0.872,0.095,0.09,,,,,,,,,,,8.15,4.806,26.692,128.281752,3.2835264336166508,3.4236203789657265,3.4236203789657265,2.997979343035428,2.997979343035428,2.997979343035428,3.0880805768216604,3.0880805768216604,3.0880805768216604
John Beck,3.151297170204709,QB,1981-08-21,BYU,MWC,2007,2,2004.0,23.031,,,,,,,,0.0,0.0,,,,0.973,0.739,0.084,0.064,,,,,,,,,,,,4.75,27.601,131.10475,3.2578276616622084,3.405579377347194,3.405579377347194,3.04466944113547,3.04466944113547,3.04466944113547,3.0528932640264577,3.0528932640264577,3.0528932640264577
Carson Wentz,3.1454155204154812,QB,1992-12-30,Kennesaw State,CUSA,2016,1,2024.0,31.671,,,,,,,,0.316,0.221,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,4.77,28.101,134.04177,3.360278345996022,3.4280113173292017,3.4280113173292017,3.0800246174269614,3.0800246174269614,3.0800246174269614,2.9507882836013404,2.9507882836013404,2.9507882836013404
Cam Newton,3.145368095514059,QB,1982-05-19,Auburn,SEC,2011,1,2010.0,28.287,,,,,,,,0.023,0.023,,,,0.959,0.959,0.429,0.429,,,,,,,,,,,,4.56,29.405,134.08679999999998,3.360278345996022,3.4277979052728007,3.4277979052728007,3.0800246174269614,3.0800246174269614,3.0800246174269614,2.9507882836013404,2.9507882836013404,2.9507882836013404
Tom Savage,3.1366414961370226,QB,1990-04-26,Pitt,ACC,2014,4,2013.0,23.351,,,,,,,,0.0,0.0,,,,1.023,0.972,0.018,0.017,,,,,,,,,,,,4.97,27.75,137.9175,3.4311149704765396,3.456755588508417,3.456755588508417,3.0109274889786035,3.0109274889786035,3.0109274889786035,2.9507882836013404,2.9507882836013404,2.9507882836013404
Levi Brown,3.1288707053580245,QB,1984-03-16,Troy,Sun Belt,2010,7,2008.0,24.463,,,,,,,,0.002,0.001,,,,0.965,0.734,0.019,0.014,,,,,,,,,,,,4.93,28.62,141.0966,3.147137953380207,3.446969896563567,3.446969896563567,3.1098668877137183,3.1098668877137183,3.1098668877137183,2.9297193128579098,2.9297193128579098,2.9297193128579098
Brandon Weeden,3.128199744924249,QB,1983-10-14,Oklahoma State,Big 12,2012,1,2010.0,26.883,,,,,,,,0.0,0.0,,,,0.94,0.893,-0.013,-0.012,,,,,,,,,,,,4.89,27.62,135.0618,3.395639603501087,3.4221591884724454,3.4221591884724454,3.02049162435608,3.02049162435608,3.02049162435608,2.9507882836013404,2.9507882836013404,2.9507882836013404
Michael Pratt,3.113629007450341,QB,1979-06-21,Tulane,American,2024,7,2020.0,41.199,,,,,,,,0.0,0.0,,,,0.872,0.741,0.226,0.192,,,,,,,,,,,17.9,4.765,27.12,129.2268,3.5722898669526293,3.372718681813643,3.372718681813643,3.012406758187142,3.012406758187142,3.012406758187142,2.8892378539705774,2.8892378539705774,2.8892378539705774
James Morgan,3.1079974759481583,QB,1981-11-24,Florida International,CUSA,2020,4,2016.0,34.771,,,,,,,,0.0,0.0,,,,0.965,0.675,0.034,0.024,,,,,,,,,,,,4.89,27.872,136.29407999999998,3.286156969070824,3.4105577916827867,3.4105577916827867,3.0041132934310024,3.0041132934310024,3.0041132934310024,2.9507882836013404,2.9507882836013404,2.9507882836013404
Dennis Dixon,3.0931940910704636,QB,1985-01-11,Oregon,Pac-10,2008,5,2006.0,21.637,,,,,,,,0.0,0.0,,,,0.765,0.459,0.23,0.138,,,,,,,,,,,,4.58,24.371,111.61918,3.226129144460523,3.136288989008403,3.136288989008403,2.9168689765783617,2.9168689765783617,2.9168689765783617,3.1964775891405854,3.1964775891405854,3.1964775891405854
Aidan O'Connell,3.074509421966935,QB,1998-09-01,Purdue,Big Ten,2023,4,2021.0,23.001,,,,,,,,0.0,0.0,,,,0.87,0.87,0.006,0.006,,,,,,,,,,,,4.75,26.62,126.445,3.474874528589858,3.1847775514176964,3.1847775514176964,2.982863707796328,2.982863707796328,2.982863707796328,2.95918801429606,2.95918801429606,2.95918801429606
Mike Glennon,3.0727184249622055,QB,1989-12-12,North Carolina State,ACC,2013,3,2011.0,21.719,,,,,,,,0.0,0.0,,,,1.0,0.95,0.027,0.025,,,,,,,,,,,,4.94,25.344,125.19936,3.220500126179462,3.1854096361944437,3.1854096361944437,3.014208457266292,3.014208457266292,3.014208457266292,3.006840351430875,3.006840351430875,3.006840351430875
Trace McSorley,3.0670369466392753,QB,1995-08-23,Penn State,Big Ten,2019,6,2016.0,21.027,,,,,,,,0.0,0.0,,,,0.935,0.935,0.252,0.252,,,,,,,,,,,35.6,4.57,27.393,125.18601,3.220500126179462,3.184043393239034,3.184043393239034,2.998074850934441,2.998074850934441,2.998074850934441,3.006840351430875,3.006840351430875,3.006840351430875
Jake Luton,3.012944404503325,QB,1996-04-11,Oregon State,Pac-12,2020,6,2018.0,22.39,,,,,,,,0.0,0.0,,,,0.91,0.864,0.001,0.001,,,,,,,,,,,,4.782,25.883,123.772506,3.26874113779462,3.183097781552795,3.183097781552795,2.8669648598064037,2.8669648598064037,2.8669648598064037,2.960222786736835,2.960222786736835,2.960222786736835
Tyler Shough,3.0087129407247213,QB,1999-09-28,Louisville,ACC,2025,2,2020.0,20.928,,,,,,,,0.0,0.0,,,,0.886,0.841,0.193,0.183,,,,,,,,,,,8.4,4.63,25.967,120.22721,3.226129144460523,3.1463918317607025,3.1463918317607025,2.917675828191549,2.917675828191549,2.917675828191549,2.9354920579886405,2.9354920579886405,2.9354920579886405
Ryan Finley,2.9969763968479812,QB,1994-12-26,North Carolina State,ACC,2019,4,2016.0,21.684,,,,,,,,0.001,0.001,,,,0.987,0.938,0.055,0.052,,,,,,,,,,,0.0,4.73,25.924,122.62052,3.2506394823534905,3.1527371623186493,3.1527371623186493,2.870065863558374,2.870065863558374,2.870065863558374,2.9354920579886405,2.9354920579886405,2.9354920579886405
Stetson Bennett,2.927953498499919,QB,1997-10-28,Georgia,SEC,2023,4,2021.0,23.844,,,,,,,,0.0,0.0,,,,0.901,0.901,0.147,0.147,,,,,,,,,,,4.0,4.67,26.776,125.04392,3.26874113779462,3.110500019920714,3.110500019920714,2.892671105515744,2.892671105515744,2.892671105515744,2.727942330771997,2.727942330771997,2.727942330771997
