feature,mean_abs_shap,kind
YPC,0.43867731026767776,base
ADJ%,0.37794473296543313,base
YPA,0.35340367350525465,base
DAA,0.24984068113632812,base
DOM+,0.1411705940557178,base
Draft Capital,0.1,base
Breakout Age,0.1,base
MTF/A,0.07808157681396627,base
SpeedxBMI,0.05505248673941342,interaction
Comp%,0.04132021631459314,base
TWP%,0.0,base
