feature,mean_abs_shap,kind
ADJ%,0.37952010363019406,base
YPC,0.3490680679967207,base
DAA,0.30498375941639405,base
YPA,0.25920169438309815,base
RDOM+,0.22073607016691424,base
DOM+,0.17550372294124,base
MTF/A,0.15056932451666485,base
Draft Capital,0.1,base
Breakout Age,0.1,base
Comp%,0.08203857051112443,base
SpeedxBMI,0.07525235373773664,interaction
YCO/A,0.054786794068613455,base
BTT%,0.0,base
TWP%,0.0,base
