position,seed,n_subsets,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
QB,456,10,5,HGB,0.8865103736146585,0.9347193869845103,0.7645334527270969,1.0049173151013964,14,DOM+|ADJ%|BTT%|MTF/A|DAA|Comp%|YCO/A|YPC|RDOM+|Draft Capital|YPA|Breakout Age|TWP%,SpeedxBMI,12.14034804887045
QB,456,10,6,HGB,0.8865103736146585,0.9347193869845103,0.7645334527270969,1.0049173151013964,14,DOM+|Draft Capital|YCO/A|BTT%|Breakout Age|YPA|MTF/A|ADJ%|Comp%|YPC|TWP%|DAA|RDOM+,SpeedxBMI,12.14034804887045
QB,456,10,7,HGB,0.8865103736146585,0.9347193869845103,0.7645334527270969,1.0049173151013964,13,DOM+|YPA|RDOM+|Draft Capital|ADJ%|DAA|YPC|Breakout Age|Comp%|TWP%|MTF/A|YCO/A,SpeedxBMI,12.14034804887045
QB,456,10,8,HGB,0.8810271682081536,0.9171337003170967,0.8537139309809271,1.1322105320992928,12,DOM+|Draft Capital|DAA|TWP%|Comp%|MTF/A|ADJ%|YPC|RDOM+|YCO/A|YPA,SpeedxBMI,12.1218997913431
QB,456,10,3,HGB,0.8738252027422725,0.9118889449274071,0.8684977617724781,1.1674906689111562,8,DOM+|YCO/A|YPA|YPC|ADJ%|DAA|Draft Capital,SpeedxBMI,12.24257458289838
QB,456,10,2,GB,0.8713760667870083,0.9075749689636445,0.931173109979217,1.1957297091853416,10,DOM+|DAA|Comp%|BTT%|Draft Capital|RDOM+|TWP%|YPA|YPC,SpeedxBMI,12.0644449771273
QB,456,10,1,GB,0.8428168219553378,0.8651023893354123,1.1632312150371638,1.4445758363129457,6,DOM+|RDOM+|TWP%|DAA|Draft Capital,SpeedxBMI,12.331031517274058
QB,456,10,4,RF,0.7739813375665741,0.8248380372085824,1.2055871383626675,1.646107216598513,4,DOM+|MTF/A|Draft Capital,SpeedxBMI,10.771323662642919
QB,456,10,9,Ridge,0.23497163264247165,0.4252335060444953,2.6295289219499782,2.9818372710148755,12,DOM+|Comp%|ADJ%|DAA|RDOM+|MTF/A|YCO/A|YPA|Breakout Age|BTT%|TWP%,SpeedxBMI,11.297116191992643
QB,456,10,0,Ridge,-0.007899782853588522,-0.018886901827533276,3.4197442935099733,3.970097814687482,2,DOM+,SpeedxBMI,7.390565742394205
