position,seed,n_subsets,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
QB,123,30,18,HGB,0.8960661867224555,0.926092839668192,0.7579114997863732,0.9694411397680627,11,DOM+|Draft Capital|Breakout Age|YPA|ADJ%|DAA|Comp%|MTF/A|YPC|TWP%,SpeedxBMI,12.093146407365916
QB,123,30,14,GB,0.9086928422973874,0.9213464461245975,0.7043181787626859,1.0000860351132985,14,DOM+|YCO/A|DAA|Draft Capital|Comp%|YPA|TWP%|RDOM+|MTF/A|Breakout Age|YPC|BTT%|ADJ%,SpeedxBMI,12.228947354841619
QB,123,30,28,GB,0.9073634065111463,0.9181399167114161,0.6761689995231385,1.0202680311874326,13,DOM+|DAA|Draft Capital|TWP%|ADJ%|Comp%|BTT%|YPA|RDOM+|YPC|MTF/A|Breakout Age,SpeedxBMI,12.082787379397221
QB,123,30,25,GB,0.9083012667311721,0.9155951167153308,0.7093384641731139,1.0360052936951945,14,DOM+|YCO/A|YPA|YPC|Breakout Age|Draft Capital|MTF/A|ADJ%|BTT%|Comp%|DAA|RDOM+|TWP%,SpeedxBMI,12.111887309355662
QB,123,30,17,GB,0.9069813892298818,0.9114959820295675,0.7262873739858092,1.0608639253448537,14,DOM+|TWP%|RDOM+|Draft Capital|MTF/A|ADJ%|BTT%|DAA|YPA|YCO/A|Comp%|YPC|Breakout Age,SpeedxBMI,12.013387287903269
QB,123,30,5,GB,0.8805003296563282,0.9063947890539094,0.8554292210265289,1.0910086675488488,13,DOM+|ADJ%|MTF/A|RDOM+|BTT%|YCO/A|YPA|DAA|Draft Capital|YPC|Comp%|TWP%,SpeedxBMI,12.122476908049164
QB,123,30,4,GB,0.8805951395794824,0.8970642431942574,0.8644802778537023,1.1440929742402426,12,DOM+|DAA|MTF/A|YPA|ADJ%|Draft Capital|BTT%|RDOM+|YCO/A|YPC|Comp%,SpeedxBMI,11.916523432947264
QB,123,30,8,GB,0.8226745688443267,0.8941858548240501,0.8776296360156874,1.1599787988460213,8,DOM+|TWP%|Breakout Age|Draft Capital|RDOM+|MTF/A|YPC,SpeedxBMI,13.458226201997556
QB,123,30,12,HGB,0.8658148330689472,0.8813625675442553,0.8711532496560218,1.2282564608429816,7,DOM+|DAA|Draft Capital|RDOM+|Breakout Age|TWP%,SpeedxBMI,12.134459619413503
QB,123,30,9,GB,0.8246016251218515,0.8770451353893403,0.9931132617311944,1.2504059905426177,7,DOM+|Comp%|Draft Capital|RDOM+|YPA|ADJ%,SpeedxBMI,12.209569014195852
QB,123,30,19,GB,0.8545804048333693,0.8646387474835919,1.0029738327671884,1.3119744269954179,8,DOM+|DAA|Draft Capital|Comp%|YPC|YPA|MTF/A,SpeedxBMI,11.998283960602015
QB,123,30,11,HGB,0.857060913648179,0.8415122133125412,1.108792818733632,1.419633005767385,8,DOM+|YPC|Breakout Age|TWP%|Draft Capital|BTT%|DAA,SpeedxBMI,11.99631397463032
QB,123,30,27,GB,0.8416989311601082,0.8053010350529527,1.1011105240754933,1.5734755869929593,11,DOM+|YPC|BTT%|MTF/A|Comp%|Breakout Age|RDOM+|Draft Capital|TWP%|YPA,SpeedxBMI,11.928578572854578
QB,123,30,26,GB,0.8448532366202978,0.7898854513312804,1.0701499455625114,1.6345802607223958,11,DOM+|Comp%|Draft Capital|MTF/A|Breakout Age|YPC|YCO/A|YPA|BTT%|TWP%,SpeedxBMI,11.70600599041287
QB,123,30,10,GB,0.8138743955388735,0.7799972887980546,1.147072863703679,1.6726004301736008,8,DOM+|YCO/A|Breakout Age|Draft Capital|TWP%|Comp%|YPA,SpeedxBMI,12.304364966487737
