feature,mean_abs_shap,kind
YPC,0.4178370874012099,base
DAA,0.3557210880388811,base
ADJ%,0.33324947537811433,base
RDOM+,0.2591427195008997,base
YCO/A,0.1730219294879673,base
DOM+,0.15328330621574462,base
YPA,0.14994740498034942,base
Draft Capital,0.1,base
Breakout Age,0.1,base
SpeedxBMI,0.08405814895383022,interaction
MTF/A,0.08164040468769171,base
TWP%,0.0,base
BTT%,0.0,base
