Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
108.0,Jammal Lord,Nebraska,Big 12,13.0,85.0,176.0,48.3,1305.0,6.0,3.4,8.0,4.5,7.4,6.05,15.4,100.4,112.7,
109.0,Walter Washington,Temple,Big East,12.0,110.0,207.0,53.1,1265.0,8.0,3.9,6.0,2.9,6.1,5.58,11.5,105.4,111.4,
110.0,Desmond Robinson,East Carolina,CUSA,9.0,133.0,201.0,66.2,1262.0,3.0,1.5,11.0,5.5,6.3,4.11,9.5,140.2,112.9,
111.0,Matt Dlugolecki,San Diego State,MWC,9.0,133.0,230.0,57.8,1248.0,4.0,1.7,8.0,3.5,5.4,4.21,9.4,138.7,102.2,
112.0,Austin Flynn,Iowa State,Big 12,11.0,99.0,212.0,46.7,1238.0,5.0,2.4,10.0,4.7,5.8,4.19,12.5,112.5,94.1,
113.0,Mike Schneider,Duke,ACC,10.0,97.0,208.0,46.6,1220.0,4.0,1.9,6.0,2.9,5.9,4.95,12.6,122.0,96.5,
114.0,Chris Lewis,Stanford,Pac-10,9.0,100.0,207.0,48.3,1178.0,8.0,3.9,9.0,4.3,5.7,4.51,11.8,130.9,100.2,
115.0,Jordan Palmer,UTEP,WAC,10.0,98.0,198.0,49.5,1168.0,7.0,3.5,13.0,6.6,5.9,3.65,11.9,116.8,97.6,
116.0,Graham Gochneaur,Marshall,MAC,11.0,121.0,183.0,66.1,1163.0,7.0,3.8,10.0,5.5,6.4,4.66,9.6,105.7,121.2,
117.0,Vince Young,Texas,Big 12,12.0,84.0,143.0,58.7,1155.0,6.0,4.2,7.0,4.9,8.1,6.71,13.8,96.3,130.6,
118.0,Craig Candeto,Navy,Ind,13.0,64.0,131.0,48.9,1140.0,7.0,5.3,5.0,3.8,8.7,8.05,17.8,87.7,132.0,
119.0,Jason Whieldon,Hawaii,WAC,12.0,88.0,147.0,59.9,1131.0,12.0,8.2,6.0,4.1,7.7,7.49,12.9,94.3,143.3,
120.0,Paul Peterson,Boston College,Big East,11.0,84.0,147.0,57.1,1124.0,10.0,6.8,7.0,4.8,7.6,6.86,13.4,102.2,134.3,
