player_name,pos,team,conf,draft_year,draft_round,pick_in_round,pick_overall,pfr_draft_url,Year1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,rec_yds1,rec_tds1,rush_yds1,rush_tds1,pass_yds1,pass_tds1,team_pr_yds1,team_pr_tds1,team_ru_yds1,team_ru_tds1,Year2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,rec_yds2,rec_tds2,rush_yds2,rush_tds2,pass_yds2,pass_tds2,team_pr_yds2,team_pr_tds2,team_ru_yds2,team_ru_tds2,Year3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,rec_yds3,rec_tds3,rush_yds3,rush_tds3,pass_yds3,pass_tds3,team_pr_yds3,team_pr_tds3,team_ru_yds3,team_ru_tds3,Year4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,rec_yds4,rec_tds4,rush_yds4,rush_tds4,pass_yds4,pass_tds4,team_pr_yds4,team_pr_tds4,team_ru_yds4,team_ru_tds4,Year5,DOM5,DOM+5,PDOM5,PDOM+5,RDOM5,RDOM+5,rec_yds5,rec_tds5,rush_yds5,rush_tds5,pass_yds5,pass_tds5,team_pr_yds5,team_pr_tds5,team_ru_yds5,team_ru_tds5
Anthony Becht,TE,NYJ,,2000,1,27,27,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Jay Soward,WR,JAX,,2000,1,29,29,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trung Canidate,RB,STL,,2000,1,31,31,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Northcutt,WR,CLE,,2000,2,1,32,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Pinkston,WR,PHI,,2000,2,5,36,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Porter,WR,Temple,Big East,2000,2,16,47,https://www.pro-football-reference.com/years/2000/draft.htm,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,172.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Prentice,RB,CLE,,2000,3,1,63,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Carmazzi,QB,SFO,,2000,3,3,65,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Dugans,WR,CIN,,2000,3,4,66,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erron Kinney,TE,TEN,,2000,3,6,68,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dez White,WR,Memphis,CUSA,2000,3,7,69,https://www.pro-football-reference.com/years/2000/draft.htm,2001.0,0.17253063180231365,0.12077144226161955,0.0,0.0,0.0,0.0,422.0,3.0,0.0,0.0,0.0,0.0,2087.0,21.0,1507.0,16.0,2002.0,0.10146443514644352,0.07102510460251045,0.021879358437935842,0.015315550906555089,0.0028776978417266188,0.002014388489208633,343.0,2.0,8.0,0.0,6.0,1.0,2868.0,24.0,1390.0,15.0,2003.0,0.18547248750588147,0.12983074125411703,0.03358469931457202,0.02350928952020041,0.11802773497688752,0.08261941448382126,525.0,5.0,128.0,4.0,81.0,1.0,3419.0,23.0,2360.0,22.0,2004.0,0.07816591056383668,0.05471613739468567,0.001458198314970836,0.001020738820479585,0.0,0.0,359.0,1.0,0.0,0.0,9.0,0.0,3086.0,25.0,2438.0,26.0,,,,,,,,,,,,,,,,,
Chris Cole,WR,Louisiana-Monroe,Sun Belt,2000,3,8,70,https://www.pro-football-reference.com/years/2000/draft.htm,2024.0,0.09740259740259741,0.07402597402597404,0.0,0.0,0.0,0.0,168.0,1.0,0.0,0.0,0.0,0.0,1617.0,11.0,2036.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Dixon,WR,Kentucky,SEC,2000,3,11,73,https://www.pro-football-reference.com/years/2000/draft.htm,2004.0,0.016531165311653117,0.016531165311653117,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,1845.0,9.0,1185.0,11.0,2006.0,0.019182652210175146,0.019182652210175146,0.0,0.0,0.28484139365574623,0.28484139365574623,138.0,0.0,303.0,4.0,0.0,0.0,3597.0,31.0,1282.0,12.0,2007.0,0.012156024579214534,0.012156024579214534,0.0,0.0,0.2016823354774864,0.2016823354774864,91.0,0.0,411.0,4.0,0.0,0.0,3743.0,40.0,2021.0,20.0,2008.0,0.020143240823634737,0.020143240823634737,0.0,0.0,0.3241970093207269,0.3241970093207269,90.0,0.0,430.0,7.0,0.0,0.0,2234.0,11.0,1657.0,18.0,,,,,,,,,,,,,,,,,
Chris Redman,QB,Air Force,MWC,2000,3,13,75,https://www.pro-football-reference.com/years/2000/draft.htm,2003.0,0.09380962202856702,0.056285773217140206,0.0,0.0,0.0,0.0,341.0,2.0,0.0,0.0,0.0,0.0,3526.0,22.0,1495.0,15.0,2004.0,0.09224593879863996,0.05534756327918398,0.011144692104268984,0.00668681526256139,0.0,0.0,356.0,1.0,0.0,0.0,59.0,0.0,2647.0,20.0,1408.0,13.0,2005.0,0.041147540983606554,0.02468852459016393,0.0,0.0,0.0,0.0,129.0,1.0,0.0,0.0,0.0,0.0,3050.0,25.0,2332.0,20.0,2006.0,0.08478749075895162,0.05087249445537097,0.0,0.0,0.0,0.0,122.0,3.0,0.0,0.0,0.0,0.0,3117.0,23.0,1540.0,12.0,2012.0,0.02886056971514243,0.021934032983508246,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,1334.0,9.0,4111.0,39.0
J.R. Redmond,RB,Stanford,Pac-10,2000,3,14,76,https://www.pro-football-reference.com/years/2000/draft.htm,2002.0,0.007142857142857143,0.004285714285714285,0.0,0.0,0.15401023890784982,0.09240614334470988,28.0,0.0,85.0,3.0,0.0,0.0,1960.0,14.0,1465.0,12.0,2003.0,0.011898980087421079,0.007139388052452647,0.0,0.0,0.4215370018975332,0.2529222011385199,49.0,0.0,467.0,4.0,0.0,0.0,2059.0,12.0,1054.0,10.0,2004.0,0.011397058823529411,0.006838235294117647,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,2720.0,13.0,893.0,13.0,2005.0,0.07138990391121938,0.04283394234673163,0.0,0.0,0.10935960591133005,0.06561576354679803,78.0,2.0,222.0,0.0,0.0,0.0,2463.0,18.0,1015.0,8.0,,,,,,,,,,,,,,,,,
Laveranues Coles,WR,NYJ,,2000,3,16,78,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JaJuan Dawson,WR,Jacksonville State,CUSA,2000,3,17,79,https://www.pro-football-reference.com/years/2000/draft.htm,2023.0,0.0,0.0,0.0,0.0,0.0034124146896327592,0.0023886902827429312,0.0,0.0,21.0,0.0,0.0,0.0,2223.0,12.0,3077.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Jackson,WR,Buffalo,MAC,2000,3,18,80,https://www.pro-football-reference.com/years/2000/draft.htm,2005.0,0.0050629447181171315,0.0030377668308702787,0.0,0.0,0.03318858560794045,0.019913151364764268,37.0,0.0,107.0,0.0,0.0,0.0,3654.0,28.0,1612.0,16.0,2007.0,0.0009560229445506692,0.0006692160611854684,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2615.0,16.0,1560.0,18.0,2007.0,0.0030284675953967293,0.00211992731677771,0.0,0.0,0.08199774266365689,0.05739841986455982,20.0,0.0,202.0,1.0,0.0,0.0,3302.0,28.0,1772.0,20.0,2008.0,0.045937553907193375,0.03215628773503536,0.0,0.0,0.25361035422343325,0.17752724795640326,213.0,1.0,451.0,2.0,0.0,0.0,3410.0,34.0,1468.0,10.0,2009.0,0.043058904581467446,0.03014123320702721,0.0289765923592999,0.02028361465150993,0.004841997961264016,0.0033893985728848113,250.0,0.0,19.0,0.0,30.0,1.0,2903.0,21.0,1962.0,16.0
Reuben Droughns,RB,DET,,2000,3,19,81,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Lyman,TE,Southern Mississippi,CUSA,2000,3,25,87,https://www.pro-football-reference.com/years/2000/draft.htm,2002.0,0.0,0.0,0.2907904009495197,0.20355328066466377,0.11247323340471091,0.07873126338329763,0.0,0.0,140.0,3.0,757.0,3.0,2451.0,11.0,1868.0,20.0,2003.0,0.0003792188092529389,0.0002654531664770572,0.7382497936603538,0.5167748555622477,0.15629219551714824,0.10940453686200376,2.0,0.0,156.0,3.0,1877.0,13.0,2637.0,17.0,1587.0,14.0,2004.0,0.0,0.0,0.8246323529411765,0.5772426470588236,0.0,0.0,0.0,0.0,0.0,0.0,1848.0,12.0,2176.0,15.0,1739.0,20.0,2005.0,0.0,0.0,0.9844173441734417,0.6890921409214091,0.02619760479041916,0.018338323353293412,0.0,0.0,-97.0,2.0,2860.0,23.0,2952.0,23.0,1336.0,16.0,,,,,,,,,,,,,,,,,
Doug Chapman,RB,Idaho,Sun Belt,2000,3,26,88,https://www.pro-football-reference.com/years/2000/draft.htm,2016.0,0.0,0.0,0.0,0.0,0.0007808433107756377,0.0005934409161894846,0.0,0.0,3.0,0.0,0.0,0.0,3240.0,19.0,1921.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrelle Smith,RB,Texas State,Sun Belt,2000,4,2,96,https://www.pro-football-reference.com/years/2000/draft.htm,2013.0,0.002154011847065159,0.0016370490037695207,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1857.0,11.0,2066.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Keaton,RB,CIN,,2000,4,3,97,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gari Scott,WR,Iowa State,Big 12,2000,4,5,99,https://www.pro-football-reference.com/years/2000/draft.htm,2000.0,0.0,0.0,0.06842475386779184,0.06500351617440225,-0.0008699434536755111,-0.0008264462809917355,0.0,0.0,-4.0,0.0,61.0,1.0,2370.0,9.0,2299.0,27.0,2001.0,0.0,0.0,0.0,0.0,-0.0012462612163509472,-0.0011839481555333997,0.0,0.0,-5.0,0.0,0.0,0.0,2225.0,12.0,2006.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Farmer,WR,Texas A&M,Big 12,2000,4,9,103,https://www.pro-football-reference.com/years/2000/draft.htm,2001.0,0.01991465149359886,0.018918918918918916,0.0,0.0,0.2719867851446799,0.2583874458874459,84.0,0.0,503.0,2.0,0.0,0.0,2109.0,9.0,1254.0,14.0,2002.0,-0.000777363184079602,-0.0007384950248756219,0.0,0.0,0.4793282792665726,0.45536186530324396,-5.0,0.0,739.0,7.0,0.0,0.0,3216.0,25.0,1418.0,16.0,2003.0,0.006664053312426499,0.006330850646805174,0.0,0.0,0.1253793221353165,0.11911035602855066,34.0,0.0,340.0,2.0,0.0,0.0,2551.0,12.0,2127.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Shea,TE,Texas Tech,Big 12,2000,4,16,110,https://www.pro-football-reference.com/years/2000/draft.htm,2010.0,0.001085383502170767,0.0010311143270622287,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4146.0,39.0,1837.0,17.0,2011.0,0.007478890229191798,0.0071049457177322075,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,4145.0,31.0,1502.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Gaylor,WR,SDG,,2000,4,17,111,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Lucas,WR,Middle Tennessee State,Sun Belt,2000,4,20,114,https://www.pro-football-reference.com/years/2000/draft.htm,2011.0,0.13351900393184796,0.10147444298820445,0.0,0.0,0.0,0.0,379.0,3.0,0.0,0.0,0.0,0.0,3052.0,21.0,1761.0,14.0,2012.0,0.47253422676436563,0.3591260123409179,0.0,0.0,0.0,0.0,992.0,9.0,0.0,0.0,0.0,0.0,2593.0,16.0,2120.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Moreau,RB,LSU,SEC,2000,4,21,115,https://www.pro-football-reference.com/years/2000/draft.htm,2016.0,0.058983632909542595,0.058983632909542595,0.0,0.0,0.0,0.0,79.0,1.0,0.0,0.0,0.0,0.0,2281.0,12.0,2797.0,30.0,2017.0,0.14078727899477372,0.14078727899477372,0.0,0.0,0.0,0.0,278.0,3.0,0.0,0.0,0.0,0.0,2645.0,17.0,2699.0,25.0,2018.0,0.10461477520301049,0.10461477520301049,0.0,0.0,0.0,0.0,272.0,2.0,0.0,0.0,0.0,0.0,2970.0,17.0,2257.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deon Dyer,RB,Louisiana,Ind,2000,4,23,117,https://www.pro-football-reference.com/years/2000/draft.htm,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,211.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avion Black,WR,Iowa State,Big 12,2000,4,27,121,https://www.pro-football-reference.com/years/2000/draft.htm,2024.0,0.0009776536312849163,0.0009287709497206704,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3580.0,25.0,2247.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Smith,RB,Tulsa,CUSA,2000,5,3,132,https://www.pro-football-reference.com/years/2000/draft.htm,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,1.0,0.0,0.0,0.0,0.0,2005.0,0.0,0.0,0.9397202710455722,0.6578041897319005,0.16322584768783355,0.11425809338148347,0.0,0.0,258.0,6.0,2847.0,20.0,3071.0,21.0,2158.0,29.0,2006.0,0.0,0.0,0.9318953804347826,0.6523267663043478,0.20167694984970733,0.1411738648947951,0.0,0.0,288.0,8.0,2727.0,15.0,2944.0,16.0,2107.0,30.0,2007.0,0.0,0.0,0.9671736619175972,0.677021563342318,0.2567194783737535,0.1797036348616274,0.0,0.0,119.0,13.0,5065.0,47.0,5194.0,49.0,2421.0,28.0,,,,,,,,,,,,,,,,,
Dave Stachelski,TE,NWE,,2000,5,12,141,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windrell Hayes,WR,NYJ,,2000,5,14,143,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wiley,RB,Arizona,Pac-12,2000,5,15,144,https://www.pro-football-reference.com/years/2000/draft.htm,2019.0,0.025837770122142185,0.024545881616035076,0.0,0.0,0.02537099090473911,0.024102441359502152,165.0,0.0,106.0,0.0,0.0,0.0,3193.0,23.0,2089.0,19.0,2020.0,0.015492957746478873,0.014718309859154928,0.0,0.0,0.5169437340153453,0.491096547314578,33.0,0.0,222.0,3.0,0.0,0.0,1065.0,6.0,782.0,4.0,2021.0,0.22134266077565046,0.21027552773686792,0.0,0.0,0.2627226463104326,0.24958651399491094,297.0,4.0,302.0,2.0,0.0,0.0,2716.0,12.0,1572.0,6.0,2022.0,0.103360980814527,0.09819293177380065,0.0,0.0,0.434393911608289,0.4126742160278745,349.0,3.0,771.0,8.0,0.0,0.0,3821.0,26.0,1722.0,19.0,2023.0,0.10761809713905524,0.10223719228210247,0.0,0.0,0.17386304742161182,0.16516989505053123,306.0,5.0,311.0,3.0,0.0,0.0,4008.0,36.0,1816.0,17.0
Joey Jamison,WR,Fresno State,WAC,2000,5,22,151,https://www.pro-football-reference.com/years/2000/draft.htm,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,639.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Dante Hall,WR,South Florida,Big East,2000,5,24,153,https://www.pro-football-reference.com/years/2000/draft.htm,2004.0,0.10343406593406593,0.07240384615384614,0.0668956043956044,0.04682692307692307,0.0,0.0,149.0,1.0,0.0,0.0,16.0,1.0,1820.0,8.0,2066.0,23.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,2.0,1374.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muneer Moore,WR,BYU,Ind,2000,5,25,154,https://www.pro-football-reference.com/years/2000/draft.htm,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sammy Morris,RB,Colorado State,MWC,2000,5,27,156,https://www.pro-football-reference.com/years/2000/draft.htm,2012.0,0.0035685963521015066,0.002712133227597145,0.0,0.0,0.15157395429064252,0.11519620526088832,18.0,0.0,211.0,2.0,0.0,0.0,2522.0,17.0,1546.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Whalen,TE,Georgia State,Sun Belt,2000,5,28,157,https://www.pro-football-reference.com/years/2000/draft.htm,2024.0,0.0,0.0,0.0,0.0,-0.0009380863039399625,-0.0007129455909943715,0.0,0.0,-3.0,0.0,0.0,0.0,3069.0,21.0,1599.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Wheatley,TE,NOR,,2000,5,29,158,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
