player_name,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Devery Henderson,WR,1982-03-26,LSU,SEC,2004,2,2002.0,20.435,0.339,0.339,0.0,0.0,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,27.612,121.76892
Darius Watts,WR,1981-12-19,Marshall,MAC,2004,2,2000.0,18.702,0.415,0.29,0.0,0.0,0.021,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,24.801,111.60449999999999
Greg Jones,RB,1981-05-09,Navy,Ind,2004,2,2001.0,20.315,0.007,0.004,0.0,0.0,0.379,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,32.848,149.45839999999998
Kris Wilson,TE,1981-08-22,Pitt,Big East,2004,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,31.838,147.09156000000002
Keary Colbert,WR,1982-05-21,USC,Pac-10,2004,2,2002.0,20.282,0.249,0.149,0.0,0.0,0.007,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,27.307,125.61219999999999
Ben Hartsock,TE,1980-07-05,Ohio State,Big Ten,2004,3,,,0.104,0.104,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,32.01,153.648
Derrick Hamilton,WR,1981-11-30,Clemson,ACC,2004,3,2003.0,21.752,0.357,0.339,0.004,0.004,0.031,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,24.496,111.21184
Bernard Berrian,WR,1980-12-27,Fresno State,WAC,2004,3,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,24.141,110.56577999999999
Chris Cooley,TE,1982-07-11,Utah State,Sun Belt,2004,3,2003.0,21.142,0.284,0.216,0.0,0.0,0.044,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,33.119,161.28953
Devard Darling,WR,1982-04-16,Washington State,Pac-10,2004,3,2002.0,20.378,0.283,0.17,0.0,0.0,0.021,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,28.099,127.00747999999999
Matt Schaub,QB,1981-06-25,Virginia,ACC,2004,3,2002.0,21.185,0.0,0.0,0.867,0.824,0.056,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,28.078,141.51312
Carlos Francis,WR,1981-01-03,Texas Tech,Big 12,2004,4,,,0.18,0.171,0.0,0.0,0.015,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,29.236,126.59188
Samie Parker,WR,1981-03-25,Oregon,Pac-10,2004,4,2002.0,21.437,0.311,0.187,0.0,0.0,0.014,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,25.681,112.73958999999999
Luke McCown,QB,1981-07-12,Louisiana Tech,WAC,2004,4,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,25.316,119.23836
Jerricho Cotchery,WR,1982-06-16,North Carolina State,ACC,2004,4,2001.0,19.211,0.32,0.304,0.0,0.0,0.007,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,28.749,130.52045999999999
Tim Euhus,TE,1980-10-02,Oregon State,Pac-10,2004,4,2003.0,22.913,0.216,0.129,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93,30.828,151.98203999999998
Mewelde Moore,RB,1982-07-24,Tulane,CUSA,2004,4,2000.0,18.108,0.181,0.127,0.0,0.0,0.657,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,29.146,135.52890000000002
Ernest Wilford,WR,1979-01-14,Virginia Tech,Big East,2004,4,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,27.507,131.75853
Cedric Cobbs,RB,1981-01-09,Arkansas,SEC,2004,4,2001.0,20.643,0.007,0.007,0.0,0.0,0.357,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,30.241,143.64475
Johnnie Morant,WR,1981-12-07,Syracuse,Big East,2004,5,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,27.872,125.70272
Sean Ryan,TE,1980-03-27,Rutgers,Big Ten,2004,5,,,0.05,0.05,0.0,0.0,0.0,0.0,,,,9.1,,1.0,,,,,,70.6,,,100.0,1.0,1.0,,,7.7,,1.0,,,,,,0.0,,,0.0,,,,,12.0,97.5,116.0,,,,,,5.9,7.0,17.0,,,,94.1,112.0,60.0,5.0,,13.5,,,1.4,,4.97,32.618,162.11146
Craig Krenzel,QB,1981-07-01,Ohio State,Big Ten,2004,5,2002.0,21.169,0.0,0.0,0.81,0.81,0.151,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,28.495,137.9158
Maurice Mann,WR,1982-09-14,Nevada,WAC,2004,5,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,25.197,115.15029
Mark Wilson,TE,1980-11-11,California,Pac-10,2004,5,,,0.0,0.0,0.0,0.0,0.037,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Turner,RB,1982-02-13,Arizona,Pac-10,2004,5,2000.0,18.549,0.064,0.038,0.0,0.0,0.786,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,34.002,152.66898
Mike Karney,RB,1981-07-06,Arizona State,Pac-10,2004,5,,,0.007,0.004,0.0,0.0,0.017,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Hackett,WR,1981-07-03,Colorado,Big 12,2004,5,2003.0,22.163,0.281,0.267,0.0,0.0,-0.004,-0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,25.547,115.72791000000001
Thomas Tapeh,RB,1980-03-28,Minnesota,Big Ten,2004,5,2002.0,22.428,0.042,0.042,0.0,0.0,0.272,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Carter,WR,1981-09-05,Colorado,Pac-12,2004,5,,,0.102,0.096,0.0,0.0,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,24.829,108.25444000000002
P.K. Sam,WR,1983-12-26,Florida State,ACC,2004,5,2003.0,19.682,0.201,0.191,0.0,0.0,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,26.245,119.15230000000001
