Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Ka'Deem Carey,Arizona,Pac-12,13.0,303.0,1929.0,6.4,23.0,148.4,36.0,303.0,8.4,1.0,23.3,339.0,2232.0,6.6,24.0,AA
2.0,Stefphon Jefferson,Nevada,MWC,13.0,375.0,1883.0,5.0,24.0,144.8,22.0,170.0,7.7,1.0,13.1,397.0,2053.0,5.2,25.0,
3.0,Montee Ball,Wisconsin,Big Ten,14.0,356.0,1830.0,5.1,22.0,130.7,10.0,72.0,7.2,0.0,5.1,366.0,1902.0,5.2,22.0,AA
4.0,Jordan Lynch,Northern Illinois,MAC,14.0,294.0,1815.0,6.2,19.0,129.6,0.0,0.0,,0.0,0.0,294.0,1815.0,6.2,19.0,H-7
5.0,Le'Veon Bell,Michigan State,Big Ten,13.0,382.0,1793.0,4.7,12.0,137.9,32.0,167.0,5.2,1.0,12.8,414.0,1960.0,4.7,13.0,
6.0,Kenjon Barner,Oregon,Pac-12,13.0,278.0,1767.0,6.4,21.0,135.9,20.0,256.0,12.8,2.0,19.7,298.0,2023.0,6.8,23.0,"H-9,AA"
7.0,Johnathan Franklin,UCLA,Pac-12,14.0,282.0,1734.0,6.1,13.0,123.9,33.0,323.0,9.8,2.0,23.1,315.0,2057.0,6.5,15.0,
8.0,Antonio Andrews,Western Kentucky,Sun Belt,13.0,304.0,1728.0,5.7,11.0,132.9,37.0,432.0,11.7,3.0,33.2,341.0,2160.0,6.3,14.0,
9.0,Beau Blankenship,Ohio,MAC,13.0,312.0,1604.0,5.1,15.0,123.4,21.0,182.0,8.7,1.0,14.0,333.0,1786.0,5.4,16.0,
10.0,Stepfan Taylor,Stanford,Pac-12,14.0,322.0,1530.0,4.8,13.0,109.3,41.0,287.0,7.0,2.0,20.5,363.0,1817.0,5.0,15.0,
11.0,Kerwynn Williams,Utah State,WAC,13.0,218.0,1512.0,6.9,15.0,116.3,45.0,697.0,15.5,5.0,53.6,263.0,2209.0,8.4,20.0,
12.0,David Fluellen,Toledo,MAC,12.0,259.0,1498.0,5.8,13.0,124.8,32.0,246.0,7.7,0.0,20.5,291.0,1744.0,6.0,13.0,
13.0,Zurlon Tipton,Central Michigan,MAC,13.0,252.0,1497.0,5.9,19.0,115.2,24.0,287.0,12.0,1.0,22.1,276.0,1784.0,6.5,20.0,
14.0,Robbie Rouse,Fresno State,MWC,13.0,282.0,1490.0,5.3,12.0,114.6,63.0,435.0,6.9,2.0,33.5,345.0,1925.0,5.6,14.0,
