Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Mike Hass,Oregon State,Pac-10,11.0,90.0,1532.0,17.0,6.0,139.3,2.0,18.0,9.0,0.0,1.6,92.0,1550.0,16.8,6.0,
2.0,Dwayne Jarrett,USC,Pac-10,13.0,91.0,1274.0,14.0,16.0,98.0,2.0,4.0,2.0,0.0,0.3,93.0,1278.0,13.7,16.0,AA
3.0,Greg Jennings,Western Michigan,MAC,11.0,98.0,1259.0,12.8,14.0,114.5,10.0,50.0,5.0,0.0,4.5,108.0,1309.0,12.1,14.0,
4.0,Jeff Samardzija,Notre Dame,Ind,12.0,77.0,1249.0,16.2,15.0,104.1,9.0,13.0,1.4,0.0,1.1,86.0,1262.0,14.7,15.0,AA
5.0,Garrett Mills,Tulsa,CUSA,13.0,87.0,1235.0,14.2,9.0,95.0,0.0,0.0,,0.0,0.0,87.0,1235.0,14.2,9.0,
6.0,Ryan Grice-Mullen,Hawaii,WAC,12.0,85.0,1228.0,14.4,12.0,102.3,2.0,18.0,9.0,1.0,1.5,87.0,1246.0,14.3,13.0,
7.0,David Anderson,Colorado State,MWC,12.0,86.0,1221.0,14.2,8.0,101.8,3.0,23.0,7.7,0.0,1.9,89.0,1244.0,14.0,8.0,
8.0,Derek Hagan,Arizona State,Pac-10,12.0,77.0,1210.0,15.7,8.0,100.8,0.0,0.0,,0.0,0.0,77.0,1210.0,15.7,8.0,
9.0,Domenik Hixon,Akron,MAC,13.0,75.0,1210.0,16.1,8.0,93.1,1.0,24.0,24.0,0.0,1.8,76.0,1234.0,16.2,8.0,
10.0,Brandon Marshall,UCF,CUSA,13.0,74.0,1195.0,16.1,11.0,91.9,1.0,3.0,3.0,0.0,0.2,75.0,1198.0,16.0,11.0,
11.0,Maurice Stovall,Notre Dame,Ind,12.0,69.0,1149.0,16.7,11.0,95.8,2.0,1.0,0.5,0.0,0.1,71.0,1150.0,16.2,11.0,
12.0,Sidney Rice,South Carolina,SEC,11.0,70.0,1143.0,16.3,13.0,103.9,0.0,0.0,,0.0,0.0,70.0,1143.0,16.3,13.0,
13.0,Davone Bess,Hawaii,WAC,12.0,89.0,1124.0,12.6,14.0,93.7,1.0,6.0,6.0,0.0,0.5,90.0,1130.0,12.6,14.0,
14.0,Ryne Robinson,Miami (OH),MAC,11.0,75.0,1119.0,14.9,8.0,101.7,13.0,108.0,8.3,0.0,9.8,88.0,1227.0,13.9,8.0,
15.0,Jovon Bouknight,Wyoming,MWC,11.0,77.0,1116.0,14.5,12.0,101.5,7.0,94.0,13.4,0.0,8.5,84.0,1210.0,14.4,12.0,
16.0,Jeff Webb,San Diego State,MWC,12.0,92.0,1109.0,12.1,10.0,92.4,1.0,12.0,12.0,0.0,1.0,93.0,1121.0,12.1,10.0,
17.0,Martin Nance,Miami (OH),MAC,11.0,81.0,1107.0,13.7,14.0,100.6,1.0,6.0,6.0,0.0,0.5,82.0,1113.0,13.6,14.0,
18.0,Jason Hill,Washington State,Pac-10,10.0,62.0,1097.0,17.7,13.0,109.7,1.0,-4.0,-4.0,0.0,-0.4,63.0,1093.0,17.3,13.0,
19.0,Brandon Williams,Wisconsin,Big Ten,13.0,59.0,1095.0,18.6,6.0,84.2,7.0,47.0,6.7,0.0,3.6,66.0,1142.0,17.3,6.0,
20.0,Sam Hurd,Northern Illinois,MAC,12.0,65.0,1074.0,16.5,13.0,89.5,0.0,0.0,,0.0,0.0,65.0,1074.0,16.5,13.0,
21.0,Hank Baskett,New Mexico,MWC,11.0,67.0,1071.0,16.0,9.0,97.4,0.0,0.0,,0.0,0.0,67.0,1071.0,16.0,9.0,
22.0,Demetrius Williams,Oregon,Pac-10,12.0,59.0,1059.0,17.9,10.0,88.3,9.0,58.0,6.4,1.0,4.8,68.0,1117.0,16.4,11.0,
23.0,Charles Sharon,Bowling Green,MAC,11.0,74.0,1028.0,13.9,6.0,93.5,3.0,26.0,8.7,0.0,2.4,77.0,1054.0,13.7,6.0,
24.0,Aundrae Allison,East Carolina,CUSA,11.0,83.0,1024.0,12.3,7.0,93.1,7.0,65.0,9.3,0.0,5.9,90.0,1089.0,12.1,7.0,
25.0,Jason Avant,Michigan,Big Ten,12.0,82.0,1007.0,12.3,8.0,83.9,0.0,0.0,,0.0,0.0,82.0,1007.0,12.3,8.0,
26.0,Joel Filani,Texas Tech,Big 12,12.0,65.0,1007.0,15.5,8.0,83.9,6.0,54.0,9.0,0.0,4.5,71.0,1061.0,14.9,8.0,
27.0,Daniel Smith,Idaho,WAC,10.0,67.0,1001.0,14.9,7.0,100.1,1.0,-3.0,-3.0,0.0,-0.3,68.0,998.0,14.7,7.0,
28.0,Todd Blythe,Iowa State,Big 12,12.0,51.0,1000.0,19.6,9.0,83.3,0.0,0.0,,0.0,0.0,51.0,1000.0,19.6,9.0,
29.0,Reggie Lindsey,UAB,CUSA,11.0,53.0,978.0,18.5,11.0,88.9,2.0,0.0,0.0,0.0,0.0,55.0,978.0,17.8,11.0,
30.0,Santonio Holmes,Ohio State,Big Ten,12.0,53.0,977.0,18.4,11.0,81.4,0.0,0.0,,0.0,0.0,53.0,977.0,18.4,11.0,
31.0,Greg Lee,Pitt,Big East,11.0,49.0,962.0,19.6,7.0,87.5,0.0,0.0,,0.0,0.0,49.0,962.0,19.6,7.0,
32.0,Dorien Bryant,Purdue,Big Ten,11.0,80.0,960.0,12.0,4.0,87.3,21.0,101.0,4.8,3.0,9.2,101.0,1061.0,10.5,7.0,
33.0,Steve Smith,USC,Pac-10,13.0,60.0,957.0,16.0,5.0,73.6,2.0,11.0,5.5,0.0,0.8,62.0,968.0,15.6,5.0,
34.0,Robert Johnson,Texas Tech,Big 12,12.0,67.0,951.0,14.2,4.0,79.3,0.0,0.0,,0.0,0.0,67.0,951.0,14.2,4.0,
35.0,Vincent Marshall,Houston,CUSA,12.0,71.0,939.0,13.2,6.0,78.3,7.0,85.0,12.1,0.0,7.1,78.0,1024.0,13.1,6.0,
36.0,Chad Jackson,Florida,SEC,12.0,88.0,900.0,10.2,9.0,75.0,16.0,89.0,5.6,2.0,7.4,104.0,989.0,9.5,11.0,
37.0,James Hardy,Indiana,Big Ten,10.0,61.0,893.0,14.6,10.0,89.3,0.0,0.0,,0.0,0.0,61.0,893.0,14.6,10.0,
38.0,Caleb Spencer,Nevada,WAC,11.0,67.0,889.0,13.3,7.0,80.8,2.0,9.0,4.5,0.0,0.8,69.0,898.0,13.0,7.0,
39.0,Calvin Johnson,Georgia Tech,ACC,12.0,54.0,888.0,16.4,6.0,74.0,0.0,0.0,,0.0,0.0,54.0,888.0,16.4,6.0,
40.0,Cleannord Saintil,Middle Tennessee State,Sun Belt,11.0,66.0,884.0,13.4,3.0,80.4,0.0,0.0,,0.0,0.0,66.0,884.0,13.4,3.0,
