Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,DeAngelo Williams,Memphis,CUSA,11.0,310.0,1964.0,6.3,18.0,178.5,12.0,78.0,6.5,1.0,7.1,322.0,2042.0,6.3,19.0,H-7
2.0,Jerome Harrison,Washington State,Pac-10,11.0,308.0,1900.0,6.2,16.0,172.7,24.0,206.0,8.6,1.0,18.7,332.0,2106.0,6.3,17.0,"H-9,AA"
3.0,Reggie Bush,USC,Pac-10,13.0,200.0,1740.0,8.7,16.0,133.8,37.0,478.0,12.9,2.0,36.8,237.0,2218.0,9.4,18.0,"H-1,AA,Camp"
4.0,Brian Calhoun,Wisconsin,Big Ten,13.0,348.0,1636.0,4.7,22.0,125.8,53.0,571.0,10.8,2.0,43.9,401.0,2207.0,5.5,24.0,
5.0,Garrett Wolfe,Northern Illinois,MAC,9.0,242.0,1580.0,6.5,16.0,175.6,20.0,222.0,11.1,1.0,24.7,262.0,1802.0,6.9,17.0,
6.0,Tyrell Sutton,Northwestern,Big Ten,12.0,250.0,1474.0,5.9,16.0,122.8,44.0,396.0,9.0,2.0,33.0,294.0,1870.0,6.4,18.0,
7.0,Laurence Maroney,Minnesota,Big Ten,11.0,281.0,1464.0,5.2,10.0,133.1,17.0,170.0,10.0,1.0,15.5,298.0,1634.0,5.5,11.0,
8.0,B.J. Mitchell,Nevada,WAC,12.0,261.0,1399.0,5.4,12.0,116.6,4.0,26.0,6.5,1.0,2.2,265.0,1425.0,5.4,13.0,
9.0,Andre Hall,South Florida,Big East,12.0,270.0,1374.0,5.1,13.0,114.5,26.0,321.0,12.3,2.0,26.8,296.0,1695.0,5.7,15.0,
10.0,Albert Young,Iowa,Big Ten,12.0,249.0,1334.0,5.4,8.0,111.2,24.0,244.0,10.2,0.0,20.3,273.0,1578.0,5.8,8.0,
11.0,Antonio Pittman,Ohio State,Big Ten,12.0,243.0,1331.0,5.5,7.0,110.9,17.0,161.0,9.5,0.0,13.4,260.0,1492.0,5.7,7.0,
12.0,Yvenson Bernard,Oregon State,Pac-10,11.0,299.0,1321.0,4.4,13.0,120.1,37.0,316.0,8.5,1.0,28.7,336.0,1637.0,4.9,14.0,
13.0,Wendell Mathis,Fresno State,WAC,13.0,248.0,1313.0,5.3,15.0,101.0,19.0,156.0,8.2,1.0,12.0,267.0,1469.0,5.5,16.0,
14.0,Lendale White,USC,Pac-10,13.0,197.0,1302.0,6.6,24.0,100.2,14.0,219.0,15.6,2.0,16.8,211.0,1521.0,7.2,26.0,
15.0,Brad Smith,Missouri,Big 12,12.0,229.0,1301.0,5.7,16.0,108.4,1.0,3.0,3.0,0.0,0.3,230.0,1304.0,5.7,16.0,
16.0,Dontrell Moore,New Mexico,MWC,11.0,275.0,1298.0,4.7,14.0,118.0,31.0,371.0,12.0,3.0,33.7,306.0,1669.0,5.5,17.0,
17.0,Trinity Dawson,Toledo,MAC,12.0,232.0,1294.0,5.6,5.0,107.8,22.0,241.0,11.0,4.0,20.1,254.0,1535.0,6.0,9.0,
18.0,Kenny Irons,Auburn,SEC,12.0,256.0,1293.0,5.1,13.0,107.8,14.0,164.0,11.7,0.0,13.7,270.0,1457.0,5.4,13.0,
19.0,Kyle Bell,Colorado State,MWC,12.0,276.0,1288.0,4.7,10.0,107.3,9.0,33.0,3.7,0.0,2.8,285.0,1321.0,4.6,10.0,
20.0,Marshawn Lynch,California,Pac-10,10.0,196.0,1246.0,6.4,10.0,124.6,15.0,125.0,8.3,0.0,12.5,211.0,1371.0,6.5,10.0,
21.0,Kenneth Darby,Alabama,SEC,12.0,239.0,1242.0,5.2,3.0,103.5,29.0,132.0,4.6,0.0,11.0,268.0,1374.0,5.1,3.0,
