feature,tree_feature_importance,kind
Draft Capital,0.1,base
BTT%,0.06681244523835306,base
Comp%,0.0644264170935374,base
Breakout Age,0.060814809333137786,base
YCO/A,0.054500176908760835,base
RDOM+,0.026264463870111682,base
BMI,0.024934341716924407,base
MTF,0.014430088047391923,base
ATT,0.008438948891204433,base
ADJ%,0.008118675517488528,base
SpeedxBMI,0.008009924621942282,interaction
PDOM+,0.006839213990053847,base
aDOT,0.0063550154349077195,base
TWP%,0.005955868705863046,base
Y/RR,0.0003816128447032329,base
