Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 19_level_0
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Ashton Jeanty,Boise State,MWC,14.0,374.0,2601.0,7.0,29.0,185.8,23.0,138.0,6.0,1.0,9.9,397.0,2739.0,6.9,30.0,"H-2,Maxwell,AA"
2.0,Cameron Skattebo,Arizona State,Big 12,13.0,293.0,1711.0,5.8,21.0,131.6,45.0,605.0,13.4,3.0,46.5,338.0,2316.0,6.9,24.0,H-5
3.0,Omarion Hampton*,North Carolina,ACC,12.0,281.0,1660.0,5.9,15.0,138.3,38.0,373.0,9.8,2.0,31.1,319.0,2033.0,6.4,17.0,
4.0,Bryson Daily*,Army,American,13.0,310.0,1659.0,5.4,32.0,127.6,0.0,0.0,,0.0,0.0,310.0,1659.0,5.4,32.0,H-6
5.0,Tre Stewart*,Jacksonville State,CUSA,14.0,278.0,1638.0,5.9,25.0,117.0,18.0,234.0,13.0,1.0,16.7,296.0,1872.0,6.3,26.0,
6.0,R.J. Harvey,UCF,Big 12,12.0,232.0,1577.0,6.8,22.0,131.4,20.0,267.0,13.4,3.0,22.3,252.0,1844.0,7.3,25.0,
7.0,Kaleb Johnson*,Iowa,Big Ten,12.0,240.0,1537.0,6.4,21.0,128.1,22.0,188.0,8.5,2.0,15.7,262.0,1725.0,6.6,23.0,AA
8.0,Tahj Brooks*,Texas Tech,Big 12,11.0,286.0,1505.0,5.3,17.0,136.8,28.0,199.0,7.1,1.0,18.1,314.0,1704.0,5.4,18.0,
9.0,Dylan Sampson,Tennessee,SEC,13.0,258.0,1491.0,5.8,22.0,114.7,20.0,143.0,7.2,0.0,11.0,278.0,1634.0,5.9,22.0,
10.0,Makhi Hughes*,Tulane,American,14.0,265.0,1401.0,5.3,15.0,100.1,19.0,176.0,9.3,2.0,12.6,284.0,1577.0,5.6,17.0,
11.0,Mario Anderson*,Memphis,American,13.0,236.0,1362.0,5.8,18.0,104.8,52.0,312.0,6.0,3.0,24.0,288.0,1674.0,5.8,21.0,
12.0,Ahmad Hardy,Louisiana-Monroe,Sun Belt,12.0,237.0,1351.0,5.7,13.0,112.6,8.0,72.0,9.0,0.0,6.0,245.0,1423.0,5.8,13.0,
13.0,Tyler Huff*,Jacksonville State,CUSA,14.0,227.0,1344.0,5.9,15.0,96.0,0.0,0.0,,0.0,0.0,227.0,1344.0,5.9,15.0,
14.0,DJ Giddens*,Kansas State,Big 12,12.0,205.0,1343.0,6.6,7.0,111.9,21.0,258.0,12.3,1.0,21.5,226.0,1601.0,7.1,8.0,
15.0,Brashard Smith,SMU,ACC,14.0,235.0,1332.0,5.7,14.0,95.1,39.0,327.0,8.4,4.0,23.4,274.0,1659.0,6.1,18.0,
16.0,Kyle Monangai*,Rutgers,Big Ten,11.0,256.0,1279.0,5.0,13.0,116.3,14.0,75.0,5.4,1.0,6.8,270.0,1354.0,5.0,14.0,
17.0,Marquez Cooper,San Diego State,MWC,12.0,292.0,1274.0,4.4,12.0,106.2,20.0,137.0,6.9,2.0,11.4,312.0,1411.0,4.5,14.0,
18.0,Jordan James,Oregon,Big Ten,14.0,233.0,1267.0,5.4,15.0,90.5,26.0,209.0,8.0,0.0,14.9,259.0,1476.0,5.7,15.0,
19.0,Devin Neal,Kansas,Big 12,12.0,219.0,1266.0,5.8,16.0,105.5,24.0,254.0,10.6,1.0,21.2,243.0,1520.0,6.3,17.0,
20.0,Quinton Cooley*,Liberty,CUSA,11.0,205.0,1254.0,6.1,13.0,114.0,1.0,9.0,9.0,0.0,0.8,206.0,1263.0,6.1,13.0,
21.0,Blake Horvath*,Navy,American,12.0,175.0,1246.0,7.1,17.0,103.8,1.0,13.0,13.0,0.0,1.1,176.0,1259.0,7.2,17.0,
22.0,Anthony Tyus III*,Ohio,MAC,13.0,237.0,1215.0,5.1,9.0,93.5,16.0,137.0,8.6,2.0,10.5,253.0,1352.0,5.3,11.0,
23.0,Jarquez Hunter,Auburn,SEC,12.0,187.0,1201.0,6.4,8.0,100.1,21.0,155.0,7.4,1.0,12.9,208.0,1356.0,6.5,9.0,
24.0,Isaac Brown*,Louisville,ACC,13.0,165.0,1173.0,7.1,11.0,90.2,30.0,152.0,5.1,1.0,11.7,195.0,1325.0,6.8,12.0,
25.0,Devon Dampier,New Mexico,MWC,12.0,155.0,1166.0,7.5,19.0,97.2,0.0,0.0,,0.0,0.0,155.0,1166.0,7.5,19.0,
26.0,Rahjai Harris*,East Carolina,American,13.0,206.0,1166.0,5.7,11.0,89.7,15.0,91.0,6.1,0.0,7.0,221.0,1257.0,5.7,11.0,
27.0,Bhayshul Tuten*,Virginia Tech,ACC,11.0,183.0,1159.0,6.3,15.0,105.4,23.0,81.0,3.5,2.0,7.4,206.0,1240.0,6.0,17.0,
28.0,Corey Kiner,Cincinnati,Big 12,12.0,204.0,1153.0,5.7,4.0,96.1,16.0,111.0,6.9,0.0,9.3,220.0,1264.0,5.7,4.0,
29.0,Jo'quavious Marks*,USC,Big Ten,12.0,198.0,1133.0,5.7,9.0,94.4,47.0,321.0,6.8,0.0,26.8,245.0,1454.0,5.9,9.0,
30.0,Jeremiyah Love*,Notre Dame,Ind,16.0,163.0,1125.0,6.9,17.0,70.3,28.0,237.0,8.5,2.0,14.8,191.0,1362.0,7.1,19.0,
31.0,Kanye Udoh*,Army,American,13.0,179.0,1117.0,6.2,10.0,85.9,1.0,3.0,3.0,0.0,0.2,180.0,1120.0,6.2,10.0,
32.0,Phil Mafah,Clemson,ACC,14.0,216.0,1115.0,5.2,8.0,79.6,21.0,103.0,4.9,0.0,7.4,237.0,1218.0,5.1,8.0,
33.0,Rahsul Faison,Utah State,MWC,12.0,198.0,1109.0,5.6,8.0,92.4,22.0,99.0,4.5,0.0,8.3,220.0,1208.0,5.5,8.0,
34.0,Kaytron Allen*,Penn State,Big Ten,16.0,220.0,1108.0,5.0,8.0,69.3,18.0,153.0,8.5,2.0,9.6,238.0,1261.0,5.3,10.0,
35.0,Nicholas Singleton*,Penn State,Big Ten,15.0,172.0,1099.0,6.4,12.0,73.3,41.0,375.0,9.1,5.0,25.0,213.0,1474.0,6.9,17.0,
