Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1.0,Mac Jones*,Alabama,SEC,13.0,311.0,402.0,77.4,4500.0,41.0,10.2,4.0,1.0,11.2,12.79,14.5,346.2,203.1,"H-3,AA"
2.0,Kyle Trask*,Florida,SEC,12.0,301.0,437.0,68.9,4283.0,43.0,9.8,8.0,1.8,9.8,10.95,14.2,356.9,180.0,H-4
3.0,Zach Wilson*,BYU,Ind,12.0,247.0,336.0,73.5,3692.0,33.0,9.8,3.0,0.9,11.0,12.55,14.9,307.7,196.4,H-8
4.0,Sam Howell*,North Carolina,ACC,12.0,237.0,348.0,68.1,3586.0,30.0,8.6,7.0,2.0,10.3,11.12,15.1,298.8,179.1,
5.0,Dillon Gabriel*,UCF,American,10.0,248.0,413.0,60.0,3570.0,32.0,7.7,4.0,1.0,8.6,9.76,14.4,357.0,156.3,
6.0,Brady White*,Memphis,American,11.0,254.0,420.0,60.5,3380.0,31.0,7.4,10.0,2.4,8.0,8.45,13.3,307.3,147.7,
7.0,Matt Corral*,Ole Miss,SEC,10.0,231.0,326.0,70.9,3337.0,29.0,8.9,14.0,4.3,10.2,10.08,14.4,333.7,177.6,
8.0,Trevor Lawrence*,Clemson,ACC,10.0,231.0,334.0,69.2,3153.0,24.0,7.2,5.0,1.5,9.4,10.2,13.6,315.3,169.2,H-2
9.0,Shane Buechele,SMU,American,10.0,242.0,370.0,65.4,3095.0,23.0,6.2,6.0,1.6,8.4,8.88,12.8,309.5,152.9,
10.0,Spencer Rattler*,Oklahoma,Big 12,11.0,214.0,317.0,67.5,3031.0,28.0,8.8,7.0,2.2,9.6,10.33,14.2,275.5,172.6,
11.0,Carson Strong*,Nevada,MWC,9.0,249.0,355.0,70.1,2858.0,27.0,7.6,4.0,1.1,8.1,9.06,11.5,317.6,160.6,
12.0,Ian Book*,Notre Dame,ACC,12.0,228.0,353.0,64.6,2830.0,15.0,4.2,3.0,0.8,8.0,8.48,12.4,235.8,144.3,H-9
13.0,Brock Purdy*,Iowa State,Big 12,12.0,243.0,365.0,66.6,2750.0,19.0,5.2,9.0,2.5,7.5,7.47,11.3,229.2,142.1,
