Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1.0,Joe Burrow*,LSU,SEC,15.0,402.0,527.0,76.3,5671.0,60.0,11.4,6.0,1.1,10.8,12.53,14.1,378.1,202.0,"H-1,Maxwell,AA,Camp"
2.0,Anthony Gordon*,Washington State,Pac-12,13.0,493.0,689.0,71.6,5579.0,48.0,7.0,16.0,2.3,8.1,8.45,11.3,429.2,157.9,
3.0,Cole McDonald*,Hawaii,MWC,14.0,326.0,511.0,63.8,4135.0,33.0,6.5,14.0,2.7,8.1,8.15,12.7,295.4,147.6,
4.0,Brady White*,Memphis,American,14.0,269.0,420.0,64.0,4014.0,33.0,7.9,11.0,2.6,9.6,9.95,14.9,286.7,165.0,
5.0,Brock Purdy*,Iowa State,Big 12,13.0,312.0,475.0,65.7,3982.0,27.0,5.7,9.0,1.9,8.4,8.67,12.8,306.3,151.1,
6.0,Shane Buechele*,SMU,American,13.0,307.0,490.0,62.7,3929.0,34.0,6.9,10.0,2.0,8.0,8.49,12.8,302.2,148.8,
7.0,Josh Love,San Jose State,MWC,12.0,293.0,481.0,60.9,3923.0,22.0,4.6,8.0,1.7,8.2,8.32,13.4,326.9,141.2,
8.0,Jalen Hurts*,Oklahoma,Big 12,14.0,237.0,340.0,69.7,3851.0,32.0,9.4,8.0,2.4,11.3,12.15,16.2,275.1,191.2,H-2
9.0,Chris Robison*,Florida Atlantic,CUSA,14.0,291.0,471.0,61.8,3701.0,28.0,5.9,6.0,1.3,7.9,8.47,12.7,264.4,144.9,
10.0,Trevor Lawrence*,Clemson,ACC,15.0,268.0,407.0,65.8,3665.0,36.0,8.8,8.0,2.0,9.0,9.89,13.7,244.3,166.7,H-7
11.0,Sam Ehlinger*,Texas,Big 12,13.0,296.0,454.0,65.2,3663.0,32.0,7.0,10.0,2.2,8.1,8.49,12.4,281.8,151.8,
12.0,Stephen Calvert*,Liberty,Ind,13.0,249.0,431.0,57.8,3663.0,28.0,6.5,7.0,1.6,8.5,9.07,14.7,281.8,147.4,
13.0,Dillon Gabriel*,UCF,American,13.0,236.0,398.0,59.3,3653.0,29.0,7.3,7.0,1.8,9.2,9.84,15.5,281.0,156.9,
14.0,Sam Howell*,North Carolina,ACC,13.0,259.0,422.0,61.4,3641.0,38.0,9.0,7.0,1.7,8.6,9.68,14.1,280.1,160.2,
15.0,Kaleb Barker,Troy,Sun Belt,12.0,299.0,460.0,65.0,3628.0,30.0,6.5,10.0,2.2,7.9,8.21,12.1,302.3,148.4,
16.0,Bryce Perkins*,Virginia,ACC,14.0,320.0,496.0,64.5,3538.0,22.0,4.4,12.0,2.4,7.1,6.93,11.1,252.7,134.2,
17.0,Kedon Slovis*,USC,Pac-12,12.0,282.0,392.0,71.9,3502.0,30.0,7.7,9.0,2.3,8.9,9.43,12.4,291.8,167.6,
18.0,Jack Abraham*,Southern Mississippi,CUSA,13.0,275.0,405.0,67.9,3496.0,19.0,4.7,15.0,3.7,8.6,7.9,12.7,268.9,148.5,
19.0,Justin Herbert*,Oregon,Pac-12,14.0,286.0,428.0,66.8,3471.0,32.0,7.5,6.0,1.4,8.1,8.97,12.1,247.9,156.8,
20.0,Jordan Love*,Utah State,MWC,13.0,293.0,473.0,61.9,3402.0,20.0,4.2,17.0,3.6,7.2,6.42,11.6,261.7,129.1,
21.0,Holton Ahlers,East Carolina,American,12.0,264.0,442.0,59.7,3387.0,21.0,4.8,10.0,2.3,7.7,7.6,12.8,282.3,135.3,
22.0,Zach Smith,Tulsa,American,12.0,246.0,429.0,57.3,3279.0,19.0,4.4,9.0,2.1,7.6,7.59,13.3,273.3,132.0,
23.0,Justin Fields*,Ohio State,Big Ten,14.0,238.0,354.0,67.2,3273.0,41.0,11.6,3.0,0.8,9.2,11.18,13.8,233.8,181.4,H-3
