Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Lew Nichols*,Central Michigan,MAC,13.0,341.0,1848.0,5.4,16.0,142.2,40.0,338.0,8.5,2.0,26.0,381.0,2186.0,5.7,18.0,
2.0,Kenneth Walker III*,Michigan State,Big Ten,12.0,263.0,1636.0,6.2,18.0,136.3,13.0,89.0,6.8,1.0,7.4,276.0,1725.0,6.3,19.0,"H-6,AA,Camp"
3.0,Abram Smith*,Baylor,Big 12,14.0,257.0,1621.0,6.3,12.0,115.8,13.0,75.0,5.8,0.0,5.4,270.0,1696.0,6.3,12.0,
4.0,Tyler Allgeier*,BYU,Ind,13.0,276.0,1606.0,5.8,23.0,123.5,28.0,199.0,7.1,0.0,15.3,304.0,1805.0,5.9,23.0,
5.0,Tyler Badie*,Missouri,SEC,12.0,268.0,1604.0,6.0,14.0,133.7,54.0,330.0,6.1,4.0,27.5,322.0,1934.0,6.0,18.0,
6.0,Sean Tucker,Syracuse,ACC,12.0,246.0,1496.0,6.1,12.0,124.7,20.0,255.0,12.8,2.0,21.3,266.0,1751.0,6.6,14.0,
7.0,Sincere McCormick*,UTSA,CUSA,14.0,298.0,1479.0,5.0,15.0,105.6,22.0,184.0,8.4,0.0,13.1,320.0,1663.0,5.2,15.0,
8.0,Breece Hall*,Iowa State,Big 12,12.0,253.0,1464.0,5.8,20.0,122.0,36.0,302.0,8.4,3.0,25.2,289.0,1766.0,6.1,23.0,"H-10,AA"
9.0,Deuce Vaughn*,Kansas State,Big 12,13.0,235.0,1404.0,6.0,18.0,108.0,49.0,468.0,9.6,4.0,36.0,284.0,1872.0,6.6,22.0,AA
10.0,Rasheen Ali*,Marshall,CUSA,13.0,250.0,1401.0,5.6,23.0,107.8,46.0,342.0,7.4,1.0,26.3,296.0,1743.0,5.9,24.0,
11.0,Bryant Koback*,Toledo,MAC,13.0,208.0,1400.0,6.7,15.0,107.7,30.0,334.0,11.1,3.0,25.7,238.0,1734.0,7.3,18.0,
12.0,Christopher Rodriguez Jr.*,Kentucky,SEC,13.0,225.0,1379.0,6.1,9.0,106.1,13.0,61.0,4.7,3.0,4.7,238.0,1440.0,6.1,12.0,
13.0,DeWayne McBride*,UAB,CUSA,13.0,204.0,1371.0,6.7,13.0,105.5,3.0,19.0,6.3,0.0,1.5,207.0,1390.0,6.7,13.0,
14.0,Brad Roberts*,Air Force,MWC,13.0,299.0,1356.0,4.5,13.0,104.3,0.0,0.0,,0.0,0.0,299.0,1356.0,4.5,13.0,
15.0,Brian Robinson Jr.*,Alabama,SEC,14.0,271.0,1343.0,5.0,14.0,95.9,35.0,296.0,8.5,2.0,21.1,306.0,1639.0,5.4,16.0,
16.0,B.J. Baylor*,Oregon State,Pac-12,13.0,227.0,1337.0,5.9,13.0,102.8,8.0,75.0,9.4,0.0,5.8,235.0,1412.0,6.0,13.0,
17.0,Hassan Haskins*,Michigan,Big Ten,14.0,270.0,1327.0,4.9,20.0,94.8,18.0,131.0,7.3,0.0,9.4,288.0,1458.0,5.1,20.0,
18.0,Jerome Ford*,Cincinnati,American,13.0,214.0,1319.0,6.2,19.0,101.5,21.0,220.0,10.5,1.0,16.9,235.0,1539.0,6.5,20.0,
19.0,Travis Dye*,Oregon,Pac-12,14.0,211.0,1271.0,6.0,16.0,90.8,46.0,402.0,8.7,2.0,28.7,257.0,1673.0,6.5,18.0,
20.0,Braelon Allen*,Wisconsin,Big Ten,12.0,186.0,1268.0,6.8,12.0,105.7,8.0,39.0,4.9,0.0,3.3,194.0,1307.0,6.7,12.0,
21.0,Charles Williams,Nevada-Las Vegas,MWC,12.0,254.0,1261.0,5.0,15.0,105.1,13.0,202.0,15.5,0.0,16.8,267.0,1463.0,5.5,15.0,
22.0,Kennedy Brooks*,Oklahoma,Big 12,13.0,198.0,1253.0,6.3,13.0,96.4,9.0,73.0,8.1,0.0,5.6,207.0,1326.0,6.4,13.0,
23.0,TreVeyon Henderson*,Ohio State,Big Ten,13.0,183.0,1248.0,6.8,15.0,96.0,27.0,312.0,11.6,4.0,24.0,210.0,1560.0,7.4,19.0,
24.0,Mataeo Durant,Duke,ACC,12.0,255.0,1241.0,4.9,9.0,103.4,27.0,256.0,9.5,2.0,21.3,282.0,1497.0,5.3,11.0,
25.0,Jaylen Warren*,Oklahoma State,Big 12,14.0,256.0,1216.0,4.8,11.0,86.9,25.0,225.0,9.0,0.0,16.1,281.0,1441.0,5.1,11.0,
26.0,Deandre Torrey*,North Texas,CUSA,12.0,248.0,1215.0,4.9,13.0,101.3,12.0,115.0,9.6,1.0,9.6,260.0,1330.0,5.1,14.0,
27.0,Marquez Cooper*,Kent State,MAC,14.0,241.0,1205.0,5.0,11.0,86.1,10.0,95.0,9.5,0.0,6.8,251.0,1300.0,5.2,11.0,
28.0,Jevyon Ducker*,Northern Illinois,MAC,12.0,218.0,1184.0,5.4,3.0,98.7,1.0,15.0,15.0,0.0,1.3,219.0,1199.0,5.5,3.0,
29.0,Tyler Goodson*,Iowa,Big Ten,13.0,256.0,1151.0,4.5,6.0,88.5,31.0,247.0,8.0,1.0,19.0,287.0,1398.0,4.9,7.0,
30.0,Sean Tyler*,Western Michigan,MAC,13.0,178.0,1140.0,6.4,9.0,87.7,14.0,114.0,8.1,2.0,8.8,192.0,1254.0,6.5,11.0,
31.0,Ellis Merriweather,Massachusetts,Ind,12.0,218.0,1138.0,5.2,5.0,94.8,22.0,165.0,7.5,1.0,13.8,240.0,1303.0,5.4,6.0,
32.0,Zach Charbonnet,UCLA,Pac-12,12.0,203.0,1137.0,5.6,13.0,94.8,24.0,197.0,8.2,0.0,16.4,227.0,1334.0,5.9,13.0,
33.0,Keaton Mitchell,East Carolina,American,12.0,174.0,1132.0,6.5,9.0,94.3,22.0,253.0,11.5,1.0,21.1,196.0,1385.0,7.1,10.0,
34.0,Bijan Robinson,Texas,Big 12,10.0,195.0,1127.0,5.8,11.0,112.7,26.0,295.0,11.3,4.0,29.5,221.0,1422.0,6.4,15.0,
35.0,Nate Noel*,Appalachian State,Sun Belt,14.0,199.0,1126.0,5.7,4.0,80.4,8.0,16.0,2.0,0.0,1.1,207.0,1142.0,5.5,4.0,
36.0,Blake Watson*,Old Dominion,CUSA,11.0,215.0,1112.0,5.2,8.0,101.1,10.0,55.0,5.5,1.0,5.0,225.0,1167.0,5.2,9.0,
37.0,Tavion Thomas*,Utah,Pac-12,13.0,204.0,1108.0,5.4,21.0,85.2,2.0,3.0,1.5,0.0,0.2,206.0,1111.0,5.4,21.0,
38.0,Tank Bigsby*,Auburn,SEC,13.0,224.0,1102.0,4.9,10.0,84.8,21.0,184.0,8.8,0.0,14.2,245.0,1286.0,5.2,10.0,
39.0,Ty Chandler*,North Carolina,ACC,13.0,182.0,1092.0,6.0,13.0,84.0,15.0,216.0,14.4,1.0,16.6,197.0,1308.0,6.6,14.0,
40.0,Greg Bell*,San Diego State,MWC,14.0,245.0,1091.0,4.5,9.0,77.9,4.0,5.0,1.3,0.0,0.4,249.0,1096.0,4.4,9.0,
41.0,Xazavian Valladay*,Wyoming,MWC,13.0,209.0,1070.0,5.1,6.0,82.3,23.0,233.0,10.1,0.0,17.9,232.0,1303.0,5.6,6.0,
42.0,Leddie Brown*,West Virginia,Big 12,12.0,223.0,1065.0,4.8,13.0,88.8,36.0,217.0,6.0,1.0,18.1,259.0,1282.0,4.9,14.0,
43.0,Dylan McDuffie,Buffalo,MAC,12.0,206.0,1049.0,5.1,11.0,87.4,14.0,113.0,8.1,1.0,9.4,220.0,1162.0,5.3,12.0,
