Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Jonathan Taylor*,Wisconsin,Big Ten,13.0,307.0,2194.0,7.1,16.0,168.8,8.0,60.0,7.5,0.0,4.6,315.0,2254.0,7.2,16.0,"H-9,AA"
2.0,Darrell Henderson*,Memphis,American,13.0,214.0,1909.0,8.9,22.0,146.8,19.0,295.0,15.5,3.0,22.7,233.0,2204.0,9.5,25.0,"H-10,AA"
3.0,Trayveon Williams*,Texas A&M,SEC,13.0,271.0,1760.0,6.5,18.0,135.4,27.0,278.0,10.3,1.0,21.4,298.0,2038.0,6.8,19.0,
4.0,Travis Etienne*,Clemson,ACC,15.0,204.0,1658.0,8.1,24.0,110.5,12.0,78.0,6.5,2.0,5.2,216.0,1736.0,8.0,26.0,H-7
5.0,Eno Benjamin*,Arizona State,Pac-12,13.0,300.0,1642.0,5.5,16.0,126.3,35.0,263.0,7.5,2.0,20.2,335.0,1905.0,5.7,18.0,
6.0,Benjamin Snell Jr.*,Kentucky,SEC,13.0,289.0,1449.0,5.0,16.0,111.5,17.0,105.0,6.2,0.0,8.1,306.0,1554.0,5.1,16.0,
7.0,J.J. Taylor,Arizona,Pac-12,12.0,255.0,1434.0,5.6,6.0,119.5,16.0,133.0,8.3,0.0,11.1,271.0,1567.0,5.8,6.0,
8.0,Alexander Mattison,Boise State,MWC,13.0,302.0,1415.0,4.7,17.0,108.8,27.0,173.0,6.4,0.0,13.3,329.0,1588.0,4.8,17.0,
9.0,Jermar Jefferson,Oregon State,Pac-12,12.0,239.0,1380.0,5.8,12.0,115.0,25.0,147.0,5.9,0.0,12.3,264.0,1527.0,5.8,12.0,
10.0,Alex Barnes,Kansas State,Big 12,12.0,256.0,1355.0,5.3,12.0,112.9,20.0,194.0,9.7,0.0,16.2,276.0,1549.0,5.6,12.0,
11.0,Devin Singletary,Florida Atlantic,CUSA,12.0,261.0,1348.0,5.2,22.0,112.3,6.0,36.0,6.0,0.0,3.0,267.0,1384.0,5.2,22.0,
12.0,Michael Warren II*,Cincinnati,American,12.0,244.0,1329.0,5.4,19.0,110.8,25.0,232.0,9.3,1.0,19.3,269.0,1561.0,5.8,20.0,
13.0,Nico Evans,Wyoming,MWC,10.0,203.0,1325.0,6.5,8.0,132.5,7.0,66.0,9.4,1.0,6.6,210.0,1391.0,6.6,9.0,
14.0,A.J. Ouellette*,Ohio,MAC,13.0,213.0,1306.0,6.1,12.0,100.5,21.0,212.0,10.1,2.0,16.3,234.0,1518.0,6.5,14.0,
15.0,Miles Sanders*,Penn State,Big Ten,13.0,220.0,1274.0,5.8,9.0,98.0,24.0,139.0,5.8,0.0,10.7,244.0,1413.0,5.8,9.0,
16.0,Myles Gaskin*,Washington,Pac-12,12.0,259.0,1268.0,4.9,12.0,105.7,21.0,77.0,3.7,1.0,6.4,280.0,1345.0,4.8,13.0,
17.0,Ke'Shawn Vaughn*,Vanderbilt,SEC,12.0,157.0,1244.0,7.9,12.0,103.7,13.0,170.0,13.1,2.0,14.2,170.0,1414.0,8.3,14.0,
18.0,Ben LeMay,Charlotte,CUSA,12.0,232.0,1243.0,5.4,11.0,103.6,21.0,282.0,13.4,0.0,23.5,253.0,1525.0,6.0,11.0,
19.0,Joshua Kelley,UCLA,Pac-12,11.0,225.0,1243.0,5.5,12.0,113.0,27.0,193.0,7.1,0.0,17.5,252.0,1436.0,5.7,12.0,
20.0,LeVante Bellamy*,Western Michigan,MAC,13.0,205.0,1228.0,6.0,6.0,94.5,30.0,185.0,6.2,1.0,14.2,235.0,1413.0,6.0,7.0,
21.0,Spencer Brown*,UAB,CUSA,14.0,272.0,1227.0,4.5,16.0,87.6,8.0,20.0,2.5,1.0,1.4,280.0,1247.0,4.5,17.0,
22.0,David Montgomery*,Iowa State,Big 12,12.0,257.0,1216.0,4.7,13.0,101.3,22.0,157.0,7.1,0.0,13.1,279.0,1373.0,4.9,13.0,
23.0,Larry Rountree III*,Missouri,SEC,13.0,225.0,1216.0,5.4,11.0,93.5,14.0,62.0,4.4,0.0,4.8,239.0,1278.0,5.3,11.0,
24.0,Qadree Ollison*,Pitt,ACC,14.0,194.0,1213.0,6.3,11.0,86.6,11.0,66.0,6.0,0.0,4.7,205.0,1279.0,6.2,11.0,
25.0,Darrynton Evans*,Appalachian State,Sun Belt,13.0,179.0,1187.0,6.6,7.0,91.3,12.0,87.0,7.3,1.0,6.7,191.0,1274.0,6.7,8.0,
26.0,B.J. Smith*,Troy,Sun Belt,13.0,219.0,1186.0,5.4,13.0,91.2,9.0,105.0,11.7,0.0,8.1,228.0,1291.0,5.7,13.0,
27.0,Greg McCrae*,UCF,American,13.0,133.0,1182.0,8.9,10.0,90.9,8.0,116.0,14.5,1.0,8.9,141.0,1298.0,9.2,11.0,
28.0,Trey Ragas*,Louisiana,Sun Belt,14.0,207.0,1181.0,5.7,8.0,84.4,25.0,229.0,9.2,2.0,16.4,232.0,1410.0,6.1,10.0,
29.0,Karan Higdon*,Michigan,Big Ten,11.0,224.0,1178.0,5.3,10.0,107.1,7.0,43.0,6.1,0.0,3.9,231.0,1221.0,5.3,10.0,
30.0,Mohamed Ibrahim*,Minnesota,Big Ten,10.0,202.0,1160.0,5.7,9.0,116.0,4.0,26.0,6.5,0.0,2.6,206.0,1186.0,5.8,9.0,
31.0,Darrin Hall*,Pitt,ACC,14.0,153.0,1144.0,7.5,10.0,81.7,15.0,66.0,4.4,0.0,4.7,168.0,1210.0,7.2,10.0,
32.0,David Pindell,Connecticut,American,12.0,212.0,1139.0,5.4,10.0,94.9,1.0,16.0,16.0,0.0,1.3,213.0,1155.0,5.4,10.0,
33.0,Stevie Scott,Indiana,Big Ten,12.0,228.0,1137.0,5.0,10.0,94.8,16.0,86.0,5.4,1.0,7.2,244.0,1223.0,5.0,11.0,
34.0,Darius Bradwell*,Tulane,American,13.0,201.0,1134.0,5.6,11.0,87.2,4.0,13.0,3.3,0.0,1.0,205.0,1147.0,5.6,11.0,
35.0,Pooka Williams,Kansas,Big 12,11.0,161.0,1125.0,7.0,7.0,102.3,33.0,289.0,8.8,2.0,26.3,194.0,1414.0,7.3,9.0,
36.0,Patrick Taylor Jr.*,Memphis,American,14.0,208.0,1122.0,5.4,16.0,80.1,17.0,197.0,11.6,2.0,14.1,225.0,1319.0,5.9,18.0,
37.0,Jordan Cronkrite*,South Florida,American,12.0,184.0,1121.0,6.1,9.0,93.4,7.0,30.0,4.3,0.0,2.5,191.0,1151.0,6.0,9.0,
38.0,Nick Fitzgerald*,Mississippi State,SEC,12.0,221.0,1121.0,5.1,13.0,93.4,0.0,0.0,,0.0,0.0,221.0,1121.0,5.1,13.0,
39.0,AJ Dillon,Boston College,ACC,10.0,227.0,1108.0,4.9,10.0,110.8,8.0,41.0,5.1,1.0,4.1,235.0,1149.0,4.9,11.0,
