Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 19_level_0
Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Nathaniel Dell*,Houston,American,13.0,109.0,1398.0,12.8,17.0,107.5,4.0,9.0,2.3,0.0,0.7,113.0,1407.0,12.5,17.0,
2.0,Charlie Jones*,Purdue,Big Ten,13.0,110.0,1361.0,12.4,12.0,104.7,2.0,3.0,1.5,0.0,0.2,112.0,1364.0,12.2,12.0,
3.0,Rashee Rice*,SMU,American,12.0,96.0,1355.0,14.1,10.0,112.9,0.0,0.0,,0.0,0.0,96.0,1355.0,14.1,10.0,
4.0,Malachi Corley*,Western Kentucky,CUSA,14.0,101.0,1295.0,12.8,11.0,92.5,11.0,87.0,7.9,0.0,6.2,112.0,1382.0,12.3,11.0,
5.0,Jalin Hyatt*,Tennessee,SEC,12.0,67.0,1267.0,18.9,15.0,105.6,1.0,0.0,0.0,0.0,0.0,68.0,1267.0,18.6,15.0,AA
6.0,Marvin Harrison Jr.*,Ohio State,Big Ten,13.0,77.0,1263.0,16.4,14.0,97.2,2.0,32.0,16.0,0.0,2.5,79.0,1295.0,16.4,14.0,AA
7.0,Keylon Stokes,Tulsa,American,12.0,76.0,1224.0,16.1,8.0,102.0,4.0,9.0,2.3,0.0,0.8,80.0,1233.0,15.4,8.0,
8.0,Xavier Hutchinson,Iowa State,Big 12,12.0,107.0,1171.0,10.9,6.0,97.6,0.0,0.0,,0.0,0.0,107.0,1171.0,10.9,6.0,
9.0,Emeka Egbuka*,Ohio State,Big Ten,13.0,74.0,1151.0,15.6,10.0,88.5,11.0,87.0,7.9,2.0,6.7,85.0,1238.0,14.6,12.0,
10.0,Rome Odunze*,Washington,Pac-12,12.0,75.0,1145.0,15.3,7.0,95.4,3.0,6.0,2.0,1.0,0.5,78.0,1151.0,14.8,8.0,
11.0,Zakhari Franklin*,UTSA,CUSA,14.0,94.0,1136.0,12.1,15.0,81.1,0.0,0.0,,0.0,0.0,94.0,1136.0,12.1,15.0,
12.0,Tory Horton,Colorado State,MWC,12.0,71.0,1131.0,15.9,8.0,94.3,2.0,6.0,3.0,0.0,0.5,73.0,1137.0,15.6,8.0,
