Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
271.0,Chigoziem Okonkwo*,Maryland,Big Ten,13.0,52.0,447.0,8.6,5.0,34.4,0.0,0.0,,0.0,0.0,52.0,447.0,8.6,5.0,
272.0,Ladd McConkey*,Georgia,SEC,15.0,31.0,447.0,14.4,5.0,29.8,4.0,44.0,11.0,1.0,2.9,35.0,491.0,14.0,6.0,
273.0,Ahmari Huggins-Bruce*,Louisville,ACC,12.0,29.0,444.0,15.3,4.0,37.0,2.0,15.0,7.5,0.0,1.3,31.0,459.0,14.8,4.0,
274.0,Khaleb Hood,Georgia Southern,Sun Belt,12.0,35.0,442.0,12.6,0.0,36.8,13.0,77.0,5.9,1.0,6.4,48.0,519.0,10.8,1.0,
275.0,Malik Heath*,Mississippi State,SEC,11.0,34.0,442.0,13.0,5.0,40.2,0.0,0.0,,0.0,0.0,34.0,442.0,13.0,5.0,
276.0,Ryan Jones,East Carolina,American,12.0,37.0,442.0,11.9,5.0,36.8,0.0,0.0,,0.0,0.0,37.0,442.0,11.9,5.0,
277.0,Malik Knowles*,Kansas State,Big 12,13.0,29.0,441.0,15.2,4.0,33.9,15.0,106.0,7.1,0.0,8.2,44.0,547.0,12.4,4.0,
278.0,Jose Barbon,Temple,American,12.0,40.0,440.0,11.0,2.0,36.7,2.0,26.0,13.0,0.0,2.2,42.0,466.0,11.1,2.0,
279.0,Joseph Ngata*,Clemson,ACC,9.0,23.0,438.0,19.0,1.0,48.7,0.0,0.0,,0.0,0.0,23.0,438.0,19.0,1.0,
280.0,Erick All*,Michigan,Big Ten,13.0,38.0,437.0,11.5,2.0,33.6,0.0,0.0,,0.0,0.0,38.0,437.0,11.5,2.0,
281.0,Terrell Bynum,Washington,Pac-12,8.0,26.0,436.0,16.8,4.0,54.5,1.0,8.0,8.0,0.0,1.0,27.0,444.0,16.4,4.0,
282.0,Bub Means,Louisiana Tech,CUSA,11.0,22.0,430.0,19.5,2.0,39.1,1.0,-8.0,-8.0,0.0,-0.7,23.0,422.0,18.3,2.0,
283.0,Tyrick James,Tulane,American,12.0,31.0,429.0,13.8,4.0,35.8,0.0,0.0,,0.0,0.0,31.0,429.0,13.8,4.0,
