Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
246.0,Shawn White*,Navy,American,14.0,79.0,450.0,5.7,7.0,32.1,4.0,46.0,11.5,0.0,3.3,83.0,496.0,6.0,7.0,
247.0,Kent Myers,Utah State,MWC,12.0,116.0,449.0,3.9,6.0,37.4,0.0,0.0,,0.0,0.0,116.0,449.0,3.9,6.0,
248.0,Khari Blasingame*,Vanderbilt,SEC,13.0,97.0,449.0,4.6,10.0,34.5,4.0,8.0,2.0,0.0,0.6,101.0,457.0,4.5,10.0,
249.0,Alex Barnes*,Kansas State,Big 12,11.0,56.0,442.0,7.9,6.0,40.2,0.0,0.0,,0.0,0.0,56.0,442.0,7.9,6.0,
250.0,Juwan Washington*,San Diego State,MWC,14.0,55.0,441.0,8.0,6.0,31.5,3.0,72.0,24.0,1.0,5.1,58.0,513.0,8.8,7.0,
251.0,Maleek Irons*,Ohio,MAC,9.0,95.0,439.0,4.6,5.0,48.8,14.0,96.0,6.9,0.0,10.7,109.0,535.0,4.9,5.0,
252.0,Gerald Holmes,Michigan State,Big Ten,12.0,91.0,431.0,4.7,5.0,35.9,11.0,48.0,4.4,0.0,4.0,102.0,479.0,4.7,5.0,
253.0,John Franklin III*,Auburn,SEC,13.0,46.0,430.0,9.3,2.0,33.1,1.0,-3.0,-3.0,0.0,-0.2,47.0,427.0,9.1,2.0,
254.0,Da'Leon Ward,Texas Tech,Big 12,10.0,103.0,428.0,4.2,3.0,42.8,18.0,131.0,7.3,0.0,13.1,121.0,559.0,4.6,3.0,
255.0,Thomas Koufie,Louisiana-Monroe,Sun Belt,12.0,81.0,427.0,5.3,9.0,35.6,5.0,24.0,4.8,0.0,2.0,86.0,451.0,5.2,9.0,
256.0,Toneo Gulley*,Navy,American,12.0,43.0,427.0,9.9,4.0,35.6,4.0,110.0,27.5,1.0,9.2,47.0,537.0,11.4,5.0,
257.0,Hasaan Klugh,Charlotte,CUSA,11.0,89.0,426.0,4.8,8.0,38.7,0.0,0.0,,0.0,0.0,89.0,426.0,4.8,8.0,
258.0,Karan Higdon*,Michigan,Big Ten,12.0,72.0,425.0,5.9,6.0,35.4,0.0,0.0,,0.0,0.0,72.0,425.0,5.9,6.0,
259.0,Zamore Zigler,San Jose State,MWC,8.0,79.0,423.0,5.4,3.0,52.9,10.0,79.0,7.9,1.0,9.9,89.0,502.0,5.6,4.0,
260.0,Jordan Asberry*,Army,Ind,13.0,57.0,421.0,7.4,5.0,32.4,5.0,100.0,20.0,1.0,7.7,62.0,521.0,8.4,6.0,
261.0,Lamical Perine*,Florida,SEC,13.0,91.0,421.0,4.6,1.0,32.4,9.0,161.0,17.9,1.0,12.4,100.0,582.0,5.8,2.0,
262.0,Breck Turner*,Eastern Michigan,MAC,10.0,77.0,417.0,5.4,4.0,41.7,8.0,67.0,8.4,0.0,6.7,85.0,484.0,5.7,4.0,
263.0,Manny Morgan,Akron,MAC,11.0,81.0,417.0,5.1,0.0,37.9,2.0,8.0,4.0,0.0,0.7,83.0,425.0,5.1,0.0,
264.0,Ty Isaac*,Michigan,Big Ten,12.0,74.0,417.0,5.6,5.0,34.8,2.0,42.0,21.0,0.0,3.5,76.0,459.0,6.0,5.0,
265.0,Steven Lakalaka*,Hawaii,MWC,14.0,102.0,416.0,4.1,13.0,29.7,3.0,14.0,4.7,0.0,1.0,105.0,430.0,4.1,13.0,
266.0,Clinton Lynch*,Georgia Tech,ACC,13.0,37.0,415.0,11.2,2.0,31.9,16.0,490.0,30.6,6.0,37.7,53.0,905.0,17.1,8.0,
267.0,Devine Ozigbo*,Nebraska,Big Ten,10.0,97.0,412.0,4.2,5.0,41.2,5.0,100.0,20.0,0.0,10.0,102.0,512.0,5.0,5.0,
268.0,Greg Windham*,Ohio,MAC,11.0,95.0,406.0,4.3,3.0,36.9,0.0,0.0,,0.0,0.0,95.0,406.0,4.3,3.0,
269.0,Dontravious Wilson*,UCF,American,12.0,102.0,401.0,3.9,4.0,33.4,12.0,107.0,8.9,1.0,8.9,114.0,508.0,4.5,5.0,
270.0,Tyree Jackson,Buffalo,MAC,10.0,99.0,399.0,4.0,5.0,39.9,0.0,0.0,,0.0,0.0,99.0,399.0,4.0,5.0,
271.0,Aca'Cedric Ware*,USC,Pac-12,11.0,78.0,397.0,5.1,2.0,36.1,4.0,29.0,7.3,0.0,2.6,82.0,426.0,5.2,2.0,
272.0,Xavier Hall,New Mexico State,Sun Belt,12.0,80.0,396.0,5.0,1.0,33.0,11.0,136.0,12.4,0.0,11.3,91.0,532.0,5.8,1.0,
273.0,Mike Boone,Cincinnati,American,9.0,105.0,388.0,3.7,2.0,43.1,20.0,249.0,12.5,0.0,27.7,125.0,637.0,5.1,2.0,
274.0,Anthony Scott,East Carolina,American,8.0,79.0,384.0,4.9,2.0,48.0,23.0,164.0,7.1,3.0,20.5,102.0,548.0,5.4,5.0,
275.0,Zach Abey*,Navy,American,5.0,70.0,384.0,5.5,6.0,76.8,0.0,0.0,,0.0,0.0,70.0,384.0,5.5,6.0,
276.0,Jeremy Smith*,Louisville,ACC,13.0,57.0,382.0,6.7,8.0,29.4,18.0,227.0,12.6,1.0,17.5,75.0,609.0,8.1,9.0,
277.0,Zack Moss*,Utah,Pac-12,10.0,84.0,382.0,4.5,2.0,38.2,1.0,4.0,4.0,0.0,0.4,85.0,386.0,4.5,2.0,
278.0,Kell Walker*,Army,Ind,13.0,58.0,378.0,6.5,2.0,29.1,2.0,30.0,15.0,0.0,2.3,60.0,408.0,6.8,2.0,
279.0,Dami Ayoola*,South Alabama,Sun Belt,13.0,88.0,377.0,4.3,6.0,29.0,10.0,32.0,3.2,0.0,2.5,98.0,409.0,4.2,6.0,
280.0,Armand Shyne*,Utah,Pac-12,5.0,78.0,373.0,4.8,4.0,74.6,2.0,6.0,3.0,0.0,1.2,80.0,379.0,4.7,4.0,
281.0,Zach Green,Arizona,Pac-12,11.0,77.0,372.0,4.8,3.0,33.8,2.0,5.0,2.5,0.0,0.5,79.0,377.0,4.8,3.0,
282.0,Chris Warren III,Texas,Big 12,4.0,62.0,366.0,5.9,3.0,91.5,0.0,0.0,,0.0,0.0,62.0,366.0,5.9,3.0,
283.0,Mitch Leidner*,Minnesota,Big Ten,12.0,111.0,366.0,3.3,10.0,30.5,0.0,0.0,,0.0,0.0,111.0,366.0,3.3,10.0,
284.0,Trace McSorley*,Penn State,Big Ten,14.0,146.0,365.0,2.5,7.0,26.1,0.0,0.0,,0.0,0.0,146.0,365.0,2.5,7.0,
285.0,Brian Herrien*,Georgia,SEC,12.0,63.0,363.0,5.8,3.0,30.3,2.0,14.0,7.0,0.0,1.2,65.0,377.0,5.8,3.0,
286.0,Davon Jones*,Boston College,ACC,12.0,91.0,361.0,4.0,2.0,30.1,10.0,99.0,9.9,0.0,8.3,101.0,460.0,4.6,2.0,
287.0,Kurt Palandech,Nevada-Las Vegas,MWC,11.0,48.0,359.0,7.5,5.0,32.6,0.0,0.0,,0.0,0.0,48.0,359.0,7.5,5.0,
288.0,Moe Neal,Syracuse,ACC,12.0,68.0,357.0,5.3,2.0,29.8,2.0,6.0,3.0,0.0,0.5,70.0,363.0,5.2,2.0,
289.0,Demarcus Felton,Texas Tech,Big 12,10.0,64.0,354.0,5.5,3.0,35.4,7.0,31.0,4.4,0.0,3.1,71.0,385.0,5.4,3.0,
290.0,Shaun Wick*,Wyoming,MWC,13.0,89.0,354.0,4.0,1.0,27.2,4.0,32.0,8.0,0.0,2.5,93.0,386.0,4.2,1.0,
291.0,Jacques Patrick*,Florida State,ACC,13.0,61.0,350.0,5.7,4.0,26.9,4.0,21.0,5.3,0.0,1.6,65.0,371.0,5.7,4.0,
292.0,Jojo Kemp*,Kentucky,SEC,10.0,70.0,349.0,5.0,6.0,34.9,2.0,5.0,2.5,0.0,0.5,72.0,354.0,4.9,6.0,
293.0,Dalton Sneed,Nevada-Las Vegas,MWC,9.0,57.0,348.0,6.1,1.0,38.7,1.0,10.0,10.0,0.0,1.1,58.0,358.0,6.2,1.0,
294.0,Kyle Evans*,Colorado,Pac-12,14.0,84.0,346.0,4.1,3.0,24.7,8.0,114.0,14.3,0.0,8.1,92.0,460.0,5.0,3.0,
295.0,Austin Walter,Rice,CUSA,12.0,68.0,343.0,5.0,4.0,28.6,13.0,73.0,5.6,2.0,6.1,81.0,416.0,5.1,6.0,
296.0,La Ramsby,Georgia Southern,Sun Belt,11.0,84.0,343.0,4.1,8.0,31.2,7.0,22.0,3.1,0.0,2.0,91.0,365.0,4.0,8.0,
297.0,Anthony Jennings*,Louisiana,Sun Belt,13.0,144.0,341.0,2.4,9.0,26.2,0.0,0.0,,0.0,0.0,144.0,341.0,2.4,9.0,
298.0,Favian Upshaw,Georgia Southern,Sun Belt,8.0,69.0,341.0,4.9,2.0,42.6,0.0,0.0,,0.0,0.0,69.0,341.0,4.9,2.0,
299.0,John Moten IV*,Northwestern,Big Ten,13.0,57.0,340.0,6.0,2.0,26.2,3.0,44.0,14.7,0.0,3.4,60.0,384.0,6.4,2.0,
300.0,Anthony Anderson,Marshall,CUSA,11.0,86.0,339.0,3.9,2.0,30.8,2.0,16.0,8.0,0.0,1.5,88.0,355.0,4.0,2.0,
301.0,Richie James*,Middle Tennessee State,CUSA,13.0,38.0,339.0,8.9,4.0,26.1,105.0,1625.0,15.5,12.0,125.0,143.0,1964.0,13.7,16.0,
302.0,Johnathan Hawkins,Buffalo,MAC,12.0,74.0,338.0,4.6,1.0,28.2,21.0,119.0,5.7,1.0,9.9,95.0,457.0,4.8,2.0,
303.0,Vic Enwere,California,Pac-12,6.0,61.0,336.0,5.5,2.0,56.0,4.0,10.0,2.5,0.0,1.7,65.0,346.0,5.3,2.0,
304.0,Jaxson Kincaide,Nevada,MWC,12.0,78.0,334.0,4.3,3.0,27.8,7.0,88.0,12.6,0.0,7.3,85.0,422.0,5.0,3.0,
