Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 19_level_0
Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Harold Fannin Jr.*,Bowling Green,MAC,13.0,117.0,1555.0,13.3,10.0,119.6,9.0,65.0,7.2,1.0,5.0,126.0,1620.0,12.9,11.0,AA
2.0,Nick Nash*,San Jose State,MWC,12.0,104.0,1382.0,13.3,16.0,115.2,1.0,-9.0,-9.0,0.0,-0.8,105.0,1373.0,13.1,16.0,AA
3.0,Tetairoa McMillan,Arizona,Big 12,12.0,84.0,1319.0,15.7,8.0,109.9,0.0,0.0,,0.0,0.0,84.0,1319.0,15.7,8.0,AA
4.0,Jeremiah Smith*,Ohio State,Big Ten,16.0,76.0,1315.0,17.3,15.0,82.2,6.0,47.0,7.8,1.0,2.9,82.0,1362.0,16.6,16.0,
5.0,Travis Hunter*,Colorado,Big 12,13.0,96.0,1258.0,13.1,15.0,96.8,2.0,5.0,2.5,1.0,0.4,98.0,1263.0,12.9,16.0,"H-1,Bednarik,AA,Camp"
6.0,Coleman Owen*,Ohio,MAC,14.0,78.0,1245.0,16.0,8.0,88.9,2.0,26.0,13.0,1.0,1.9,80.0,1271.0,15.9,9.0,
7.0,Tyler Warren*,Penn State,Big Ten,16.0,104.0,1233.0,11.9,8.0,77.1,26.0,218.0,8.4,4.0,13.6,130.0,1451.0,11.2,12.0,H-7
8.0,Kyle Williams*,Washington State,Ind,13.0,70.0,1198.0,17.1,14.0,92.2,9.0,57.0,6.3,0.0,4.4,79.0,1255.0,15.9,14.0,
9.0,Jaylin Noel*,Iowa State,Big 12,14.0,80.0,1194.0,14.9,8.0,85.3,9.0,38.0,4.2,0.0,2.7,89.0,1232.0,13.8,8.0,
10.0,Jayden Higgins*,Iowa State,Big 12,13.0,87.0,1183.0,13.6,9.0,91.0,0.0,0.0,,0.0,0.0,87.0,1183.0,13.6,9.0,
11.0,Eric Rivers,Florida International,CUSA,12.0,62.0,1172.0,18.9,12.0,97.7,1.0,-3.0,-3.0,0.0,-0.3,63.0,1169.0,18.6,12.0,
12.0,Andrew Armstrong*,Arkansas,SEC,11.0,78.0,1140.0,14.6,1.0,103.6,0.0,0.0,,0.0,0.0,78.0,1140.0,14.6,1.0,
13.0,Jamaal Pritchett*,South Alabama,Sun Belt,12.0,91.0,1127.0,12.4,9.0,93.9,1.0,3.0,3.0,0.0,0.3,92.0,1130.0,12.3,9.0,
14.0,Xavier Restrepo*,Miami (FL),ACC,12.0,69.0,1127.0,16.3,11.0,93.9,0.0,0.0,,0.0,0.0,69.0,1127.0,16.3,11.0,AA
15.0,Tai Felton,Maryland,Big Ten,12.0,96.0,1124.0,11.7,9.0,93.7,2.0,23.0,11.5,0.0,1.9,98.0,1147.0,11.7,9.0,
16.0,Jordyn Tyson,Arizona State,Big 12,12.0,75.0,1101.0,14.7,10.0,91.8,1.0,1.0,1.0,0.0,0.1,76.0,1102.0,14.5,10.0,
17.0,Mac Dalena*,Fresno State,MWC,13.0,64.0,1065.0,16.6,8.0,81.9,5.0,39.0,7.8,0.0,3.0,69.0,1104.0,16.0,8.0,
18.0,Corey Rucker*,Arkansas State,Sun Belt,13.0,69.0,1053.0,15.3,7.0,81.0,0.0,0.0,,0.0,0.0,69.0,1053.0,15.3,7.0,
19.0,Jerjuan Newton*,Toledo,MAC,13.0,72.0,1048.0,14.6,11.0,80.6,1.0,1.0,1.0,0.0,0.1,73.0,1049.0,14.4,11.0,
20.0,Devonte Ross,Troy,Sun Belt,12.0,76.0,1043.0,13.7,11.0,86.9,9.0,35.0,3.9,0.0,2.9,85.0,1078.0,12.7,11.0,
21.0,Ricky White*,Nevada-Las Vegas,MWC,13.0,79.0,1041.0,13.2,11.0,80.1,1.0,1.0,1.0,0.0,0.1,80.0,1042.0,13.0,11.0,
22.0,Jack Bech*,Texas Christian,Big 12,12.0,62.0,1034.0,16.7,9.0,86.2,0.0,7.0,,0.0,0.6,62.0,1041.0,16.8,9.0,
23.0,Mario Williams*,Tulane,American,14.0,60.0,1031.0,17.2,6.0,73.6,2.0,12.0,6.0,0.0,0.9,62.0,1043.0,16.8,6.0,
24.0,Tre Harris*,Ole Miss,SEC,8.0,60.0,1030.0,17.2,7.0,128.8,0.0,0.0,,0.0,0.0,60.0,1030.0,17.2,7.0,
25.0,Josh Kelly*,Texas Tech,Big 12,12.0,89.0,1023.0,11.5,5.0,85.3,0.0,0.0,,0.0,0.0,89.0,1023.0,11.5,5.0,
26.0,Jackson Meeks*,Syracuse,ACC,13.0,78.0,1021.0,13.1,7.0,78.5,0.0,0.0,,0.0,0.0,78.0,1021.0,13.1,7.0,
27.0,Ja'Corey Brooks*,Louisville,ACC,12.0,61.0,1013.0,16.6,9.0,84.4,0.0,0.0,,0.0,0.0,61.0,1013.0,16.6,9.0,
28.0,Emeka Egbuka*,Ohio State,Big Ten,16.0,81.0,1011.0,12.5,10.0,63.2,8.0,33.0,4.1,0.0,2.1,89.0,1044.0,11.7,10.0,
29.0,Matthew Golden*,Texas,SEC,16.0,58.0,987.0,17.0,9.0,61.7,0.0,0.0,,0.0,0.0,58.0,987.0,17.0,9.0,
30.0,Tru Edwards*,Louisiana Tech,CUSA,13.0,84.0,986.0,11.7,6.0,75.8,1.0,1.0,1.0,0.0,0.1,85.0,987.0,11.6,6.0,
31.0,Pat Bryant*,Illinois,Big Ten,12.0,54.0,984.0,18.2,10.0,82.0,5.0,14.0,2.8,0.0,1.2,59.0,998.0,16.9,10.0,
32.0,Justin Lockhart*,San Jose State,MWC,13.0,53.0,983.0,18.5,5.0,75.6,0.0,0.0,,0.0,0.0,53.0,983.0,18.5,5.0,
33.0,Keandre Lambert-Smith,Auburn,SEC,12.0,50.0,981.0,19.6,8.0,81.8,0.0,0.0,,0.0,0.0,50.0,981.0,19.6,8.0,
34.0,Ted Hurst,Georgia State,Sun Belt,12.0,56.0,961.0,17.2,9.0,80.1,0.0,0.0,,0.0,0.0,56.0,961.0,17.2,9.0,
35.0,Elijah Sarratt,Indiana,Big Ten,13.0,53.0,957.0,18.1,8.0,73.6,0.0,0.0,,0.0,0.0,53.0,957.0,18.1,8.0,
36.0,Junior Vandeross III*,Toledo,MAC,13.0,85.0,957.0,11.3,5.0,73.6,2.0,10.0,5.0,0.0,0.8,87.0,967.0,11.1,5.0,
37.0,Roc Taylor*,Memphis,American,13.0,66.0,950.0,14.4,2.0,73.1,2.0,5.0,2.5,0.0,0.4,68.0,955.0,14.0,2.0,
38.0,Trebor Pena*,Syracuse,ACC,13.0,84.0,941.0,11.2,9.0,72.4,12.0,72.0,6.0,1.0,5.5,96.0,1013.0,10.6,10.0,
39.0,Oronde Gadsden II*,Syracuse,ACC,13.0,73.0,934.0,12.8,7.0,71.8,1.0,12.0,12.0,0.0,0.9,74.0,946.0,12.8,7.0,
40.0,Kevin Coleman Jr.,Mississippi State,SEC,12.0,74.0,932.0,12.6,6.0,77.7,4.0,11.0,2.8,0.0,0.9,78.0,943.0,12.1,6.0,
41.0,LaJohntay Wester*,Colorado,Big 12,13.0,74.0,931.0,12.6,10.0,71.6,1.0,0.0,0.0,0.0,0.0,75.0,931.0,12.4,10.0,
42.0,Kisean Johnson*,Western Kentucky,CUSA,14.0,75.0,925.0,12.3,7.0,66.1,3.0,14.0,4.7,0.0,1.0,78.0,939.0,12.0,7.0,
43.0,Jordan Watkins*,Ole Miss,SEC,12.0,49.0,906.0,18.5,9.0,75.5,3.0,20.0,6.7,0.0,1.7,52.0,926.0,17.8,9.0,
44.0,Antonio Williams,Clemson,ACC,14.0,75.0,904.0,12.1,11.0,64.6,7.0,101.0,14.4,1.0,7.2,82.0,1005.0,12.3,12.0,
45.0,Cam Camper,Boise State,MWC,14.0,58.0,903.0,15.6,4.0,64.5,0.0,0.0,,0.0,0.0,58.0,903.0,15.6,4.0,
46.0,Trent Walker,Oregon State,Ind,12.0,81.0,901.0,11.1,2.0,75.1,4.0,8.0,2.0,0.0,0.7,85.0,909.0,10.7,2.0,
47.0,Tez Johnson,Oregon,Big Ten,12.0,83.0,898.0,10.8,10.0,74.8,1.0,-1.0,-1.0,0.0,-0.1,84.0,897.0,10.7,10.0,
48.0,Giles Jackson*,Washington,Big Ten,13.0,85.0,893.0,10.5,7.0,68.7,4.0,16.0,4.0,1.0,1.2,89.0,909.0,10.2,8.0,
49.0,Aaron Anderson*,LSU,SEC,13.0,61.0,884.0,14.5,5.0,68.0,0.0,0.0,,0.0,0.0,61.0,884.0,14.5,5.0,
50.0,Theo Wease*,Missouri,SEC,13.0,60.0,884.0,14.7,4.0,68.0,0.0,0.0,,0.0,0.0,60.0,884.0,14.7,4.0,
51.0,De'Zhaun Stribling,Oklahoma State,Big 12,12.0,52.0,882.0,17.0,6.0,73.5,0.0,0.0,,0.0,0.0,52.0,882.0,17.0,6.0,
52.0,Caleb Douglas*,Texas Tech,Big 12,13.0,60.0,877.0,14.6,6.0,67.5,0.0,0.0,,0.0,0.0,60.0,877.0,14.6,6.0,
53.0,Cayden Lee*,Ole Miss,SEC,13.0,57.0,874.0,15.3,2.0,67.2,2.0,18.0,9.0,0.0,1.4,59.0,892.0,15.1,2.0,
54.0,Holden Willis,Middle Tennessee State,CUSA,11.0,53.0,871.0,16.4,6.0,79.2,0.0,0.0,,0.0,0.0,53.0,871.0,16.4,6.0,
55.0,Omari Kelly,Middle Tennessee State,CUSA,11.0,53.0,869.0,16.4,4.0,79.0,3.0,0.0,0.0,0.0,0.0,56.0,869.0,15.5,4.0,
56.0,Kyren Lacy*,LSU,SEC,12.0,58.0,866.0,14.9,9.0,72.2,0.0,0.0,,0.0,0.0,58.0,866.0,14.9,9.0,
57.0,Ryan Williams*,Alabama,SEC,13.0,48.0,865.0,18.0,8.0,66.5,4.0,48.0,12.0,2.0,3.7,52.0,913.0,17.6,10.0,
58.0,Daniel Jackson*,Minnesota,Big Ten,12.0,75.0,863.0,11.5,4.0,71.9,3.0,13.0,4.3,0.0,1.1,78.0,876.0,11.2,4.0,
59.0,Jordan Moore*,Duke,ACC,13.0,55.0,861.0,15.7,8.0,66.2,0.0,0.0,,0.0,0.0,55.0,861.0,15.7,8.0,
60.0,Skyler Bell*,Connecticut,Ind,13.0,50.0,860.0,17.2,5.0,66.2,0.0,4.0,,0.0,0.3,50.0,864.0,17.3,5.0,
61.0,Chase Roberts*,BYU,Big 12,13.0,52.0,854.0,16.4,4.0,65.7,5.0,21.0,4.2,0.0,1.6,57.0,875.0,15.4,4.0,
62.0,Jaden Smith,Nevada,MWC,13.0,62.0,849.0,13.7,7.0,65.3,0.0,0.0,,0.0,0.0,62.0,849.0,13.7,7.0,
63.0,Kaedin Robinson,Appalachian State,Sun Belt,9.0,53.0,840.0,15.8,2.0,93.3,1.0,13.0,13.0,0.0,1.4,54.0,853.0,15.8,2.0,
64.0,Luke Wysong,New Mexico,MWC,11.0,69.0,840.0,12.2,1.0,76.4,9.0,55.0,6.1,0.0,5.0,78.0,895.0,11.5,1.0,
65.0,Jakobie Keeney-James,Massachusetts,Ind,12.0,50.0,839.0,16.8,6.0,69.9,0.0,0.0,,0.0,0.0,50.0,839.0,16.8,6.0,
66.0,Tanner Koziol,Ball State,MAC,12.0,94.0,839.0,8.9,8.0,69.9,1.0,6.0,6.0,0.0,0.5,95.0,845.0,8.9,8.0,
67.0,Denzel Boston*,Washington,Big Ten,13.0,63.0,834.0,13.2,9.0,64.2,0.0,0.0,,0.0,0.0,63.0,834.0,13.2,9.0,
68.0,Jalen Royals,Utah State,MWC,7.0,55.0,834.0,15.2,6.0,119.1,1.0,3.0,3.0,0.0,0.4,56.0,837.0,14.9,6.0,
69.0,Adrian Norton,Akron,MAC,12.0,43.0,831.0,19.3,7.0,69.3,0.0,0.0,,0.0,0.0,43.0,831.0,19.3,7.0,
70.0,Elic Ayomanor,Stanford,ACC,12.0,63.0,831.0,13.2,6.0,69.3,0.0,0.0,,0.0,0.0,63.0,831.0,13.2,6.0,
71.0,Lance Legendre*,Louisiana,Sun Belt,14.0,49.0,826.0,16.9,6.0,59.0,1.0,10.0,10.0,0.0,0.7,50.0,836.0,16.7,6.0,
72.0,Jayce Brown*,Kansas State,Big 12,13.0,47.0,823.0,17.5,5.0,63.3,3.0,42.0,14.0,0.0,3.2,50.0,865.0,17.3,5.0,
73.0,DT Sheffield*,North Texas,American,12.0,66.0,822.0,12.5,11.0,68.5,4.0,86.0,21.5,1.0,7.2,70.0,908.0,13.0,12.0,
74.0,Kamdyn Benjamin,Tulsa,American,12.0,70.0,822.0,11.7,6.0,68.5,5.0,20.0,4.0,0.0,1.7,75.0,842.0,11.2,6.0,
75.0,Isiah Paige,Old Dominion,Sun Belt,12.0,61.0,819.0,13.4,3.0,68.3,4.0,5.0,1.3,0.0,0.4,65.0,824.0,12.7,3.0,
76.0,Javon Tracy*,Miami (OH),MAC,13.0,57.0,818.0,14.4,7.0,62.9,0.0,0.0,,0.0,0.0,57.0,818.0,14.4,7.0,
77.0,Arian Smith,Georgia,SEC,14.0,48.0,817.0,17.0,4.0,58.4,5.0,54.0,10.8,0.0,3.9,53.0,871.0,16.4,4.0,
78.0,Reginald Virgil*,Miami (OH),MAC,13.0,41.0,816.0,19.9,9.0,62.8,0.0,0.0,,0.0,0.0,41.0,816.0,19.9,9.0,
79.0,Konata Mumpfield*,Pitt,ACC,12.0,52.0,813.0,15.6,5.0,67.8,0.0,0.0,,0.0,0.0,52.0,813.0,15.6,5.0,
80.0,Malachi Fields,Virginia,ACC,12.0,55.0,808.0,14.7,5.0,67.3,0.0,0.0,,0.0,0.0,55.0,808.0,14.7,5.0,
81.0,Jaden Williams*,Texas State,Sun Belt,13.0,57.0,807.0,14.2,7.0,62.1,1.0,9.0,9.0,0.0,0.7,58.0,816.0,14.1,7.0,
82.0,Elijhah Badger*,Florida,SEC,12.0,39.0,806.0,20.7,4.0,67.2,0.0,0.0,,0.0,0.0,39.0,806.0,20.7,4.0,
83.0,Cam Vaughn*,Jacksonville State,CUSA,14.0,48.0,803.0,16.7,5.0,57.4,0.0,0.0,,0.0,0.0,48.0,803.0,16.7,5.0,
84.0,Anthony Smith*,East Carolina,American,13.0,41.0,799.0,19.5,6.0,61.5,0.0,0.0,,0.0,0.0,41.0,799.0,19.5,6.0,
85.0,Eli Pancol*,Duke,ACC,13.0,60.0,798.0,13.3,9.0,61.4,0.0,0.0,,0.0,0.0,60.0,798.0,13.3,9.0,
86.0,O'Mega Blake,Charlotte,American,12.0,32.0,795.0,24.8,9.0,66.3,2.0,7.0,3.5,0.0,0.6,34.0,802.0,23.6,9.0,
87.0,Germie Bernard*,Alabama,SEC,13.0,50.0,794.0,15.9,2.0,61.1,4.0,37.0,9.3,1.0,2.8,54.0,831.0,15.4,3.0,
88.0,Easton Messer*,Western Kentucky,CUSA,14.0,55.0,793.0,14.4,4.0,56.6,9.0,37.0,4.1,0.0,2.6,64.0,830.0,13.0,4.0,
89.0,Dante Wright,Temple,American,9.0,61.0,792.0,13.0,6.0,88.0,5.0,17.0,3.4,0.0,1.9,66.0,809.0,12.3,6.0,
90.0,Gunnar Helm*,Texas,SEC,16.0,60.0,786.0,13.1,7.0,49.1,0.0,0.0,,0.0,0.0,60.0,786.0,13.1,7.0,
91.0,Chimere Dike*,Florida,SEC,13.0,42.0,783.0,18.6,2.0,60.2,0.0,0.0,,0.0,0.0,42.0,783.0,18.6,2.0,
92.0,Matt Sykes,Rice,American,12.0,65.0,782.0,12.0,5.0,65.2,2.0,-4.0,-2.0,0.0,-0.3,67.0,778.0,11.6,5.0,
93.0,Sean Atkins*,South Florida,American,13.0,79.0,781.0,9.9,2.0,60.1,1.0,14.0,14.0,0.0,1.1,80.0,795.0,9.9,2.0,
94.0,Kobe Hudson,UCF,Big 12,12.0,47.0,770.0,16.4,4.0,64.2,0.0,0.0,,0.0,0.0,47.0,770.0,16.4,4.0,
95.0,Brennan Presley,Oklahoma State,Big 12,12.0,90.0,767.0,8.5,7.0,63.9,7.0,56.0,8.0,1.0,4.7,97.0,823.0,8.5,8.0,
96.0,Makai Lemon*,USC,Big Ten,12.0,52.0,764.0,14.7,3.0,63.7,0.0,0.0,,0.0,0.0,52.0,764.0,14.7,3.0,
97.0,Eric McAlister*,Texas Christian,Big 12,13.0,39.0,762.0,19.5,5.0,58.6,0.0,0.0,,0.0,0.0,39.0,762.0,19.5,5.0,
98.0,Dymere Miller*,Rutgers,Big Ten,13.0,59.0,757.0,12.8,4.0,58.2,0.0,0.0,,0.0,0.0,59.0,757.0,12.8,4.0,
