Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 19_level_0
Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
356.0,Taylor Oldham*,UCF,American,13.0,35.0,366.0,10.5,1.0,28.2,0.0,0.0,,0.0,0.0,35.0,366.0,10.5,1.0,
357.0,Kenneth Walker III,UCLA,Pac-12,11.0,22.0,365.0,16.6,4.0,33.2,1.0,8.0,8.0,0.0,0.7,23.0,373.0,16.2,4.0,
358.0,Tyler Watts,Texas State,Sun Belt,12.0,43.0,364.0,8.5,1.0,30.3,3.0,0.0,0.0,0.0,0.0,46.0,364.0,7.9,1.0,
359.0,Ian Sadler,Texas Tech,Big 12,12.0,24.0,363.0,15.1,0.0,30.3,0.0,0.0,,0.0,0.0,24.0,363.0,15.1,0.0,
360.0,Keith Rucker,Georgia State,Sun Belt,10.0,32.0,362.0,11.3,2.0,36.2,0.0,0.0,,0.0,0.0,32.0,362.0,11.3,2.0,
361.0,Isaac Nauta*,Georgia,SEC,13.0,29.0,361.0,12.4,3.0,27.8,0.0,0.0,,0.0,0.0,29.0,361.0,12.4,3.0,
362.0,Jacorey Warrick,Texas,Big 12,11.0,30.0,360.0,12.0,3.0,32.7,0.0,0.0,,0.0,0.0,30.0,360.0,12.0,3.0,
363.0,John Niupalau*,Eastern Michigan,MAC,13.0,28.0,359.0,12.8,4.0,27.6,0.0,0.0,,0.0,0.0,28.0,359.0,12.8,4.0,
364.0,Jake Oliver,Texas,Big 12,12.0,33.0,358.0,10.8,0.0,29.8,0.0,0.0,,0.0,0.0,33.0,358.0,10.8,0.0,
365.0,Kyle Sweet*,Washington State,Pac-12,13.0,27.0,357.0,13.2,3.0,27.5,1.0,5.0,5.0,0.0,0.4,28.0,362.0,12.9,3.0,
366.0,Cameron Posey,Purdue,Big Ten,12.0,39.0,356.0,9.1,3.0,29.7,3.0,10.0,3.3,0.0,0.8,42.0,366.0,8.7,3.0,
367.0,Ryan Smith*,Miami (OH),MAC,13.0,31.0,356.0,11.5,5.0,27.4,0.0,0.0,,0.0,0.0,31.0,356.0,11.5,5.0,
368.0,Tommy Sweeney*,Boston College,ACC,13.0,26.0,353.0,13.6,3.0,27.2,0.0,0.0,,0.0,0.0,26.0,353.0,13.6,3.0,
369.0,Dontre Wilson*,Ohio State,Big Ten,12.0,27.0,352.0,13.0,5.0,29.3,16.0,78.0,4.9,1.0,6.5,43.0,430.0,10.0,6.0,
370.0,Todd Boyd,Georgia State,Sun Belt,9.0,33.0,352.0,10.7,1.0,39.1,2.0,7.0,3.5,0.0,0.8,35.0,359.0,10.3,1.0,
371.0,Robert Ruiz*,Colorado State,MWC,13.0,23.0,350.0,15.2,3.0,26.9,1.0,15.0,15.0,0.0,1.2,24.0,365.0,15.2,3.0,
372.0,Rashad Still*,Minnesota,Big Ten,10.0,18.0,349.0,19.4,0.0,34.9,1.0,8.0,8.0,0.0,0.8,19.0,357.0,18.8,0.0,
373.0,Jordan Akins*,UCF,American,13.0,23.0,347.0,15.1,2.0,26.7,0.0,0.0,,0.0,0.0,23.0,347.0,15.1,2.0,
374.0,Saeed Blacknall*,Penn State,Big Ten,9.0,15.0,347.0,23.1,3.0,38.6,0.0,0.0,,0.0,0.0,15.0,347.0,23.1,3.0,
375.0,Cole Herdman,Purdue,Big Ten,12.0,35.0,344.0,9.8,3.0,28.7,0.0,0.0,,0.0,0.0,35.0,344.0,9.8,3.0,
376.0,Marcus Green,Louisiana-Monroe,Sun Belt,12.0,36.0,344.0,9.6,4.0,28.7,14.0,119.0,8.5,0.0,9.9,50.0,463.0,9.3,4.0,
377.0,DeAndre Goolsby*,Florida,SEC,13.0,38.0,342.0,9.0,3.0,26.3,0.0,0.0,,0.0,0.0,38.0,342.0,9.0,3.0,
378.0,James Williams*,Washington State,Pac-12,13.0,48.0,342.0,7.1,1.0,26.3,102.0,584.0,5.7,6.0,44.9,150.0,926.0,6.2,7.0,
379.0,Corey Lacanaria,Ball State,MAC,11.0,33.0,341.0,10.3,2.0,31.0,0.0,0.0,,0.0,0.0,33.0,341.0,10.3,2.0,
