Player,Bias,PDOM+,RDOM+,Draft Capital,Breakout Age,ELU,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Davis Webb,-79.9644,-6.9671,-1.2274,-4.0543,15.8504,-2.1323,-3.1546,1.4693,-3.1546,5.6304,-81.6498,-111.0000,29.3502
Drake Maye,-79.9644,4.4291,4.7045,51.7967,-1.6696,3.9392,-2.2814,63.1999,-2.2814,12.5161,-19.0460,-10.0000,-9.0460
Joe Milton,-79.9644,2.1973,-5.9935,-39.9302,-2.4359,-0.2487,1.6852,-46.4110,1.6852,0.8965,-124.6903,-73.0000,-51.6903
Justin Fields,-79.9644,-4.4267,12.1523,50.8687,2.9807,-4.4001,-2.9767,57.1749,-2.9767,11.7770,-25.7662,-7.0000,-18.7662
Paxton Lynch,-79.9644,5.0523,-3.0324,54.8055,0.4657,0.4147,1.9567,57.7058,1.9567,12.3780,-20.3018,-31.0000,10.6982
Jameis Winston,-79.9644,3.3286,-3.2016,54.5313,0.6658,5.5871,3.9777,60.9112,3.9777,12.9528,-15.0755,-13.0000,-2.0755
Dillon Gabriel,-79.9644,3.4694,10.7399,-1.3124,15.6376,1.7133,2.4039,30.2478,2.4039,9.4071,-47.3128,-60.0000,12.6872
Daniel Jones,-79.9644,-3.3837,10.6289,52.1226,1.7843,7.0077,-0.9367,68.1598,-0.9367,13.2095,-12.7413,-44.0000,31.2587
Josh Rosen,-79.9644,-0.5347,-3.7230,46.7000,11.4897,-3.0754,1.3385,50.8566,1.3385,11.5566,-27.7692,-38.0000,10.2308
Trevor Siemian,-79.9644,2.8598,-6.0670,-39.5893,-7.3079,-3.3551,0.5833,-53.4595,0.5833,0.0000,-132.8408,-198.0000,65.1592
Jaxson Dart,-79.9644,3.1629,1.8106,54.1501,0.3605,0.2786,1.8902,59.7627,1.8902,12.5969,-18.3115,-6.0000,-12.3115
Bo Nix,-79.9644,3.9929,10.1801,50.7719,-0.5912,-5.8525,-1.8901,58.5012,-1.8901,12.0423,-23.3535,-29.0000,5.6465
Michael Pratt,-79.9644,-3.6672,16.4670,-37.3659,-4.8256,-0.2162,-2.2096,-29.6079,-2.2096,2.3162,-111.7819,-95.0000,-16.7819
James Morgan,-79.9644,5.3318,-5.6939,-11.8815,-5.8817,-0.5128,3.1055,-18.6381,3.1055,4.1074,-95.4971,-167.0000,71.5029
Lamar Jackson,-79.9644,3.3072,12.3437,46.5888,10.4481,10.4216,0.3925,83.1094,0.3925,15.0000,3.5374,-12.0000,15.5374
Drew Lock,-79.9644,-27.0200,-3.5592,37.3261,-0.3448,4.1522,-2.9844,10.5543,-2.9844,6.6484,-72.3946,-50.0000,-22.3946
Kellen Mond,-79.9644,4.5003,9.3891,1.2083,4.3019,0.2304,0.2851,19.6300,0.2851,8.0062,-60.0494,-92.0000,31.9506
Bryce Petty,-79.9644,-3.4837,-5.0859,-10.6650,-9.6478,-5.1557,2.6391,-34.0381,2.6391,2.3622,-111.3635,-81.0000,-30.3635
Shedeur Sanders,-79.9644,-4.2678,-6.1464,-33.2452,-5.4899,-0.0767,-3.2390,-49.2260,-3.2390,0.0453,-132.4294,-88.0000,-44.4294
Mike White,-79.9644,4.7351,-6.0722,-34.4927,-0.9772,-0.4493,2.5522,-37.2563,2.5522,1.9987,-114.6687,-108.0000,-6.6687
Sam Ehlinger,-79.9644,4.0852,14.7332,-35.3881,20.5784,-11.1486,4.0011,-7.1399,4.0011,5.4706,-83.1032,-66.0000,-17.1032
Will Levis,-79.9644,3.6065,0.0144,34.8546,-6.5579,0.3761,2.4157,32.2937,2.4157,9.6334,-45.2551,-52.0000,6.7449
Davis Mills,-79.9644,3.7780,-4.4640,0.6083,-5.8773,-6.5856,-2.1553,-12.5406,-2.1553,4.1994,-94.6602,-69.0000,-25.6602
Ian Book,-79.9644,-9.2239,16.3754,-9.0511,-2.5423,4.7822,2.9805,0.3403,2.9805,6.1810,-76.6436,-64.0000,-12.6436
