feature,shap_mean_abs,kind
Y/RR,19.488653625944217,base
DOM+,10.275532024515194,base
SpeedxBMI,3.9441880496200663,interaction
Y/REC,3.5609103357508265,base
YAC/R,3.07121871171442,base
MTF,2.855603305353567,base
Drop%,2.293402546619692,base
aDOT,2.2833346455006893,base
CC%,1.5260624206994107,base
Draft Capital,0.1,base
Breakout Age,0.1,base
