feature,tree_feature_importance,kind
DOM+,0.11545026634821959,base
Draft Capital,0.1,base
Y/RR,0.09165171680005144,base
Breakout Age,0.06390546110342232,base
SpeedxBMI,0.02738546055708198,interaction
REC%,0.017679499242225602,base
Drop%,0.017201171524541446,base
MTF,0.01604374575068819,base
Y/REC,0.014557963325880895,base
aDOT,0.012770494054874697,base
