Player,Bias,DOM+,Draft Capital,aDOT,YAC/R,REC%,Drop%,Breakout Age,MTF,Slot%,Y/RR,Y/REC,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Score_15,Model_Output_raw_WR,Train_Target_raw,Error_Target
Bryan Edwards,-208.9843,10.0717,41.8402,5.8773,4.1184,-0.7762,-7.8350,4.4720,1.6621,-0.6995,4.0884,-3.2124,-0.8842,-1.0674,59.6070,-1.9516,10.7260,-151.3290,-86.0000,-65.3290
Jaelen Strong,-208.9843,18.6536,51.3066,-2.9569,-1.4525,-2.8584,3.4895,5.3445,-0.5765,0.8166,12.9998,-0.8403,-0.2588,-3.1565,83.9260,-3.4153,11.3942,-128.4736,-78.0000,-50.4736
Javon Baker,-208.9843,21.8929,-21.7721,3.1477,5.8534,-3.9129,2.9542,2.7691,-0.5451,0.8682,31.8261,4.5254,2.0491,2.1764,47.6069,4.2255,10.5558,-157.1520,-211.0000,53.8480
Devaughn Vele,-208.9843,-6.5183,-165.3182,-5.9691,-36.7264,-7.8084,-1.7798,-53.6156,-6.0316,-0.3091,-38.1161,-3.2707,11.5679,4.6530,-325.4633,16.2209,0.0000,-518.2267,-572.0000,53.7733
Corey Davis,-208.9843,13.7043,133.0434,-3.7113,6.6907,-0.7778,2.2019,20.0961,2.5006,0.6042,20.4138,-0.8054,3.4907,0.7371,193.9605,4.2278,14.8344,-10.7958,-47.0000,36.2042
Kaelin Clay,-208.9843,-9.7317,-127.7176,19.3349,8.4789,-10.4576,0.8933,-57.3569,2.7883,-12.8153,-79.0893,-0.4550,-11.3152,0.7111,-266.1280,-10.6041,0.9504,-485.7163,-560.0000,74.2837
Evan Spencer,-208.9843,-77.1978,-106.7329,-4.5560,4.1901,-3.5949,-0.7601,2.0903,1.9908,-0.1730,1.8018,-2.1608,-1.1774,0.5135,-185.1025,-0.6639,3.6097,-394.7507,-571.0000,176.2493
JJ Arcega-Whiteside,-208.9843,13.1617,98.3674,-2.6982,2.7320,-2.2821,-0.3514,4.1490,0.9377,0.4411,-3.2718,-0.9743,-0.7581,1.1158,110.2111,0.3577,12.2729,-98.4154,-208.0000,109.5846
Anthony Schwartz,-208.9843,11.7392,50.3537,13.6231,6.3433,-5.0973,7.4682,4.0722,4.7303,1.3754,1.9496,-3.6640,5.9289,3.2547,92.8937,9.1836,12.0247,-106.9071,-98.0000,-8.9071
Puka Nacua,-208.9843,-98.4214,-66.4917,21.7519,6.0391,13.6852,5.9754,2.7759,-2.5959,10.6629,8.2534,-0.4336,5.9920,2.9661,-98.7988,8.9581,6.4141,-298.8251,-122.0000,-176.8251
Racey McMath,-208.9843,-29.2769,-132.9715,-0.7024,-33.9779,-13.5515,1.6001,2.5799,-2.3985,4.3872,-89.8497,-3.1991,1.5124,2.7620,-297.3603,4.2744,0.4723,-502.0700,-356.0000,-146.0700
Luke McCaffrey,-208.9843,18.8955,42.5328,3.7787,3.9649,-5.7195,-7.9326,3.3435,0.8643,-0.5089,-16.0598,-1.6396,6.2404,-0.7699,41.5193,5.4705,10.4142,-161.9943,-187.0000,25.0057
