Player,Bias,PDOM+,RDOM+,Draft Capital,Breakout Age,ELU,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Davis Webb,-80.3617,-5.1378,-3.2708,-8.5080,15.5412,-2.0603,-0.6793,-3.4357,-0.6793,5.3269,-84.4767,-111.0000,26.5233
Drake Maye,-80.3617,3.4752,8.7440,51.2539,-2.1096,5.1996,0.0119,66.5631,0.0119,12.8717,-13.7867,-10.0000,-3.7867
Joe Milton,-80.3617,0.6683,-5.7193,-38.2991,-2.1309,1.3111,0.9329,-44.1699,0.9329,1.1514,-123.5986,-73.0000,-50.5986
Justin Fields,-80.3617,-3.5888,10.5719,49.8597,0.8877,-4.7896,0.0727,52.9409,0.0727,11.4243,-27.3481,-7.0000,-20.3481
Paxton Lynch,-80.3617,3.9581,-3.3034,54.1227,-0.3981,0.3195,1.5985,54.6988,1.5985,11.7748,-24.0644,-31.0000,6.9356
Jameis Winston,-80.3617,4.1590,-3.4377,56.0628,-0.5949,5.3157,5.7082,61.5049,5.7082,12.9398,-13.1486,-13.0000,-0.1486
Dillon Gabriel,-80.3617,3.6069,12.3883,-4.3820,16.6290,0.8407,2.6208,29.0829,2.6208,9.1499,-48.6580,-60.0000,11.3420
Daniel Jones,-80.3617,-4.1366,8.8388,53.4232,1.9661,5.8752,-2.2656,65.9667,-2.2656,12.5650,-16.6605,-44.0000,27.3395
Josh Rosen,-80.3617,-1.0369,-5.0135,47.0579,12.2629,-3.1959,2.2479,50.0745,2.2479,11.3505,-28.0393,-38.0000,9.9607
Trevor Siemian,-80.3617,2.0334,-5.7491,-36.5972,-7.4251,-1.9904,1.5921,-49.7284,1.5921,0.6284,-128.4980,-198.0000,69.5020
Jaxson Dart,-80.3617,3.6169,0.7626,53.5670,-0.4766,0.1499,1.7762,57.6198,1.7762,12.1055,-20.9658,-6.0000,-14.9658
Bo Nix,-80.3617,3.4684,8.7463,49.2847,-1.6503,-9.8713,-0.3594,49.9778,-0.3594,11.0619,-30.7433,-29.0000,-1.7433
Michael Pratt,-80.3617,-5.2879,15.6179,-34.8547,-7.9390,0.9105,0.0822,-31.5532,0.0822,2.4072,-111.8327,-95.0000,-16.8327
James Morgan,-80.3617,5.0704,-5.4937,-9.0391,-7.9029,0.3482,1.7302,-17.0171,1.7302,4.1345,-95.6487,-167.0000,71.3513
Lamar Jackson,-80.3617,2.7787,14.1009,48.1995,12.8401,7.8901,0.7066,85.8093,0.7066,15.0000,6.1541,-12.0000,18.1541
Drew Lock,-80.3617,-20.2770,-3.8815,35.0765,-0.2107,5.6849,0.0235,16.3922,0.0235,7.5181,-63.9460,-50.0000,-13.9460
Kellen Mond,-80.3617,3.7402,9.9457,0.0240,3.5505,0.9838,1.1752,18.2442,1.1752,7.8387,-60.9424,-92.0000,31.0576
Bryce Petty,-80.3617,-2.6969,-5.0310,-8.6598,-10.3059,-3.0203,5.3352,-29.7139,5.3352,3.1641,-104.7403,-81.0000,-23.7403
Shedeur Sanders,-80.3617,-4.5321,-6.5960,-34.4313,-6.6296,-1.4860,-0.3495,-53.6750,-0.3495,0.0000,-134.3862,-88.0000,-46.3862
Mike White,-80.3617,4.1547,-6.4943,-34.6284,-1.7787,1.0280,1.7741,-37.7187,1.7741,1.9297,-116.3062,-108.0000,-8.3062
Sam Ehlinger,-80.3617,4.4942,15.9778,-37.0391,24.2800,-10.8614,6.8164,-3.1485,6.8164,6.1576,-76.6938,-66.0000,-10.6938
Will Levis,-80.3617,3.8621,-1.5704,29.5140,-9.7809,0.2317,1.9304,22.2565,1.9304,8.3476,-56.1747,-52.0000,-4.1747
Davis Mills,-80.3617,3.6712,-5.4589,-1.1639,-3.1654,-9.4499,-0.7113,-15.5669,-0.7113,4.0287,-96.6399,-69.0000,-27.6399
Ian Book,-80.3617,-6.5782,16.6134,-6.4537,-4.2675,3.1682,2.3578,2.4822,2.3578,6.2827,-75.5218,-64.0000,-11.5218
