feature,shap_mean_abs,kind
BTT%,9.275407648729596,base
Comp%,5.608573215003282,base
YCO/A,3.851687066949186,base
BMI,2.3288232327753904,base
RDOM+,1.8153085061457739,base
ADJ%,1.5370054694374558,base
MTF,1.4746619881511978,base
TWP%,1.4393903470957496,base
PDOM+,1.092465932767996,base
aDOT,0.8140792723087721,base
SpeedxBMI,0.8046761732336893,interaction
ATT,0.531167204476222,base
Y/RR,0.10776014037805152,base
Draft Capital,0.1,base
Breakout Age,0.1,base
