feature,tree_feature_importance,kind
Draft Capital,0.1,base
Comp%,0.08762465512371999,base
RDOM+,0.054652574523123075,base
YCO/A,0.051171418349864724,base
BTT%,0.0478611920071974,base
MTF,0.029722281209266198,base
Breakout Age,0.02862743193837633,base
TWP%,0.02797894333800052,base
BMI,0.022373084193808155,base
Speed,0.012933218190832195,base
aDOT,0.010352662309170247,base
PDOM+,0.007888470485109017,base
