Player,Bias,PDOM+,RDOM+,Draft Capital,DOM+,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_QB_Score_15,Model_Output_raw_QB,Train_Target_raw,Error_Target
Trey Lance,-75.0397,7.6049,-6.8711,49.3244,-0.5143,-2.9717,0.9308,46.5722,0.9308,14.8034,-27.5367,-41.0000,13.4633
Kellen Mond,-75.0397,-0.1300,11.3181,2.2174,0.6834,1.3683,-4.1079,15.4572,-4.1079,9.8188,-63.6902,-92.0000,28.3098
Nate Sudfeld,-75.0397,-0.3904,-3.8420,-38.5940,0.8462,-5.6851,-2.1215,-47.6653,-2.1215,1.3897,-124.8265,-130.0000,5.1735
Kyle Trask,-75.0397,0.8902,-12.6545,29.5436,0.5698,-0.0460,6.2180,18.3031,6.2180,11.6348,-50.5186,-49.0000,-1.5186
Jacoby Brissett,-75.0397,-5.3155,8.3936,3.6778,0.7003,-2.1112,6.0011,5.3450,6.0011,9.8183,-63.6935,-162.0000,98.3065
Carson Wentz,-75.0397,7.9490,-10.3193,56.3605,-19.1934,-39.2069,-1.2384,-4.4101,-1.2384,7.4752,-80.6881,-39.0000,-41.6881
Brandon Allen,-75.0397,9.6389,-6.7546,-35.3513,0.7733,-5.3965,6.2481,-37.0902,6.2481,4.0017,-105.8818,-131.0000,25.1182
Brandon Doughty,-75.0397,-1.6110,-8.6327,-40.4687,-0.3553,-15.6214,6.8230,-66.6891,6.8230,0.0000,-134.9058,-171.0000,36.0942
Dak Prescott,-75.0397,0.1596,7.8550,-11.2175,0.4018,-4.7100,7.0748,-7.5111,7.0748,8.1938,-75.4760,-53.0000,-22.4760
Davis Webb,-75.0397,3.3493,5.3480,-2.1439,0.6145,11.3558,-1.6810,18.5237,-1.6810,10.5762,-58.1970,-111.0000,52.8030
Spencer Rattler,-75.0397,1.2413,10.4256,-31.9617,0.7671,-5.9345,7.3665,-25.4622,7.3665,5.7591,-93.1353,-106.0000,12.8647
Drake Maye,-75.0397,0.2887,6.4720,49.4986,0.4694,-4.6955,-3.1046,52.0332,-3.1046,15.0000,-26.1110,-10.0000,-16.1110
Jared Goff,-75.0397,0.9779,-8.5256,44.3156,0.4031,10.0839,-2.3087,47.2549,-2.3087,14.4509,-30.0935,-27.0000,-3.0935
Tyler Shough,-75.0397,-0.1076,12.4970,27.9488,0.7530,0.0989,1.9931,41.1901,1.9931,14.2079,-31.8565,-70.0000,38.1435
Tanner Lee,-75.0397,-5.8739,-6.4617,-37.0832,0.8482,1.5403,-1.6706,-47.0303,-1.6706,1.5394,-123.7406,-182.0000,58.2594
Tanner McKee,-75.0397,-0.3003,-3.8917,-39.8697,0.9654,-6.8457,-1.1976,-49.9420,-1.1976,1.2032,-126.1794,-146.0000,19.8206
Davis Mills,-75.0397,0.7147,-3.8601,2.3796,0.6620,0.1224,-2.2981,0.0186,-2.2981,7.9397,-77.3192,-69.0000,-8.3192
Luke Falk,-75.0397,-4.1273,-8.3012,-38.5983,0.8542,-1.2111,-2.0259,-51.3837,-2.0259,0.8902,-128.4493,-147.0000,18.5507
Chad Kelly,-75.0397,-4.2173,10.7969,-43.9019,0.9716,-4.2408,-5.0855,-40.5915,-5.0855,1.9563,-120.7166,-85.0000,-35.7166
Jalen Hurts,-75.0397,-0.5261,7.8329,20.7323,0.5103,11.2387,1.2945,39.7881,1.2945,13.9182,-33.9570,-19.0000,-14.9570
Paxton Lynch,-75.0397,0.5044,-3.2836,50.2393,0.4927,0.8955,-0.0931,48.8483,-0.0931,14.9761,-26.2846,-31.0000,4.7154
Justin Herbert,-75.0397,0.4687,-6.3296,43.8947,0.4451,9.4307,-1.9144,47.9096,-1.9144,14.5956,-29.0444,-15.0000,-14.0444
Stetson Bennett,-75.0397,-0.2713,7.2945,-14.6754,0.9101,-17.1805,-2.5501,-23.9226,-2.5501,4.6041,-101.5125,-102.0000,0.4875
Hendon Hooker,-75.0397,-2.2888,13.5065,5.2114,0.7856,-1.6996,-3.2485,15.5151,-3.2485,9.9452,-62.7731,-72.0000,9.2269
