feature,tree_feature_importance,kind
Draft Capital,0.1,base
RDOM+,0.09073887603153398,base
YCO/A,0.08077668909279213,base
DOM+,0.05349090758150017,base
ELU,0.047253606649046015,base
Breakout Age,0.04423268642382409,base
SpeedxBMI,0.03688842864414111,interaction
FUM,0.03513848069337248,base
Y/RR,0.02968252546366035,base
10+,0.021193440702168147,base
