feature,shap_mean_abs,kind
YCO/A,12.694264910693285,base
MTF,12.392736184722914,base
RDOM+,8.369565386213463,base
FUM,5.013574267074452,base
Y/RR,4.775678636703011,base
DOM+,4.755236012093255,base
ELU,4.665858844248513,base
SpeedxBMI,4.428010262368943,interaction
Break%,2.147519000597083,base
10+,2.005958290743991,base
Draft Capital,0.1,base
Breakout Age,0.1,base
