seed,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
123,27,HGB,0.8662477562679717,0.9100694200396908,0.655211642131291,0.7900665398776499,10,YPC|ELU|40 Time|Draft Age|Draft Capital|Break%|BMI|DOM++,YPCxELU|DOMxDraft,11.574261604239554
123,38,GB,0.8662500400120281,0.8924855594957726,0.6783654719681607,0.8638600137494613,9,YPC|40 Time|DOM++|Draft Age|ELU|BMI|Draft Capital,YPCxELU|DOMxDraft,11.950235494302202
123,42,GB,0.8839837341933278,0.8922662513905208,0.684487957655113,0.8647406163433005,10,BMI|Bama|YCO/A|Draft Capital|ELU|40 Time|Draft Age|DOM++,DOMxDraft|ELUxYCOA,12.254012528613012
123,58,GB,0.8939280052713212,0.885336512950748,0.7364883480670835,0.8921184985764125,8,40 Time|ELU|YCO/A|Bama|YPC|DOM++|Draft Age|Draft Capital,,11.99286961928313
123,5,GB,0.8830066866734052,0.8769010207695084,0.7183070287042931,0.9243516017388075,8,40 Time|YCO/A|Bama|Draft Capital|ELU|BMI|Draft Age|DOM++,,12.217773990508482
123,48,GB,0.874889777343955,0.8673738935988793,0.7478964838128284,0.9594547168043148,10,Break%|Draft Capital|YCO/A|BMI|DOM++|ELU|Bama|Draft Age,ELUxYCOA|DOMxDraft,11.379828367529685
123,32,GB,0.8597566575847659,0.8668714647974156,0.7857380157402161,0.9612703548156972,6,BMI|ELU|Break%|Bama|DOM++|Draft Capital,,12.207648284049982
123,17,HGB,0.8039864753220025,0.864701990277882,0.7902028455203033,0.9690711763745814,6,BMI|Draft Capital|Bama|YCO/A|DOM++,DOMxDraft,11.82788779730993
123,56,GB,0.8233668320973827,0.8606333712657419,0.7488376822866672,0.9835339815687231,7,40 Time|DOM++|Break%|Draft Capital|Bama|YCO/A,DOMxDraft,11.933806642178258
123,50,HGB,0.7459456019098071,0.8551394905683287,0.790144313110862,1.0027322346701206,3,40 Time|YCO/A|Draft Capital,,12.029420508307977
123,30,GB,0.8691168530432638,0.8548909846603241,0.7519975069332268,1.0035919517483864,8,YPC|DOM++|ELU|YCO/A|Draft Age|Draft Capital|BMI|40 Time,,12.020762399488675
123,35,HGB,0.758113314627514,0.8470567652256228,0.8212384983919635,1.0303270644770974,5,Draft Capital|40 Time|DOM++|Break%|BMI,,11.392213723361444
123,3,HGB,0.7374084105969319,0.844531732880775,0.8351713631716347,1.0387973934119668,5,YCO/A|Draft Capital|Bama|Break%|40 Time,,11.744464002998688
123,46,GB,0.8215865383554425,0.8389327146038787,0.8698034555848946,1.0573375158937564,5,Draft Age|Draft Capital|BMI|ELU|40 Time,,11.174966702148232
123,14,GB,0.8122944552865015,0.838262678656373,0.8469597535609639,1.059534482469358,9,ELU|Bama|YPC|BMI|40 Time|Draft Capital|Draft Age|Break%,YPCxELU,10.822624449512604
