,coef
DOM++,1.3924330814910317
40 Time,0.6177814996706795
BMI,0.3870382669525026
YPC,0.3520180041371145
ELU,0.881521842044207
YCO/A,0.0
Break%,0.03663844438454598
Draft Capital,0.04256305255720287
Bama,1.0675999783100643
Rec Yards,0.0
