seed,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
789,6,GB,0.8597094331195366,0.9113279156821231,0.659473751982394,0.828463098596496,8,DOM++|YCO/A|Bama|BMI|ELU|Draft Age|YPC|Draft Capital,,12.0250346546015
789,29,GB,0.857774665838677,0.8987746825385794,0.6770340192163161,0.8851651034020943,8,YCO/A|ELU|Break%|BMI|Draft Age|Bama|Draft Capital|DOM++,,11.901800602389502
789,19,GB,0.854843134545284,0.89407027169912,0.6850984169934725,0.905500385383365,7,BMI|DOM++|ELU|Draft Capital|Bama|YCO/A|YPC,,12.468453302649815
789,53,GB,0.8731608923690641,0.8936436277506431,0.7183539271584923,0.9073220555329252,9,DOM++|YCO/A|BMI|40 Time|YPC|ELU|Draft Capital|Draft Age,YPCxELU,11.698792194576145
789,8,HGB,0.866065348949187,0.8923549345517408,0.7039286029789771,0.912802400191881,7,YCO/A|DOM++|Draft Capital|40 Time|ELU|Draft Age,ELUxYCOA,12.206477967389436
789,12,GB,0.8530530226325975,0.8916040572008959,0.7330657865416563,0.9159804908022042,6,YPC|DOM++|ELU|Draft Capital|Bama|Break%,,12.50594983857685
789,39,GB,0.8581039436260293,0.8888403588818315,0.7575210217407254,0.92758406291643,11,Break%|Draft Capital|BMI|ELU|DOM++|YPC|Bama|YCO/A,ELUxYCOA|YPCxELU|DOMxDraft,12.182356227451866
789,54,GB,0.8746367987302983,0.8873428144796184,0.7287941626168132,0.9338113728916508,10,YPC|DOM++|Draft Capital|Break%|ELU|Bama|40 Time|BMI,YPCxELU|DOMxDraft,12.638448349394972
789,17,GB,0.850939744472111,0.8865349398762352,0.7270597686163629,0.93715361353554,9,YPC|BMI|Draft Capital|ELU|DOM++|Break%|Bama|YCO/A,YPCxELU,12.557324028935252
789,15,GB,0.8638480904945295,0.8828509214776794,0.7594057362288698,0.952245981776555,10,YCO/A|Bama|Draft Capital|ELU|40 Time|YPC|DOM++|BMI,YPCxELU|ELUxYCOA,12.808936913991964
789,20,HGB,0.8348372317175572,0.8793783287132332,0.7914072231083581,0.9662563946952322,7,Draft Age|40 Time|Bama|DOM++|YCO/A|Draft Capital,DOMxDraft,11.839346463066226
789,24,GB,0.8697913274536925,0.867549424529152,0.773754050299311,1.0125270516799507,9,Bama|Draft Capital|ELU|BMI|YPC|DOM++|Break%|40 Time,DOMxDraft,12.500542837691164
789,33,HGB,0.8557209793245788,0.8633894274675421,0.8153273732323874,1.028304807087659,8,ELU|DOM++|Break%|YCO/A|40 Time|Draft Capital|BMI|Bama,,12.447532137508214
789,44,GB,0.8462642734604003,0.8563380265600565,0.8085835241863607,1.0545098099185348,8,YCO/A|ELU|DOM++|Draft Capital|BMI|YPC|Break%,ELUxYCOA,12.375505816584464
789,1,HGB,0.826487445174241,0.8561900536986303,0.8401956093056603,1.055052746475234,6,Bama|Draft Capital|Break%|DOM++|40 Time|YCO/A,,12.369890163459758
