Player,Bias,DOM+,RDOM+,Draft Capital,ELU,10+,Breakout Age,YCO/A,Y/RR,Break%,MTF,FUM,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Score_15,Model_Output_raw_RB,Train_Target_raw,Error_Target
Darius Jackson,-130.3877,2.2580,3.5171,-48.7859,-8.9877,0.6098,-12.6750,9.5723,3.0484,1.0649,-26.8301,-5.7050,0.0532,-82.9132,0.0532,1.9811,-213.2480,-299.0000,85.7520
Josh Robinson,-130.3877,3.0943,2.0669,-54.2226,6.6966,1.4466,-36.5875,1.3631,-3.4545,0.6623,9.6305,-5.5909,3.9969,-74.8952,3.9969,2.7672,-201.2859,-178.0000,-23.2859
Damien Harris,-130.3877,-4.2086,-1.5312,60.6600,-2.0373,-0.7313,-3.6995,16.4473,-2.4871,0.4226,-23.6080,-3.7617,9.3032,35.4652,9.3032,10.3686,-85.6196,-76.0000,-9.6196
Dameon Pierce,-130.3877,5.2836,-0.7703,-3.5590,-0.5556,1.6975,-3.7513,2.3768,-1.5841,-1.1697,5.6383,-5.5847,7.8523,-1.9785,7.8523,7.8125,-124.5139,-134.0000,9.4861
Snoop Conner,-130.3877,-2.6738,3.1627,-7.6249,-2.8949,-0.8204,-3.0899,4.1274,6.1641,-2.5618,-27.5986,13.7755,5.9331,-20.0346,5.9331,6.4998,-144.4891,-293.0000,148.5109
Elijah McGuire,-130.3877,4.4256,2.3108,-52.8265,-8.5051,-0.7003,-2.0042,-2.0964,-3.6420,-1.7227,1.9551,-6.3013,-6.7143,-69.1070,-6.7143,2.4436,-206.2092,-132.0000,-74.2092
Kenneth Gainwell,-130.3877,4.4123,0.1527,-10.4260,5.8647,1.6691,-3.2445,-5.2638,9.2657,-1.6702,9.1769,-4.6924,-1.2562,5.2445,-1.2562,7.6886,-126.3996,-129.0000,2.6004
Paul Perkins,-130.3877,2.3098,0.7842,-10.1077,5.8258,-3.2506,-5.1081,1.0005,3.2152,-4.4262,6.6335,-4.8616,-0.6858,-7.9852,-0.6858,6.8567,-139.0588,-101.0000,-38.0588
Blake Corum,-130.3877,9.5947,4.0802,54.4293,-2.1656,-0.6649,-4.4294,0.4046,2.5652,-3.3538,-27.5286,9.6286,9.5781,42.5603,9.5781,10.8530,-78.2493,-83.0000,4.7507
Bijan Robinson,-130.3877,4.6705,10.6081,82.9361,-6.8546,0.3385,11.6237,15.4187,-3.2878,-3.8632,3.5981,-2.8012,2.8548,112.3869,2.8548,15.0000,-15.1462,-1.0000,-14.1462
Bo Scarbrough,-130.3877,0.0546,-4.8444,-83.5268,2.7614,-0.4310,-9.2238,12.4131,6.4492,-4.3001,-25.8059,-5.9419,-0.6093,-112.3956,-0.6093,0.0000,-243.3927,-142.0000,-101.3927
Kalel Mullings,-130.3877,-10.3401,10.0629,-44.6293,7.6185,2.3248,-11.6607,2.7611,-11.1863,-5.0700,1.8238,-5.8033,1.3572,-64.0986,1.3572,3.3032,-193.1291,-123.0000,-70.1291
Jahmyr Gibbs,-130.3877,14.0761,-1.3305,81.4519,5.6494,-0.4601,3.9362,-4.7178,8.2519,-1.2752,1.4281,-3.0211,-8.6373,103.9889,-8.6373,13.6929,-35.0363,-6.0000,-29.0363
La'Mical Perine,-130.3877,4.5525,0.0575,-6.7941,-8.5324,0.9028,-3.0146,-10.5079,2.6469,-1.6962,-29.1125,-5.0846,-6.7453,-56.5826,-6.7453,3.2647,-193.7155,-186.0000,-7.7155
TreVeyon Henderson,-130.3877,5.0532,0.5476,75.0995,5.6318,0.6329,7.6425,15.8314,-2.9639,-1.6138,4.7809,-3.0242,-6.6307,107.6179,-6.6307,14.0632,-29.4004,-21.0000,-8.4004
Tony Pollard,-130.3877,4.6743,-19.0216,0.4708,-1.9690,-0.2906,-3.1673,1.1192,-3.1103,-0.8083,-28.2643,-5.5847,-2.1171,-55.9518,-2.1171,3.6103,-188.4567,-88.0000,-100.4567
Jordan Wilkins,-130.3877,2.4446,4.6333,-11.4508,-11.0708,-2.9962,-37.0491,-7.6692,-3.8372,-0.1990,-16.5250,-5.0846,-2.8457,-88.8040,-2.8457,1.4034,-222.0374,-231.0000,8.9626
