Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Toby Gerhart,Stanford,Pac-10,13.0,343.0,1871.0,5.5,28.0,143.9,11.0,157.0,14.3,0.0,12.1,354.0,2028.0,5.7,28.0,"H-2,AA"
2.0,Ryan Mathews,Fresno State,WAC,12.0,276.0,1808.0,6.6,19.0,150.7,11.0,122.0,11.1,0.0,10.2,287.0,1930.0,6.7,19.0,
3.0,Dion Lewis,Pitt,Big East,13.0,325.0,1799.0,5.5,17.0,138.4,25.0,189.0,7.6,1.0,14.5,350.0,1988.0,5.7,18.0,
4.0,Mark Ingram,Alabama,SEC,14.0,271.0,1658.0,6.1,17.0,118.4,32.0,334.0,10.4,3.0,23.9,303.0,1992.0,6.6,20.0,"H-1,AA"
5.0,Ryan Williams,Virginia Tech,ACC,13.0,293.0,1655.0,5.6,21.0,127.3,16.0,180.0,11.3,1.0,13.8,309.0,1835.0,5.9,22.0,
6.0,Donald Buckram,UTEP,CUSA,12.0,259.0,1594.0,6.2,18.0,132.8,30.0,453.0,15.1,3.0,37.8,289.0,2047.0,7.1,21.0,
7.0,LaMichael James,Oregon,Pac-10,13.0,230.0,1546.0,6.7,14.0,118.9,17.0,168.0,9.9,0.0,12.9,247.0,1714.0,6.9,14.0,
8.0,John Clay,Wisconsin,Big Ten,13.0,287.0,1517.0,5.3,18.0,116.7,9.0,61.0,6.8,0.0,4.7,296.0,1578.0,5.3,18.0,
9.0,Noel Devine,West Virginia,Big East,13.0,241.0,1465.0,6.1,13.0,112.7,22.0,177.0,8.0,1.0,13.6,263.0,1642.0,6.2,14.0,
10.0,Montel Harris,Boston College,ACC,13.0,308.0,1457.0,4.7,14.0,112.1,8.0,69.0,8.6,1.0,5.3,316.0,1526.0,4.8,15.0,
11.0,Jacquizz Rodgers,Oregon State,Pac-10,13.0,273.0,1440.0,5.3,21.0,110.8,78.0,522.0,6.7,1.0,40.2,351.0,1962.0,5.6,22.0,
12.0,Joe Webb,UAB,CUSA,12.0,227.0,1427.0,6.3,11.0,118.9,2.0,12.0,6.0,1.0,1.0,229.0,1439.0,6.3,12.0,
13.0,Jonathan Dwyer,Georgia Tech,ACC,14.0,235.0,1395.0,5.9,14.0,99.6,5.0,37.0,7.4,0.0,2.6,240.0,1432.0,6.0,14.0,
