name,position,team,player_id,value,overallRank,positionRank,trend30Day
Josh Allen,QB,BUF,6170,11047,1,1,717
Lamar Jackson,QB,BAL,3101,10532,2,2,841
Jayden Daniels,QB,WAS,11701,9037,3,3,-622
Ja'Marr Chase,WR,CIN,5856,8696,4,1,-1193
Bijan Robinson,RB,ATL,9833,8367,5,1,317
Malik Nabers,WR,NYG,11737,7939,6,2,503
Jalen Hurts,QB,PHI,6407,7851,7,4,606
Jahmyr Gibbs,RB,DET,9821,7813,8,2,278
Justin Jefferson,WR,MIN,7569,7640,9,3,-671
Puka Nacua,WR,LAR,9822,7562,10,4,1665
Amon-Ra St. Brown,WR,DET,1527,7138,11,5,779
Brock Bowers,TE,LV,11702,6952,12,1,-361
CeeDee Lamb,WR,DAL,4835,6836,13,6,-746
Justin Herbert,QB,LAC,8448,6631,14,5,2122
Jaxon Smith-Njigba,WR,SEA,9924,6295,15,7,1726
Joe Burrow,QB,CIN,1002,5791,16,6,-2210
Patrick Mahomes,QB,KC,880,5778,17,7,-62
Caleb Williams,QB,CHI,11708,5750,18,8,940
Trey McBride,TE,ARI,7325,5613,19,2,204
Drake Maye,QB,NE,11696,5518,20,9,529
Ashton Jeanty,RB,LV,12612,5404,21,3,-1175
Jonathan Taylor,RB,IND,3046,5387,22,4,1490
Saquon Barkley,RB,PHI,7257,5266,23,5,-200
Emeka Egbuka,WR,TB,12595,5078,24,8,1285
De'Von Achane,RB,MIA,9969,5018,25,6,358
Omarion Hampton,RB,LAC,12573,4990,26,7,79
Rome Odunze,WR,CHI,11763,4911,27,9,1775
Bucky Irving,RB,TB,11779,4910,28,8,471
Nico Collins,WR,HOU,5030,4880,29,10,-307
James Cook,RB,BUF,182,4861,30,9,1561
Brian Thomas,WR,JAX,11726,4804,31,11,-1534
Bo Nix,QB,DEN,11728,4753,32,10,-321
Drake London,WR,ATL,998,4687,33,12,-652
Baker Mayfield,QB,TB,2737,4684,34,11,565
Jordan Love,QB,GB,3651,4668,35,12,513
Tyler Warren,TE,IND,12592,4489,36,3,1053
Tetairoa McMillan,WR,CAR,12635,4466,37,13,285
Garrett Wilson,WR,NYJ,6813,4447,38,14,472
Christian McCaffrey,RB,SF,5494,4285,39,10,300
Brock Purdy,QB,SF,5570,4025,40,13,121
Ladd McConkey,WR,LAC,11766,3983,41,15,-705
2026 1st (Early),PICK,,15261,3949,42,1,343
Quinshon Judkins,RB,CLE,12632,3944,42,11,1316
Rashee Rice,WR,KC,9929,3910,43,16,519
A.J. Brown,WR,PHI,4118,3837,44,17,-433
Marvin Harrison Jr,WR,ARI,11734,3829,45,18,-766
C.J. Stroud,QB,HOU,9838,3770,46,14,-833
Jaxson Dart,QB,NYG,12609,3694,47,15,910
TreVeyon Henderson,RB,NE,12580,3634,48,12,-803
Kyler Murray,QB,ARI,3544,3627,49,16,-206
Josh Jacobs,RB,GB,1326,3622,50,13,-1
Kyren Williams,RB,LAR,7315,3612,51,14,-92
Cameron Ward,QB,TEN,12603,3573,52,17,-306
Jared Goff,QB,DET,8587,3548,53,18,451
Derrick Henry,RB,BAL,5421,3385,54,15,-84
Breece Hall,RB,NYJ,4576,3312,55,16,-34
Sam LaPorta,TE,DET,9843,3310,56,4,-251
J.J. McCarthy,QB,MIN,11740,3233,57,19,-645
Dak Prescott,QB,DAL,6637,3133,58,20,-104
Zay Flowers,WR,BAL,9930,3124,59,19,579
Cam Skattebo,RB,NYG,12643,3059,60,17,1365
Tucker Kraft,TE,GB,9824,3019,61,5,906
Ricky Pearsall,WR,SF,11752,2972,62,20,504
Trevor Lawrence,QB,JAX,1086,2970,63,21,-608
Daniel Jones,QB,IND,5,2936,64,22,1469
Michael Penix,QB,ATL,11739,2875,65,23,-490
Tee Higgins,WR,CIN,5531,2857,66,21,-556
Travis Hunter,WR,JAX,12617,2854,67,22,-887
Kenneth Walker,RB,SEA,1749,2839,68,18,-127
George Pickens,WR,DAL,1436,2787,69,23,95
Justin Fields,QB,NYJ,7191,2756,70,24,347
DeVonta Smith,WR,PHI,6635,2716,71,24,-138
George Kittle,TE,SF,5709,2714,72,6,-457
Chase Brown,RB,CIN,9967,2700,73,19,-1142
Xavier Worthy,WR,KC,11736,2678,74,25,-347
Chuba Hubbard,RB,CAR,183,2646,75,20,-25
Jameson Williams,WR,DET,1100,2623,76,26,-336
2026 1st (Mid),PICK,,15262,2600,77,2,226
2026 1st,PICK,,9662,2600,77,3,226
Matthew Golden,WR,GB,12672,2598,77,27,-204
Jordan Addison,WR,MIN,9847,2597,78,28,-75
Chris Olave,WR,NO,2548,2584,79,29,225
DK Metcalf,WR,PIT,5240,2553,80,30,-220
Bryce Young,QB,CAR,9944,2548,81,25,-466
Davante Adams,WR,LAR,1503,2540,82,31,368
2027 1st,PICK,,9692,2516,83,4,143
Colston Loveland,TE,CHI,12578,2495,83,7,-531
Courtland Sutton,WR,DEN,818,2415,84,32,83
Trey Benson,RB,ARI,11758,2404,85,21,746
Sam Darnold,QB,SEA,8007,2349,86,26,238
Quentin Johnston,WR,LAC,9879,2330,87,33,1418
David Montgomery,RB,DET,7515,2317,88,22,388
Javonte Williams,RB,DAL,6963,2314,89,23,937
Jaylen Waddle,WR,MIA,1409,2293,90,34,-181
Harold Fannin,TE,CLE,12659,2284,91,8,916
Travis Etienne,RB,JAX,3156,2272,92,24,596
Alvin Kamara,RB,NO,4144,2253,93,25,-200
Dalton Kincaid,TE,BUF,9819,2247,94,9,434
Jake Ferguson,TE,DAL,6785,2243,95,10,709
Terry McLaurin,WR,WAS,4864,2236,96,35,-501
RJ Harvey,RB,DEN,12601,2223,97,26,-475
Michael Pittman,WR,IND,8259,2196,98,36,546
Jordan Mason,RB,MIN,5469,2192,99,27,641
Geno Smith,QB,LV,6305,2106,100,27,188
Tyreek Hill,WR,MIA,7958,2098,101,37,-365
J.K. Dobbins,RB,DEN,5149,2086,102,28,566
DJ Moore,WR,CHI,6110,2076,103,38,-412
Tua Tagovailoa,QB,MIA,6092,2063,104,28,-347
2026 1st (Late),PICK,,15263,2048,105,5,152
Keon Coleman,WR,BUF,11716,2036,105,39,27
Luther Burden,WR,CHI,12590,1979,106,40,-37
T.J. Hockenson,TE,MIN,8215,1977,107,11,-401
Mike Evans,WR,TB,7495,1953,108,41,-462
2028 1st,PICK,,9722,1930,109,6,117
Deebo Samuel,WR,WAS,2495,1921,109,42,297
Jaylen Warren,RB,PIT,6285,1917,110,29,404
Matthew Stafford,QB,LAR,3611,1906,111,29,234
Chris Godwin,WR,TB,2505,1887,112,43,267
Brandon Aiyuk,WR,SF,6429,1885,113,44,-22
Jakobi Meyers,WR,LV,2463,1883,114,45,203
Tony Pollard,RB,TEN,407,1882,115,30,-8
Kyle Pitts,TE,ATL,280,1866,116,12,-114
Bhayshul Tuten,RB,JAX,12620,1810,117,31,314
D'Andre Swift,RB,CHI,1574,1781,118,32,-110
Josh Downs,WR,IND,9936,1764,119,46,-227
Kaleb Johnson,RB,PIT,12598,1752,120,33,-800
Jerry Jeudy,WR,CLE,2427,1751,121,47,-420
Elic Ayomanor,WR,TEN,12623,1747,122,48,428
Zach Charbonnet,RB,SEA,9921,1747,123,34,-226
Jacory Croskey-Merritt,RB,WAS,12697,1710,124,35,34
Keenan Allen,WR,LAC,1334,1694,125,49,647
Jayden Reed,WR,GB,9863,1684,126,50,-16
2026 2nd (Early),PICK,,15264,1683,127,7,104
Khalil Shakir,WR,BUF,8607,1664,127,51,32
Mark Andrews,TE,BAL,4519,1626,128,13,-241
Juwan Johnson,TE,NO,5552,1617,129,14,1278
Jauan Jennings,WR,SF,2631,1591,130,52,176
Brenton Strange,TE,JAX,9948,1584,131,15,220
Jayden Higgins,WR,HOU,12652,1580,132,53,-251
Travis Kelce,TE,KC,2204,1545,133,16,-256
Isaiah Likely,TE,BAL,7402,1525,134,17,51
Aaron Jones,RB,MIN,2382,1515,135,36,-109
David Njoku,TE,CLE,6513,1500,136,18,-478
Spencer Rattler,QB,NO,11719,1477,137,30,221
Ollie Gordon,RB,MIA,12616,1473,138,37,0
Aaron Rodgers,QB,PIT,715,1470,139,31,169
Hunter Henry,TE,NE,675,1460,140,19,536
Calvin Ridley,WR,TEN,41,1434,141,54,-453
2026 2nd (Mid),PICK,,15265,1430,142,8,70
2026 2nd,PICK,,9663,1430,142,9,70
Wan'Dale Robinson,WR,NYG,4091,1428,142,55,395
Mason Taylor,TE,NYJ,12642,1422,143,20,-201
Dallas Goedert,TE,PHI,5988,1417,144,21,145
Tory Horton,WR,SEA,12637,1405,145,56,196
Anthony Richardson,QB,IND,9951,1386,146,32,-147
Rhamondre Stevenson,RB,NE,4294,1381,147,38,208
Joe Mixon,RB,HOU,4578,1373,148,39,-136
2027 2nd,PICK,,9693,1356,149,10,61
Troy Franklin,WR,DEN,11738,1352,149,57,246
Brian Robinson,RB,WAS,4174,1350,150,40,-34
Oronde Gadsden,TE,LAC,12576,1348,151,22,807
Braelon Allen,RB,NYJ,11748,1340,152,41,-144
Isiah Pacheco,RB,KC,3777,1328,153,42,-595
Tyrone Tracy,RB,NYG,12123,1307,154,43,-403
Jalen McMillan,WR,TB,11754,1298,155,58,149
Dylan Sampson,RB,CLE,12638,1293,156,44,-284
Tyler Allgeier,RB,ATL,6408,1287,157,45,213
Darnell Mooney,WR,ATL,3901,1285,158,59,45
Tyjae Spears,RB,TEN,9817,1284,159,46,23
Romeo Doubs,WR,GB,2419,1284,160,60,268
Blake Corum,RB,LAR,11747,1282,161,47,315
Tre Tucker,WR,LV,9873,1280,162,61,902
Chig Okonkwo,TE,TEN,722,1272,163,23,202
Evan Engram,TE,DEN,3648,1264,164,24,-583
Tre' Harris,WR,LAC,12593,1263,165,62,-257
Jalen Coker,WR,CAR,11783,1263,166,63,-17
Stefon Diggs,WR,NE,3214,1256,167,64,-295
Rashid Shaheed,WR,NO,2354,1255,168,65,-112
Elijah Arroyo,TE,SEA,12650,1254,169,25,-115
Cedric Tillman,WR,CLE,9904,1245,170,66,83
Nick Chubb,RB,HOU,4188,1242,171,48,45
2028 2nd,PICK,,9723,1239,172,11,113
Rachaad White,RB,TB,2187,1235,172,49,19
2026 2nd (Late),PICK,,15266,1234,173,12,65
Zach Ertz,TE,WAS,324,1233,173,26,174
Ja'Tavion Sanders,TE,CAR,11714,1217,174,27,98
Woody Marks,RB,HOU,12599,1216,175,50,252
Jake Browning,QB,CIN,438,1204,176,33,1046
