player_name,pos,rank,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Austin Hooper,TE,65.0,1994-10-29,Stanford,Pac-12,2016,3,,,0.174,0.165,0.0,0.0,0.0,0.0,,,,10.7,,1.0,,,,,,63.0,,,,0.0,0.0,,,12.8,,5.0,,,,,,0.0,,,3.0,,,,,34.0,90.2,276.0,,,,,,58.2,178.0,54.0,,,,5.9,18.0,130.0,3.8,,12.9,,,1.59,,4.72,30.914,145.91408
Nick Vannett,TE,158.0,1993-03-06,Ohio State,Big Ten,2016,3,,,0.089,0.089,0.0,0.0,0.0,0.0,,,,8.2,,1.0,,,,,,82.6,,,,0.0,0.0,,,5.0,,1.0,,,,,,0.0,,,0.0,,,,,19.0,72.3,170.0,,,,,,40.4,95.0,23.0,,,,4.3,10.0,99.0,5.2,,11.6,,,1.29,,4.76,29.696,141.35296
Tyler Higbee,TE,59.0,1993-01-01,Western Kentucky,CUSA,2016,4,,,0.134,0.094,0.0,0.0,0.0,0.0,,,,9.5,,10.0,,,,,,79.2,,,,0.0,0.0,,,5.0,,2.0,,,,,,1.0,,,0.0,,,,,38.0,80.8,244.0,,,,,,36.1,109.0,48.0,,,,1.3,4.0,251.0,6.6,,14.8,,,2.3,,4.77,28.772,137.24244
Jerell Adams,TE,78.0,1992-12-31,South Carolina,SEC,2016,6,,,0.173,0.173,0.0,0.0,0.0,0.0,,,,9.9,,10.0,,,,,,52.8,,,,0.0,0.0,,,15.2,,5.0,,,,,,1.0,,,2.0,,,,,28.0,79.0,279.0,,,,,,51.0,180.0,53.0,,,,1.7,6.0,209.0,7.5,,15.0,,,1.51,,4.64,29.287,135.89167999999998
David Morgan,TE,142.0,1993-05-19,UTSA,CUSA,2016,6,2015.0,22.286,0.269,0.188,0.0,0.0,0.0,0.0,,,,9.9,,4.0,,,,,,60.0,,,,0.0,0.0,,,4.3,,2.0,,,,,,0.0,,,1.0,,,,,45.0,78.6,341.0,,,,,,39.4,171.0,75.0,,,,15.0,65.0,192.0,4.3,,12.6,,,1.66,,4.799,31.888,153.03051200000002
Thomas Duarte,TE,76.0,1995-03-30,UCLA,Pac-12,2016,7,2015.0,20.424,0.333,0.317,0.0,0.0,0.0,0.0,,,,12.8,,8.0,,,,,,60.5,,,,0.0,0.0,,,7.1,,4.0,,,,,,0.0,,,1.0,,,,,52.0,94.8,436.0,,,,,,97.0,446.0,86.0,,,,1.5,7.0,253.0,4.9,,16.8,,,2.0,,4.72,29.655,139.9716
O.J. Howard,TE,9.0,1994-11-19,Alabama,SEC,2017,1,,,0.152,0.152,0.0,0.0,0.0,0.0,,,,8.7,,3.0,,,,,,80.4,,,,0.0,0.0,,,4.3,,2.0,,,,,,0.0,,,2.0,,,,,45.0,81.4,329.0,,,,,,26.5,107.0,56.0,,,,8.4,34.0,329.0,7.3,,13.2,,,1.81,,4.51,29.003,130.80353
Evan Engram,TE,3.0,1994-09-02,Ole Miss,SEC,2017,1,2016.0,21.999,0.271,0.271,0.0,0.0,0.0,0.0,,,,9.0,,7.0,,,,,,70.7,,,,0.0,0.0,,,8.5,,6.0,,,,,,0.0,,,1.0,,,,,65.0,77.4,357.0,,,,,,59.7,275.0,92.0,,,,0.4,2.0,402.0,6.2,,14.2,,,2.59,,4.42,29.245,129.2629
David Njoku,TE,5.0,1996-07-10,Miami (FL),ACC,2017,1,2016.0,20.145,0.246,0.234,0.0,0.0,0.0,0.0,,,,8.1,,15.0,,,,,,62.3,,,,0.0,0.0,,,10.4,,5.0,,,,,,0.0,,,0.0,,,,,43.0,88.4,298.0,,,,,,64.7,218.0,69.0,,,,1.5,5.0,483.0,11.2,,16.2,,,2.34,,4.64,29.941,138.92623999999998
Gerald Everett,TE,20.0,1994-06-25,South Alabama,Sun Belt,2017,2,2015.0,21.185,0.317,0.241,0.017,0.013,0.056,0.043,,,,8.7,,23.0,,,,,,65.2,,,,0.0,0.0,,,8.05,,4.0,,,,39.3,,0.5,,,2.5,,,,,45.0,82.5,291.0,,,,,,44.7,160.0,69.0,,,,0.3,1.0,408.5,9.1,,14.35,,,2.22,,4.62,29.87,137.9994
