player_name,pos,rank,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Christian Hackenberg,QB,59.0,1995-02-14,Penn State,Big Ten,2016,2,2013.0,18.546,0.014,0.014,0.902,0.902,0.004,0.004,64.85,398.5,424.0,9.0,2.61,2.5,18.0,0.0,0.0,0.0,3.95,,54.3,231.0,,,,175.5,0.5,11.0,491.0,28.0,0.0,0.0,6.5,0.0,3.5,6.5,0.0,2.5,10.5,515.0,23.3,76.15,7.0,0.5,,4.0,340.5,8.4,41.0,157.0,26.0,,,1.0,18.5,17.0,3.2,,,,,81.0,,1.955,6.55,1.75,0.5,4.78,27.141,129.73398
Jacoby Brissett,QB,162.0,1992-12-11,North Carolina State,ACC,2016,3,2014.0,21.722,0.0,0.0,0.986,0.936,0.154,0.146,71.3,359.0,398.0,9.0,2.98,20.0,18.0,5.0,18.0,104.0,4.4,,59.5,237.0,,,,167.0,365.0,7.4,471.0,19.0,0.0,13.0,166.0,39.4,21.0,7.0,30.0,5.0,6.0,484.0,22.2,90.0,0.0,0.0,,1.0,425.0,7.9,37.0,214.0,35.0,,,0.0,74.0,14.0,2.9,,,,,298.0,,2.73,6.7,0.0,10.0,4.94,28.115,138.8881
Cody Kessler,QB,71.0,1993-05-11,USC,Pac-12,2016,3,2013.0,20.309,0.0,0.0,0.974,0.925,0.032,0.031,79.25,419.5,450.0,8.25,2.8,3.0,20.0,0.0,0.0,0.0,4.25,,68.0,306.0,,,,178.5,-2.5,7.9,497.5,26.5,0.0,0.5,6.0,1.75,4.0,5.5,0.0,4.5,6.0,522.5,19.0,112.35,0.0,0.0,,0.5,442.0,6.85,34.0,88.5,13.5,,,0.0,18.0,9.0,1.75,,,,,64.0,,2.065,8.15,0.0,0.5,4.89,29.022,141.91758
Connor Cook,QB,93.0,1993-01-29,Michigan State,Big Ten,2016,4,2013.0,20.589,0.0,0.0,0.941,0.941,0.025,0.025,66.5,388.0,412.0,11.1,2.68,1.0,33.0,1.0,13.5,20.0,7.6,,55.6,229.0,,,,138.0,63.0,11.2,440.0,29.0,0.0,0.0,25.0,0.0,5.0,1.0,12.0,5.0,7.0,464.0,11.6,92.4,0.0,0.0,,2.0,439.0,3.6,16.0,85.0,12.0,,,0.0,35.0,18.0,3.9,,,,,55.0,,1.17,7.6,0.0,0.0,4.79,26.411,126.50869
Dak Prescott,QB,53.0,1993-07-29,Mississippi State,SEC,2016,4,2013.0,20.093,0.01,0.01,0.904,0.904,0.4,0.4,72.65,419.0,438.0,8.95,2.69,19.0,21.0,10.5,28.6,261.0,4.7,,63.7,280.0,,,,155.5,705.5,8.35,485.5,25.5,0.0,17.0,333.5,25.15,31.0,7.5,54.5,5.5,8.0,502.5,16.6,103.3,17.5,1.0,,2.0,396.0,5.35,26.0,214.5,21.5,,,1.5,148.0,20.0,3.95,,,,,400.5,,2.34,8.3,5.835,15.0,4.79,29.014,138.97706
Cardale Jones,QB,89.0,1992-10-29,Ohio State,Big Ten,2016,4,,,0.0,0.0,0.508,0.508,0.056,0.056,72.7,161.0,176.0,10.0,2.8,16.0,6.0,6.0,49.8,141.0,3.3,,61.9,109.0,,,,72.0,200.0,6.8,202.0,8.0,0.0,13.0,100.0,77.3,11.0,8.0,15.0,2.0,5.0,211.0,19.4,91.3,0.0,0.0,,1.0,221.0,6.9,14.0,83.0,12.0,,,0.0,41.0,13.0,6.2,,,,,177.0,,3.34,8.2,0.0,4.0,4.81,29.998,144.29038
Kevin Hogan,QB,121.0,1992-10-20,Stanford,Pac-12,2016,5,2013.0,20.865,0.009,0.009,0.942,0.895,0.12,0.114,75.7,296.0,306.0,10.0,2.79,12.0,20.0,4.0,32.9,140.0,6.1,,67.3,206.0,,,,107.0,283.0,8.0,346.0,18.0,0.0,8.0,133.0,38.6,11.0,7.0,33.0,3.0,8.0,369.0,17.8,114.1,11.0,1.0,,3.0,524.0,5.5,19.0,143.0,21.0,,,2.0,53.0,17.0,4.6,,,,,184.0,,2.52,9.2,3.67,7.0,4.78,27.245,130.2311
Nate Sudfeld,QB,130.0,1993-10-07,Indiana,Big Ten,2016,6,2013.0,19.901,0.0,0.0,0.968,0.968,0.104,0.104,70.9,392.0,413.0,10.3,2.64,4.0,25.0,1.0,18.1,21.0,5.8,,59.8,247.0,,,,105.0,57.0,11.2,438.0,31.0,0.0,1.0,26.0,2.1,4.0,6.0,1.0,4.0,7.0,455.0,11.4,102.7,0.0,0.0,,0.0,525.0,2.7,12.0,59.0,13.0,,,0.0,35.0,18.0,4.0,,,,,51.0,,1.06,8.7,,11.0,5.02,27.038,135.73076
Jake Rudock,QB,132.0,1993-01-21,Michigan,Big Ten,2016,6,2013.0,20.611,-0.0,-0.0,0.964,0.964,0.114,0.114,75.9,357.0,390.0,8.3,2.79,3.0,14.0,0.0,0.0,0.0,3.4,,64.1,250.0,,,,159.0,13.0,7.7,442.0,21.0,0.0,1.0,3.0,2.3,7.0,6.0,0.0,8.0,9.0,465.0,11.9,96.1,-3.0,1.0,,1.0,404.0,4.3,19.0,231.0,33.0,,,1.0,12.0,16.0,3.4,,,,,77.0,,1.75,7.7,-3.0,3.0,,,
Brandon Allen,QB,131.0,1992-09-05,Arkansas,SEC,2016,6,,,0.0,0.0,0.047,0.047,-0.001,-0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,28.627,138.55468
Jeff Driskel,QB,107.0,1993-04-23,Louisiana Tech,CUSA,2016,6,2012.0,19.359,0.0,0.0,0.963,0.674,0.17,0.119,71.4,426.0,450.0,11.0,2.46,13.0,29.0,5.0,32.0,141.0,6.2,,62.4,281.0,,,,145.0,294.0,7.6,491.0,23.0,0.0,9.0,101.0,30.0,13.0,4.0,11.0,1.0,8.0,514.0,13.8,104.2,0.0,0.0,,1.0,347.0,4.1,20.0,147.0,21.0,,,1.0,55.0,14.0,2.7,,,,,188.0,,2.47,9.0,0.0,22.0,4.56,28.48,129.8688
Brandon Doughty,QB,171.0,1991-10-06,Western Kentucky,CUSA,2016,7,2013.0,21.906,0.005,0.004,0.981,0.686,0.012,0.008,79.25,527.0,549.5,8.3,2.45,0.5,25.5,0.0,0.0,0.0,4.5,,69.45,381.5,,,,145.5,-2.5,8.6,577.5,36.0,0.0,0.0,4.0,0.0,1.5,4.0,0.0,4.0,9.5,597.5,12.2,119.6,3.5,0.5,,1.5,389.5,3.0,17.5,46.5,10.5,,,0.5,11.5,14.0,2.35,,,,,26.5,,1.12,9.0,1.75,0.0,5.22,26.62,138.9564
Mitchell Trubisky,QB,32.0,1994-08-20,North Carolina,ACC,2017,1,2016.0,22.034,0.001,0.001,0.992,0.942,0.2,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,28.5,133.095
Patrick Mahomes,QB,28.0,1995-09-17,Texas Tech,Big 12,2017,1,2015.0,19.956,0.0,0.0,0.907,0.861,0.308,0.293,74.8,548.0,586.0,8.8,2.81,18.5,36.0,2.5,11.1,59.5,5.8,,64.25,376.5,,,,233.5,193.0,8.2,658.5,33.5,0.0,6.0,73.0,10.4,19.5,8.0,8.0,2.5,12.5,693.5,10.95,103.0,1.5,0.5,,2.0,327.5,3.85,25.5,353.5,47.0,,,0.5,65.5,26.5,3.8,,,,,201.0,,1.795,8.25,0.5,24.0,4.8,28.885,138.648
Deshaun Watson,QB,16.0,1995-09-14,Clemson,ACC,2017,1,2015.0,19.964,0.0,0.0,0.941,0.894,0.307,0.292,76.7,509.5,537.0,8.95,2.335,27.0,33.0,9.5,24.25,244.0,5.9,,67.25,361.0,,,,147.0,653.5,7.55,595.5,29.5,0.0,19.5,268.0,28.85,28.0,5.5,59.0,4.0,15.0,629.5,11.25,103.8,0.0,0.0,,2.0,488.5,2.8,16.5,287.5,42.0,,,0.0,138.5,18.0,2.85,,,,,413.0,,2.34,8.1,0.0,36.0,4.66,28.372,132.21352000000002
DeShone Kizer,QB,54.0,1996-01-03,Notre Dame,Ind,2017,2,,,0.0,0.0,0.0,0.0,0.0,0.0,71.0,321.0,335.0,9.8,2.65,18.0,17.0,2.0,14.6,95.0,4.7,,62.1,208.0,,,,100.0,349.0,8.8,391.0,20.0,0.0,5.0,129.0,8.1,17.0,7.0,39.0,0.0,10.0,419.0,26.0,96.8,0.0,0.0,,0.0,340.0,6.6,26.0,301.0,30.0,,,0.0,89.0,19.0,4.6,,,,,313.0,,2.63,8.5,,18.0,4.83,28.359,136.97397
Davis Webb,QB,111.0,1995-01-22,California,Pac-12,2017,3,2013.0,18.609,0.0,0.0,0.999,0.949,0.158,0.15,69.8,592.0,620.0,8.9,2.32,2.0,34.0,0.0,0.0,0.0,5.1,,61.6,382.0,,,,136.0,-5.0,7.5,642.0,31.0,0.0,2.0,13.0,10.2,0.0,6.0,2.0,6.0,12.0,687.0,11.8,94.1,0.0,0.0,,0.0,394.0,2.5,16.0,14.0,4.0,,,0.0,16.0,28.0,4.1,,,,,22.0,,1.1,6.9,,9.0,4.79,27.152,130.05808000000002
