feature,tree_feature_importance,kind
Y/RR,0.2877953683520095,base
Draft Capital,0.1,base
DOM+,0.08585662933912275,base
SpeedxBMI,0.05766790086078107,interaction
aDOT,0.040901124503013774,base
Y/REC,0.0360282351548569,base
YAC/R,0.034321360545360155,base
CC%,0.029885026408871772,base
MTF,0.02797222947677351,base
Drop%,0.025176563901098743,base
Breakout Age,0.015129493969663727,base
