Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1.0,Graham Harrell,Texas Tech,Big 12,13.0,442.0,626.0,70.6,5111.0,45.0,7.2,9.0,1.4,8.2,8.96,11.6,393.2,160.0,H-4
2.0,Case Keenum,Houston,CUSA,13.0,397.0,589.0,67.4,5020.0,44.0,7.5,11.0,1.9,8.5,9.18,12.6,386.2,159.9,
3.0,Sam Bradford,Oklahoma,Big 12,14.0,328.0,483.0,67.9,4720.0,50.0,10.4,8.0,1.7,9.8,11.1,14.4,337.1,180.8,"H-1,AA"
4.0,Chase Daniel,Missouri,Big 12,14.0,385.0,528.0,72.9,4335.0,39.0,7.4,18.0,3.4,8.2,8.15,11.3,309.6,159.4,
5.0,Chase Clement,Rice,CUSA,13.0,326.0,490.0,66.5,4119.0,44.0,9.0,7.0,1.4,8.4,9.56,12.6,316.8,163.9,
6.0,David Johnson,Tulsa,CUSA,14.0,258.0,400.0,64.5,4059.0,46.0,11.5,18.0,4.5,10.1,10.42,15.7,289.9,178.7,
7.0,Max Hall,BYU,MWC,13.0,330.0,477.0,69.2,3957.0,35.0,7.3,14.0,2.9,8.3,8.44,12.0,304.4,157.2,
8.0,Todd Reesing,Kansas,Big 12,13.0,329.0,495.0,66.5,3888.0,32.0,6.5,13.0,2.6,7.9,7.97,11.8,299.1,148.5,
9.0,Colt McCoy,Texas,Big 12,13.0,332.0,433.0,76.7,3859.0,34.0,7.9,8.0,1.8,8.9,9.65,11.6,296.8,173.8,"H-2,AA,Camp"
10.0,Tim Hiller,Western Michigan,MAC,13.0,339.0,522.0,64.9,3725.0,36.0,6.9,10.0,1.9,7.1,7.65,11.0,286.5,143.8,
11.0,Nate Davis,Ball State,MAC,14.0,258.0,401.0,64.3,3591.0,26.0,6.5,8.0,2.0,9.0,9.35,13.9,256.5,157.0,H-8
12.0,Joe Ganz,Nebraska,Big 12,13.0,285.0,420.0,67.9,3568.0,25.0,6.0,11.0,2.6,8.5,8.51,12.5,274.5,153.6,
13.0,Kellen Moore,Boise State,WAC,13.0,281.0,405.0,69.4,3486.0,25.0,6.2,10.0,2.5,8.6,8.73,12.4,268.2,157.1,
14.0,Matthew Stafford,Georgia,SEC,13.0,235.0,383.0,61.4,3459.0,25.0,6.5,10.0,2.6,9.0,9.16,14.7,266.1,153.5,
15.0,Mike Teel,Rutgers,Big East,13.0,243.0,396.0,61.4,3418.0,25.0,6.3,13.0,3.3,8.6,8.42,14.1,262.9,148.1,
16.0,Chase Holbrook,New Mexico State,WAC,12.0,309.0,457.0,67.6,3361.0,25.0,5.5,14.0,3.1,7.4,7.07,10.9,280.1,141.3,
17.0,Drew Willy,Buffalo,MAC,14.0,304.0,468.0,65.0,3304.0,25.0,5.3,6.0,1.3,7.1,7.55,10.9,236.0,139.3,
18.0,Trevor Vittatoe,UTEP,CUSA,12.0,246.0,418.0,58.9,3274.0,33.0,7.9,9.0,2.2,7.8,8.44,13.3,272.8,146.4,
19.0,Rusty Smith,Florida Atlantic,Sun Belt,13.0,234.0,435.0,53.8,3224.0,24.0,5.5,14.0,3.2,7.4,7.07,13.8,248.0,127.8,
20.0,Mark Sanchez,USC,Pac-10,13.0,241.0,366.0,65.8,3207.0,34.0,9.3,10.0,2.7,8.8,9.39,13.3,246.7,164.6,
21.0,Juice Williams,Illinois,Big Ten,12.0,219.0,381.0,57.5,3173.0,22.0,5.8,16.0,4.2,8.3,7.59,14.5,264.4,138.1,
22.0,Jimmy Clausen,Notre Dame,Ind,13.0,268.0,440.0,60.9,3172.0,25.0,5.7,17.0,3.9,7.2,6.61,11.8,244.0,132.5,
23.0,Austin Davis,Southern Mississippi,CUSA,13.0,261.0,454.0,57.5,3128.0,23.0,5.1,8.0,1.8,6.9,7.11,12.0,240.6,128.6,
24.0,Willie Tuitama,Arizona,Pac-10,13.0,259.0,399.0,64.9,3088.0,23.0,5.8,8.0,2.0,7.7,7.99,11.9,237.5,144.9,
25.0,Zac Robinson,Oklahoma State,Big 12,13.0,204.0,314.0,65.0,3064.0,25.0,8.0,10.0,3.2,9.8,9.92,15.0,235.7,166.8,
26.0,Brian Johnson,Utah,MWC,13.0,268.0,394.0,68.0,2972.0,27.0,6.9,9.0,2.3,7.5,7.89,11.1,228.6,149.4,
27.0,Josh Freeman,Kansas State,Big 12,12.0,224.0,382.0,58.6,2945.0,20.0,5.2,8.0,2.1,7.7,7.81,13.1,245.4,136.5,
28.0,Billy Farris,Colorado State,MWC,13.0,233.0,379.0,61.5,2934.0,19.0,5.0,13.0,3.4,7.7,7.2,12.6,225.7,136.2,
29.0,Matt Grothe,South Florida,Big East,13.0,240.0,380.0,63.2,2911.0,18.0,4.7,14.0,3.7,7.7,6.95,12.1,223.9,135.8,
30.0,Bo Levi Mitchell,SMU,CUSA,12.0,236.0,410.0,57.6,2865.0,24.0,5.9,23.0,5.6,7.0,5.63,12.1,238.8,124.4,
31.0,Colin Kaepernick,Nevada,WAC,13.0,208.0,383.0,54.3,2849.0,22.0,5.7,7.0,1.8,7.4,7.77,13.7,219.2,132.1,
32.0,Austen Arnaud,Iowa State,Big 12,12.0,247.0,401.0,61.6,2792.0,15.0,3.7,10.0,2.5,7.0,6.59,11.3,232.7,127.4,
33.0,Dan Lefevour,Central Michigan,MAC,11.0,251.0,376.0,66.8,2784.0,21.0,5.6,6.0,1.6,7.4,7.8,11.1,253.1,144.2,
34.0,Jevan Snead,Ole Miss,SEC,13.0,184.0,327.0,56.3,2762.0,26.0,8.0,13.0,4.0,8.4,8.25,15.0,212.5,145.5,
35.0,Adam Weber,Minnesota,Big Ten,13.0,255.0,410.0,62.2,2761.0,15.0,3.7,8.0,2.0,6.7,6.59,10.8,212.4,126.9,
36.0,Giovanni Vizza,North Texas,Sun Belt,12.0,309.0,493.0,62.7,2758.0,15.0,3.0,16.0,3.2,5.6,4.74,8.9,229.8,113.2,
37.0,Chris Jacquemain,Akron,MAC,12.0,231.0,399.0,57.9,2748.0,20.0,5.0,14.0,3.5,6.9,6.31,11.9,229.0,125.3,
38.0,Tim Tebow,Florida,SEC,14.0,192.0,298.0,64.4,2746.0,30.0,10.1,4.0,1.3,9.2,10.62,14.3,196.1,172.4,"H-3,Maxwell"
39.0,Joe Craddock,Middle Tennessee State,Sun Belt,12.0,237.0,367.0,64.6,2677.0,15.0,4.1,7.0,1.9,7.3,7.25,11.3,223.1,135.5,
40.0,Patrick Pinkney,East Carolina,CUSA,14.0,223.0,363.0,61.4,2675.0,13.0,3.6,7.0,1.9,7.4,7.22,12.0,191.1,131.3,
41.0,Tom Brandstater,Fresno State,WAC,13.0,221.0,371.0,59.6,2664.0,18.0,4.9,12.0,3.2,7.2,6.7,12.1,204.9,129.4,
42.0,Ryan Lindley,San Diego State,MWC,11.0,242.0,427.0,56.7,2653.0,16.0,3.7,9.0,2.1,6.2,6.01,11.0,241.2,117.0,
43.0,Andy Schmitt,Eastern Michigan,MAC,11.0,261.0,417.0,62.6,2644.0,15.0,3.6,8.0,1.9,6.3,6.2,10.1,240.4,123.9,
44.0,Tyler Sheehan,Bowling Green,MAC,12.0,267.0,400.0,66.8,2610.0,20.0,5.0,9.0,2.3,6.5,6.51,9.8,217.5,133.6,
45.0,Cullen Harper,Clemson,ACC,13.0,221.0,360.0,61.4,2601.0,13.0,3.6,14.0,3.9,7.2,6.2,11.8,200.1,126.2,
46.0,Daryll Clark,Penn State,Big Ten,13.0,192.0,321.0,59.8,2592.0,19.0,5.9,6.0,1.9,8.1,8.42,13.5,199.4,143.4,
47.0,Casey Dick,Arkansas,SEC,11.0,205.0,357.0,57.4,2586.0,13.0,3.6,14.0,3.9,7.2,6.21,12.6,235.1,122.4,
48.0,Lyle Moevao,Oregon State,Pac-10,11.0,214.0,361.0,59.3,2534.0,19.0,5.3,13.0,3.6,7.0,6.45,11.8,230.4,128.4,
49.0,Chris Turner,Maryland,ACC,13.0,214.0,374.0,57.2,2516.0,13.0,3.5,11.0,2.9,6.7,6.1,11.8,193.5,119.3,
