Player,Bias,DOM+,Draft Capital,YAC/R,FUM,REC%,aDOT,Breakout Age,Drop%,CC%,Y/RR,Y/REC,MTF,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_WR,Train_Target_raw,Error_Target
Isaiah Coulter,-207.4151,19.8411,-49.0046,0.9018,1.3629,-4.1957,-0.2995,13.1627,2.8144,-3.4442,10.8568,-1.7496,1.7471,13.8113,-8.0068,13.8113,-201.6107,-299.0000,97.3893
Keon Coleman,-207.4151,12.6892,113.8823,3.1299,-3.8722,-7.8141,-0.9309,9.2869,-9.1453,-1.9372,-51.4094,-1.8594,1.0175,11.3269,63.0373,11.3269,-133.0509,-102.0000,-31.0509
Dez Fitzpatrick,-207.4151,9.8418,-7.1653,1.1423,1.6883,-13.7678,0.0823,16.6843,-2.8838,1.4880,-0.0226,3.9139,2.1379,9.6147,13.1393,9.6147,-184.6610,-220.0000,35.3390
Darius Slayton,-207.4151,24.2910,-59.9760,2.0205,1.7321,-13.1626,2.6375,6.2002,32.0316,2.1468,-60.5028,6.5681,0.6205,11.8801,-55.3931,11.8801,-250.9282,-215.0000,-35.9282
JJ Arcega-Whiteside,-207.4151,23.9781,103.3787,1.7331,1.9091,-4.4593,-1.2349,10.1247,3.0497,-3.9194,2.4575,-1.9457,1.7663,-6.5715,136.8379,-6.5715,-77.1485,-208.0000,130.8515
Adonai Mitchell,-207.4151,10.6922,110.4304,-15.3255,2.0899,-5.2209,-3.5950,-10.3001,-11.8976,2.1998,-55.8873,0.6344,-0.3550,3.6530,23.4653,3.6530,-180.2968,-103.0000,-77.2968
Xavier Worthy,-207.4151,9.2147,119.8482,5.2282,-5.0860,-23.4530,-1.7157,46.9449,0.1413,0.4706,1.4164,-2.3084,2.6574,4.8198,153.3586,4.8198,-49.2368,-27.0000,-22.2368
Malcolm Mitchell,-207.4151,34.7712,-22.8134,-2.3678,-2.0987,-19.9134,-3.2440,-77.1138,-0.6145,-3.7196,16.1579,-3.3651,3.2961,-6.6789,-81.0251,-6.6789,-295.1192,-139.0000,-156.1192
K.J. Osborn,-207.4151,-18.9969,-71.3433,-0.1346,1.7024,-16.6248,-2.6385,0.0106,-1.2554,4.0290,-43.9182,-1.4264,1.4764,-40.1483,-149.1197,-40.1483,-396.6831,-317.0000,-79.6831
Jameson Williams,-207.4151,9.1505,126.0576,4.1059,-5.0130,5.0654,-4.1318,3.9566,5.4095,2.1154,10.6455,4.2320,3.4884,7.5398,165.0820,7.5398,-34.7933,-15.0000,-19.7933
James Proche,-207.4151,17.4269,-120.6930,0.6563,1.3629,-3.5423,-0.9289,7.4593,2.5102,-2.2766,6.2091,0.2366,1.8420,-6.8060,-89.7375,-6.8060,-303.9586,-364.0000,60.0414
Marcell Ateman,-207.4151,-7.9804,-164.4970,1.2989,-3.2453,3.8930,-2.4510,-79.2897,1.1175,-0.4786,22.8100,9.6449,0.9597,-1.3374,-218.2180,-1.3374,-426.9707,-453.0000,26.0293
Rome Odunze,-207.4151,9.1481,127.9896,0.8686,-3.5777,-5.3165,-2.9128,11.8930,-14.6723,-5.0886,10.9953,3.1303,0.1363,5.2776,132.5933,5.2776,-69.5443,-18.0000,-51.5443
Tyreek Hill,-207.4151,-138.7025,-73.0091,4.1986,-0.4220,26.8790,1.7047,3.3568,-6.0859,-2.1421,-15.0666,-5.5868,-0.2458,-8.6851,-205.1217,-8.6851,-421.2218,-168.0000,-253.2218
Isaiah Hodgins,-207.4151,14.6951,-97.3502,-10.9060,0.0572,3.7671,-2.2211,8.4567,-7.2610,-0.8609,19.2694,-0.7598,-0.4029,20.2008,-73.5164,20.2008,-260.7307,-279.0000,18.2693
J'Mon Moore,-207.4151,18.5849,-9.1086,1.8432,-2.4345,-11.9444,-0.7279,12.7161,1.0411,1.2294,16.5461,4.1315,2.8708,-4.5632,34.7477,-4.5632,-177.2306,-197.0000,19.7694
Kenny Golladay,-207.4151,13.8392,51.1817,-3.0748,-3.2087,-10.1295,-5.8366,-33.2498,-14.1605,-2.2921,16.4458,-1.8589,0.5265,-5.6556,8.1823,-5.6556,-204.8884,-136.0000,-68.8884
Isaac TeSlaa,-207.4151,-43.2024,38.1051,-0.9038,0.5693,11.5646,-4.9773,4.3630,-15.4499,-5.1516,-25.8356,15.2032,-2.2209,4.8465,-27.9363,4.8465,-230.5048,-150.0000,-80.5048
Arian Smith,-207.4151,-58.7173,-22.2537,4.8771,-2.8729,5.2012,1.5694,6.3393,32.0879,-10.7628,-11.2400,10.7882,2.9057,7.6436,-42.0779,7.6436,-241.8495,-322.0000,80.1505
Trevor Davis,-207.4151,-114.9667,-67.2942,0.4294,0.2819,-5.9494,-0.2328,9.1893,1.1492,-3.6848,8.6132,-5.6713,1.5804,21.2667,-176.5558,21.2667,-362.7041,-383.0000,20.2959
Troy Franklin,-207.4151,16.9825,-18.0973,1.6774,1.0748,8.0072,0.5678,10.9088,4.5020,3.1798,14.5579,2.2278,3.4347,7.9613,49.0234,7.9613,-150.4304,-106.0000,-44.4304
Kaden Prather,-207.4151,-31.6239,-161.4338,0.2386,1.4468,-3.1258,-1.0489,0.1469,-11.1049,2.7336,-38.7326,-5.9773,-0.2171,16.8923,-248.6984,16.8923,-439.2212,-526.0000,86.7788
Phillip Dorsett,-207.4151,9.7114,128.4488,13.2730,2.2348,-1.9954,11.9607,9.6046,-12.0513,-2.3764,3.4741,-4.2513,-0.1001,6.3113,157.9329,6.3113,-43.1710,-72.0000,28.8290
Jamari Thrash,-207.4151,17.1452,-40.4323,4.0506,1.0719,-4.4486,-2.3989,-17.4284,4.0629,6.4352,24.3751,1.4930,2.7326,17.3985,-3.3417,17.3985,-193.3583,-281.0000,87.6417
DeVante Parker,-207.4151,9.1928,128.1080,4.4973,2.2428,-2.7278,-2.9343,4.3468,-1.8772,-2.9296,6.9960,4.1796,2.8006,5.9324,151.8950,5.9324,-49.5875,-36.0000,-13.5875
Terry Godwin,-207.4151,12.3311,-142.6797,2.6703,1.3911,-3.4515,-1.1731,-6.6219,3.6114,-3.8793,15.9979,-2.0730,1.5120,19.6898,-122.3647,19.6898,-310.0898,-425.0000,114.9102
Konata Mumpfield,-207.4151,12.4950,-155.1877,-3.0433,1.0613,-4.4530,-0.2871,45.9442,2.3044,0.3130,-71.1121,-2.4751,0.8976,-10.3095,-173.5428,-10.3095,-391.2673,-401.0000,9.7327
Riley Ridley,-207.4151,0.5738,-11.2044,-20.7868,1.5734,21.6338,-3.8010,-67.8132,1.1834,-7.2565,-22.8757,3.1753,0.3521,-8.2281,-105.2458,-8.2281,-320.8891,-461.0000,140.1109
