Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp.1,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
2003,Ole Miss,282.0,13.0,10.0,3.0,0.0,0.769,442.0,285.0,157.0,282.0,449.0,167.0,62.8,3718.0,31.0,10.0,6.9,2.2,150.7,8.3,8.66,13.2
2003,Georgia,274.0,14.0,11.0,3.0,0.0,0.786,371.0,203.0,168.0,274.0,461.0,187.0,59.4,3435.0,14.0,12.0,3.0,2.6,126.8,7.5,6.89,12.5
2003,LSU,255.0,14.0,13.0,1.0,0.0,0.929,475.0,154.0,321.0,255.0,401.0,146.0,63.6,3257.0,30.0,15.0,7.5,3.7,149.0,8.1,7.94,12.8
2003,Florida,244.0,13.0,8.0,5.0,0.0,0.615,390.0,271.0,119.0,244.0,406.0,162.0,60.1,3190.0,20.0,14.0,4.9,3.4,135.5,7.9,7.29,13.1
2003,Tennessee,238.0,13.0,10.0,3.0,0.0,0.769,365.0,239.0,126.0,238.0,422.0,184.0,56.4,3034.0,28.0,9.0,6.6,2.1,134.4,7.2,7.56,12.7
2003,Mississippi State,207.0,12.0,2.0,10.0,0.0,0.167,225.0,471.0,-246.0,207.0,395.0,188.0,52.4,2424.0,15.0,25.0,3.8,6.3,103.8,6.1,4.05,11.7
2003,Kentucky,206.0,12.0,4.0,8.0,0.0,0.333,328.0,321.0,7.0,206.0,381.0,175.0,54.1,2426.0,18.0,10.0,4.7,2.6,117.9,6.4,6.13,11.8
2003,Auburn,202.0,13.0,8.0,5.0,0.0,0.615,342.0,212.0,130.0,202.0,323.0,121.0,62.5,2499.0,10.0,9.0,3.1,2.8,132.2,7.7,7.1,12.4
2003,Alabama,201.0,13.0,4.0,9.0,0.0,0.308,331.0,333.0,-2.0,201.0,386.0,185.0,52.1,2491.0,17.0,15.0,4.4,3.9,113.0,6.5,5.59,12.4
2003,Vanderbilt,196.0,12.0,2.0,10.0,0.0,0.167,235.0,358.0,-123.0,196.0,347.0,151.0,56.5,2485.0,20.0,15.0,5.8,4.3,127.0,7.2,6.37,12.7
2003,South Carolina,177.0,12.0,5.0,7.0,0.0,0.417,268.0,314.0,-46.0,177.0,356.0,179.0,49.7,2324.0,12.0,12.0,3.4,3.4,108.9,6.5,5.69,13.1
2003,Arkansas,167.0,13.0,9.0,4.0,0.0,0.692,436.0,305.0,131.0,167.0,304.0,137.0,54.9,2462.0,20.0,9.0,6.6,3.0,138.8,8.1,8.08,14.7
2003,Michigan State,312.0,13.0,8.0,5.0,0.0,0.615,363.0,293.0,70.0,312.0,506.0,194.0,61.7,3510.0,21.0,15.0,4.2,3.0,127.7,6.9,6.43,11.3
2003,Michigan,284.0,13.0,10.0,3.0,0.0,0.769,460.0,219.0,241.0,284.0,476.0,192.0,59.7,3520.0,26.0,10.0,5.5,2.1,135.6,7.4,7.54,12.4
2003,Illinois,274.0,12.0,1.0,11.0,0.0,0.083,203.0,398.0,-195.0,274.0,451.0,177.0,60.8,2756.0,15.0,16.0,3.3,3.5,116.0,6.1,5.18,10.1
2003,Purdue,254.0,13.0,9.0,4.0,0.0,0.692,349.0,226.0,123.0,254.0,419.0,165.0,60.6,2912.0,16.0,7.0,3.8,1.7,128.3,6.9,6.96,11.5
2003,Ohio State,208.0,13.0,11.0,2.0,0.0,0.846,322.0,229.0,93.0,208.0,366.0,158.0,56.8,2679.0,20.0,13.0,5.5,3.6,129.2,7.3,6.81,12.9
