Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp.1,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
2001,Florida,299.0,11.0,10.0,2.0,0.0,0.833,482.0,155.0,327.0,299.0,464.0,165.0,64.4,4457.0,43.0,13.0,9.3,2.8,170.1,9.6,10.2,14.9
2001,Ole Miss,263.0,11.0,7.0,4.0,0.0,0.636,391.0,310.0,81.0,263.0,417.0,154.0,63.1,2978.0,31.0,9.0,7.4,2.2,143.3,7.1,7.66,11.3
2001,Kentucky,252.0,11.0,2.0,9.0,0.0,0.182,259.0,367.0,-108.0,252.0,446.0,194.0,56.5,3031.0,23.0,13.0,5.2,2.9,124.8,6.8,6.52,12.0
2001,LSU,238.0,12.0,10.0,3.0,0.0,0.769,371.0,268.0,103.0,238.0,411.0,173.0,57.9,3578.0,18.0,12.0,4.4,2.9,139.6,8.7,8.27,15.0
2001,Tennessee,230.0,12.0,11.0,2.0,0.0,0.846,355.0,234.0,121.0,230.0,360.0,130.0,63.9,2980.0,22.0,9.0,6.1,2.5,148.6,8.3,8.38,13.0
2001,Georgia,204.0,11.0,8.0,4.0,0.0,0.667,315.0,208.0,107.0,204.0,352.0,148.0,58.0,2974.0,19.0,11.0,5.4,3.1,140.5,8.4,8.12,14.6
2001,Vanderbilt,195.0,11.0,2.0,9.0,0.0,0.182,226.0,402.0,-176.0,195.0,377.0,182.0,51.7,2647.0,14.0,11.0,3.7,2.9,117.1,7.0,6.45,13.6
2001,Mississippi State,187.0,11.0,3.0,8.0,0.0,0.273,196.0,288.0,-92.0,187.0,355.0,168.0,52.7,2364.0,13.0,16.0,3.7,4.5,111.7,6.7,5.36,12.6
2001,Auburn,178.0,11.0,7.0,5.0,0.0,0.583,244.0,265.0,-21.0,178.0,303.0,125.0,58.7,2282.0,11.0,12.0,3.6,4.0,126.1,7.5,6.48,12.8
2001,South Carolina,159.0,11.0,9.0,3.0,0.0,0.75,279.0,202.0,77.0,159.0,282.0,123.0,56.4,1914.0,12.0,8.0,4.3,2.8,121.8,6.8,6.36,12.0
2001,Alabama,143.0,11.0,7.0,5.0,0.0,0.583,304.0,219.0,85.0,143.0,260.0,117.0,55.0,2013.0,16.0,5.0,6.2,1.9,136.5,7.7,8.11,14.1
2001,Arkansas,133.0,11.0,7.0,5.0,0.0,0.583,291.0,269.0,22.0,133.0,268.0,135.0,49.6,1613.0,10.0,11.0,3.7,4.1,104.3,6.0,4.92,12.1
