Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp.1,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
2007,Tennessee,333.0,14.0,10.0,4.0,0.0,0.714,455.0,382.0,73.0,333.0,534.0,201.0,62.4,3675.0,33.0,12.0,6.2,2.2,136.1,6.9,7.11,11.0
2007,Kentucky,331.0,13.0,8.0,5.0,0.0,0.615,475.0,385.0,90.0,331.0,528.0,197.0,62.7,3743.0,40.0,12.0,7.6,2.3,142.7,7.1,7.58,11.3
2007,Alabama,263.0,13.0,7.0,6.0,0.0,0.538,352.0,286.0,66.0,263.0,472.0,209.0,55.7,2919.0,19.0,12.0,4.0,2.5,115.9,6.2,5.85,11.1
2007,South Carolina,258.0,12.0,6.0,6.0,0.0,0.5,313.0,282.0,31.0,258.0,443.0,185.0,58.2,3098.0,20.0,17.0,4.5,3.8,124.2,7.0,6.17,12.0
2007,LSU,256.0,14.0,12.0,2.0,0.0,0.857,541.0,279.0,262.0,256.0,442.0,186.0,57.9,3154.0,29.0,13.0,6.6,2.9,133.6,7.1,7.12,12.3
2007,Florida,240.0,13.0,9.0,4.0,0.0,0.692,552.0,331.0,221.0,240.0,361.0,121.0,66.5,3341.0,32.0,6.0,8.9,1.7,170.2,9.3,10.28,13.9
2007,Auburn,204.0,13.0,9.0,4.0,0.0,0.692,315.0,220.0,95.0,204.0,356.0,152.0,57.3,2317.0,12.0,15.0,3.4,4.2,114.7,6.5,5.29,11.4
2007,Georgia,199.0,13.0,11.0,2.0,0.0,0.846,424.0,262.0,162.0,199.0,365.0,166.0,54.5,2579.0,20.0,10.0,5.5,2.7,126.5,7.1,6.93,13.0
2007,Ole Miss,199.0,12.0,3.0,9.0,0.0,0.25,241.0,342.0,-101.0,199.0,391.0,192.0,50.9,2565.0,17.0,20.0,4.3,5.1,110.1,6.6,5.13,12.9
2007,Vanderbilt,193.0,12.0,5.0,7.0,0.0,0.417,260.0,271.0,-11.0,193.0,355.0,162.0,54.4,2117.0,17.0,12.0,4.8,3.4,113.5,6.0,5.4,11.0
2007,Mississippi State,188.0,13.0,8.0,5.0,0.0,0.615,279.0,301.0,-22.0,188.0,372.0,184.0,50.5,2079.0,12.0,18.0,3.2,4.8,98.5,5.6,4.06,11.1
2007,Arkansas,179.0,13.0,8.0,5.0,0.0,0.615,485.0,345.0,140.0,179.0,313.0,134.0,57.2,2125.0,24.0,11.0,7.7,3.5,132.5,6.8,6.74,11.9
2007,Purdue,369.0,13.0,8.0,5.0,0.0,0.615,446.0,345.0,101.0,369.0,594.0,225.0,62.1,3993.0,30.0,13.0,5.1,2.2,130.9,6.7,6.75,10.8
2007,Northwestern,322.0,12.0,6.0,6.0,0.0,0.5,310.0,372.0,-62.0,322.0,529.0,207.0,60.9,3695.0,20.0,19.0,3.8,3.6,124.8,7.0,6.12,11.5
