Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp.1,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
2002,Florida,295.0,13.0,8.0,5.0,0.0,0.615,336.0,279.0,57.0,295.0,517.0,222.0,57.1,3519.0,22.0,18.0,4.3,3.5,121.3,6.8,6.09,11.9
2002,Ole Miss,283.0,13.0,7.0,6.0,0.0,0.538,351.0,331.0,20.0,283.0,486.0,203.0,58.2,3437.0,21.0,15.0,4.3,3.1,125.7,7.1,6.55,12.1
2002,Georgia,257.0,14.0,13.0,1.0,0.0,0.929,450.0,212.0,238.0,257.0,445.0,188.0,57.8,3435.0,28.0,10.0,6.3,2.2,138.9,7.7,7.97,13.4
2002,Mississippi State,226.0,12.0,3.0,9.0,0.0,0.25,227.0,339.0,-112.0,226.0,442.0,216.0,51.1,2611.0,13.0,22.0,2.9,5.0,100.5,5.9,4.26,11.6
2002,Tennessee,218.0,13.0,8.0,5.0,0.0,0.615,296.0,227.0,69.0,218.0,356.0,138.0,61.2,2635.0,14.0,7.0,3.9,2.0,132.5,7.4,7.3,12.1
2002,Kentucky,195.0,12.0,7.0,5.0,0.0,0.583,385.0,301.0,84.0,195.0,350.0,155.0,55.7,2387.0,24.0,6.0,6.9,1.7,132.2,6.8,7.42,12.2
2002,Alabama,174.0,13.0,10.0,3.0,0.0,0.769,367.0,200.0,167.0,174.0,310.0,136.0,56.1,2473.0,12.0,9.0,3.9,2.9,130.1,8.0,7.45,14.2
2002,Auburn,174.0,13.0,9.0,4.0,0.0,0.692,388.0,231.0,157.0,174.0,299.0,125.0,58.2,2390.0,18.0,10.0,6.0,3.3,138.5,8.0,7.69,13.7
2002,LSU,155.0,13.0,8.0,5.0,0.0,0.615,323.0,238.0,85.0,155.0,325.0,170.0,47.7,1990.0,16.0,8.0,4.9,2.5,110.4,6.1,6.0,12.8
2002,Arkansas,148.0,14.0,9.0,5.0,0.0,0.643,370.0,277.0,93.0,148.0,299.0,151.0,49.5,1885.0,18.0,13.0,6.0,4.3,113.6,6.3,5.55,12.7
