Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp.1,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
2015,Mississippi State,331.0,13.0,9.0,4.0,0.0,0.692,447.0,302.0,145.0,331.0,500.0,169.0,66.2,4113.0,33.0,5.0,6.6,1.0,155.1,8.2,9.1,12.4
2015,Ole Miss,318.0,13.0,10.0,3.0,0.0,0.769,531.0,294.0,237.0,318.0,489.0,171.0,65.0,4351.0,35.0,14.0,7.2,2.9,157.7,8.9,9.04,13.7
2015,Alabama,301.0,15.0,14.0,1.0,0.0,0.933,526.0,227.0,299.0,301.0,446.0,145.0,67.5,3407.0,22.0,10.0,4.9,2.2,143.5,7.6,7.62,11.3
2015,Texas A&M,273.0,13.0,8.0,5.0,0.0,0.615,361.0,286.0,75.0,273.0,482.0,209.0,56.6,3360.0,25.0,15.0,5.2,3.1,126.1,7.0,6.61,12.3
2015,Arkansas,246.0,13.0,8.0,5.0,0.0,0.615,467.0,356.0,111.0,246.0,374.0,128.0,65.8,3486.0,31.0,8.0,8.3,2.1,167.1,9.3,10.02,14.2
2015,Florida,228.0,14.0,10.0,4.0,0.0,0.714,325.0,256.0,69.0,228.0,404.0,176.0,56.4,2897.0,20.0,10.0,5.0,2.5,128.1,7.2,7.05,12.7
2015,Tennessee,220.0,13.0,9.0,4.0,0.0,0.692,457.0,260.0,197.0,220.0,371.0,151.0,59.3,2582.0,17.0,5.0,4.6,1.3,130.2,7.0,7.27,11.7
2015,Kentucky,218.0,12.0,5.0,7.0,0.0,0.417,296.0,329.0,-33.0,218.0,397.0,179.0,54.9,2512.0,10.0,16.0,2.5,4.0,108.3,6.3,5.02,11.5
2015,Georgia,199.0,13.0,10.0,3.0,0.0,0.769,342.0,220.0,122.0,199.0,327.0,128.0,60.9,2406.0,14.0,8.0,4.3,2.4,131.9,7.4,7.11,12.1
2015,Vanderbilt,192.0,12.0,4.0,8.0,0.0,0.333,182.0,252.0,-70.0,192.0,376.0,184.0,51.1,2062.0,11.0,16.0,2.9,4.3,98.3,5.5,4.15,10.7
2015,South Carolina,191.0,12.0,3.0,9.0,0.0,0.25,263.0,330.0,-67.0,191.0,351.0,160.0,54.4,2490.0,17.0,12.0,4.8,3.4,123.2,7.1,6.52,13.0
2015,Missouri,186.0,12.0,5.0,7.0,0.0,0.417,163.0,194.0,-31.0,186.0,373.0,187.0,49.9,1986.0,10.0,12.0,2.7,3.2,97.0,5.3,4.41,10.7
2015,Auburn,179.0,13.0,7.0,6.0,0.0,0.538,357.0,338.0,19.0,179.0,306.0,127.0,58.5,2256.0,11.0,12.0,3.6,3.9,124.4,7.4,6.33,12.6
2015,LSU,149.0,12.0,9.0,3.0,0.0,0.75,394.0,291.0,103.0,149.0,278.0,129.0,53.6,2165.0,13.0,6.0,4.7,2.2,130.1,7.8,7.75,14.5
2015,Purdue,290.0,12.0,2.0,10.0,0.0,0.167,301.0,438.0,-137.0,290.0,504.0,214.0,57.5,2847.0,18.0,16.0,3.6,3.2,110.4,5.6,4.93,9.8
