Season,Team,Cmp,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp.1,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C
2008,Arkansas,253.0,12.0,5.0,7.0,0.0,0.417,263.0,374.0,-111.0,253.0,443.0,190.0,57.1,3115.0,19.0,18.0,4.3,4.1,122.2,7.0,6.06,12.3
2008,South Carolina,249.0,13.0,7.0,6.0,0.0,0.538,270.0,274.0,-4.0,249.0,452.0,203.0,55.1,2892.0,20.0,27.0,4.4,6.0,111.5,6.4,4.6,11.6
2008,Georgia,246.0,13.0,10.0,3.0,0.0,0.769,409.0,319.0,90.0,246.0,400.0,154.0,61.5,3610.0,27.0,10.0,6.8,2.5,154.6,9.0,9.25,14.7
2008,Kentucky,227.0,13.0,7.0,6.0,0.0,0.538,294.0,279.0,15.0,227.0,415.0,188.0,54.7,2234.0,11.0,13.0,2.7,3.1,102.4,5.4,4.5,9.8
2008,Florida,211.0,14.0,13.0,1.0,0.0,0.929,611.0,181.0,430.0,211.0,329.0,118.0,64.1,2995.0,33.0,5.0,10.0,1.5,170.7,9.1,10.43,14.2
2008,Mississippi State,210.0,12.0,4.0,8.0,0.0,0.333,183.0,296.0,-113.0,210.0,384.0,174.0,54.7,2092.0,10.0,12.0,2.6,3.1,102.8,5.4,4.56,10.0
2008,LSU,206.0,13.0,8.0,5.0,0.0,0.615,402.0,314.0,88.0,206.0,391.0,185.0,52.7,2617.0,21.0,18.0,5.4,4.6,117.4,6.7,5.7,12.7
2008,Alabama,195.0,14.0,12.0,2.0,0.0,0.857,422.0,200.0,222.0,195.0,334.0,139.0,58.4,2396.0,11.0,9.0,3.3,2.7,124.1,7.2,6.62,12.3
2008,Ole Miss,190.0,13.0,9.0,4.0,0.0,0.692,417.0,247.0,170.0,190.0,340.0,150.0,55.9,2875.0,27.0,15.0,7.9,4.4,144.3,8.5,8.06,15.1
2008,Auburn,184.0,12.0,5.0,7.0,0.0,0.417,208.0,216.0,-8.0,184.0,341.0,157.0,54.0,1985.0,7.0,13.0,2.1,3.8,102.0,5.8,4.52,10.8
